#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR46224--MA1107.1.KLF9	chr4	87669660	87669672	+	0.000	0.000	Merged-chr4-87669731-33
NR66203--MA0741.1.KLF16	chr8	95349076	95349086	-	0.000	0.000	Merged-chr8-95348986-27
NR42452--MA0493.1.Klf1	chr3	103862695	103862705	+	0.000	0.000	Merged-chr3-103862515-1
NR28478--MA0039.3.KLF4	chr17	30575636	30575646	-	0.000	0.000	Merged-chr17-30575700-2
NR66208--MA0741.1.KLF16	chr8	95349081	95349091	-	0.000	0.000	Merged-chr8-95348986-27
NR34761--MA0741.1.KLF16	chr2	5747698	5747708	-	0.000	0.000	Merged-chr2-5747765-15
NR56114--MA0599.1.KLF5	chr6	86127094	86127103	+	0.000	0.000	Merged-chr6-86127203-6
NR41427--MA0599.1.KLF5	chr3	79178357	79178366	+	0.000	0.000	Merged-chr3-79178280-26
NR6343--MA0493.1.Klf1	chr10	63381571	63381581	+	0.000	0.000	Merged-chr10-63381719-30
NR71429--MA0599.1.KLF5	chr9	121455129	121455138	+	0.000	0.000	Merged-chr9-121454962-55
NR31787--MA0599.1.KLF5	chr18	61399028	61399037	+	0.000	0.000	Merged-chr18-61398839-2
NR46223--MA0493.1.Klf1	chr4	87669660	87669670	+	0.000	0.000	Merged-chr4-87669731-33
NR14606--MA0493.1.Klf1	chr12	76596421	76596431	-	0.000	0.000	Merged-chr12-76596548-12
NR33882--MA0599.1.KLF5	chr19	40509069	40509078	-	0.000	0.000	Merged-chr19-40509084-1
