#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR2390--MA0508.2.PRDM1	chr9	61427262	61427271	+	0.000	0.000	Merged-chr9-61427187-31
NR433--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR826--MA0508.2.PRDM1	chr14	122290592	122290601	-	0.000	0.000	Merged-chr14-122290582-19
NR1174--MA0508.2.PRDM1	chr19	21785917	21785926	-	0.000	0.000	Merged-chr19-21785964-7
NR141--MA0508.2.PRDM1	chr1	160765700	160765709	+	0.000	0.000	Merged-chr1-160765870-25
NR935--MA0508.2.PRDM1	chr16	33687788	33687797	-	0.000	0.000	Merged-chr16-33687969-54
NR534--MA0508.2.PRDM1	chr12	101053592	101053601	-	0.000	0.000	Merged-chr12-101053641-9
NR914--MA0508.2.PRDM1	chr16	11475626	11475635	+	0.000	0.000	Merged-chr16-11475731-38
NR1328--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR133--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR731--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR2441--MA0508.2.PRDM1	chr9	107334435	107334444	+	0.000	0.000	Merged-chr9-107334469-86
NR988--MA0508.2.PRDM1	chr16	96061193	96061202	-	0.000	0.000	Merged-chr16-96061094-16
NR2316--MA0508.2.PRDM1	chr8	106821470	106821479	+	0.000	0.000	Merged-chr8-106821433-20
NR2154--MA0508.2.PRDM1	chr7	98108972	98108981	+	0.000	0.000	Merged-chr7-98109106-60
NR2329--MA0508.2.PRDM1	chr8	120489343	120489352	+	0.000	0.000	Merged-chr8-120489155-2
NR2351--MA0508.2.PRDM1	chr9	13652158	13652167	-	0.000	0.000	Merged-chr9-13652196-20
NR253--MA0508.2.PRDM1	chr10	57799699	57799708	+	0.000	0.000	Merged-chr10-57799667-19
