#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR1904--MA0690.1.TBX21	chr8	88592927	88592936	+	0.000	0.000	Merged-chr8-88592850-20
NR2065--MA0690.1.TBX21	chr9	117911001	117911010	+	0.000	0.000	Merged-chr9-117910970-21
NR1965--MA0690.1.TBX21	chr9	27023912	27023921	-	0.000	0.000	Merged-chr9-27023866-37
NR1848--MA0690.1.TBX21	chr7	142435690	142435699	-	0.000	0.000	Merged-chr7-142435660-33
NR1434--MA0690.1.TBX21	chr4	126253828	126253837	-	0.000	0.000	Merged-chr4-126253924-28
NR1827--MA0690.1.TBX21	chr7	128062708	128062717	-	0.000	0.000	Merged-chr7-128062681-13
NR1439--MA0690.1.TBX21	chr4	129571820	129571829	+	0.000	0.000	Merged-chr4-129571823-22
NR1495--MA0690.1.TBX21	chr5	67418824	67418833	-	0.000	0.000	Merged-chr5-67418777-17
NR1081--MA0690.1.TBX21	chr2	25148061	25148070	-	0.000	0.000	Merged-chr2-25148103-14
NR1378--MA0690.1.TBX21	chr4	21842805	21842814	-	0.000	0.000	Merged-chr4-21842691-16
NR996--MA0690.1.TBX21	chr18	81422592	81422601	-	0.000	0.000	Merged-chr18-81422604-12
NR47--MA0690.1.TBX21	chr1	78478125	78478134	-	0.000	0.000	Merged-chr1-78478073-15
NR348--MA0690.1.TBX21	chr11	83640445	83640454	-	0.000	0.000	Merged-chr11-83640282-44
NR1932--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR2003--MA0690.1.TBX21	chr9	69362280	69362289	+	0.000	0.000	Merged-chr9-69362247-25
NR1332--MA0690.1.TBX21	chr3	144561697	144561706	+	0.000	0.000	Merged-chr3-144561824-38
NR1603--MA0690.1.TBX21	chr6	32779659	32779668	-	0.000	0.000	Merged-chr6-32779774-10
NR1446--MA0690.1.TBX21	chr4	135077226	135077235	-	0.000	0.000	Merged-chr4-135077339-17
NR1935--MA0690.1.TBX21	chr8	121176417	121176426	+	0.000	0.000	Merged-chr8-121176463-20
NR2027--MA0690.1.TBX21	chr9	94610711	94610720	+	0.000	0.000	Merged-chr9-94610795-11
NR1268--MA0690.1.TBX21	chr3	84630990	84630999	+	0.000	0.000	Merged-chr3-84630888-13
NR1539--MA0690.1.TBX21	chr5	115313773	115313782	+	0.000	0.000	Merged-chr5-115313738-19
NR262--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR88--MA0690.1.TBX21	chr1	138843413	138843422	+	0.000	0.000	Merged-chr1-138843569-18
NR1579--MA0690.1.TBX21	chr5	146757450	146757459	+	0.000	0.000	Merged-chr5-146757539-9
NR1035--MA0690.1.TBX21	chr19	40665958	40665967	+	0.000	0.000	Merged-chr19-40666029-20
NR865--MA0690.1.TBX21	chr17	23748324	23748333	-	0.000	0.000	Merged-chr17-23748319-15
NR1136--MA0690.1.TBX21	chr2	73346543	73346552	+	0.000	0.000	Merged-chr2-73346607-35
NR1367--MA0690.1.TBX21	chr4	6476637	6476646	+	0.000	0.000	Merged-chr4-6476530-28
NR706--MA0690.1.TBX21	chr15	38122283	38122292	+	0.000	0.000	Merged-chr15-38122272-49
NR2092--MA0690.1.TBX21	chrX	13552555	13552564	+	0.000	0.000	Merged-chrX-13552455-23
NR1631--MA0690.1.TBX21	chr6	72644706	72644715	+	0.000	0.000	Merged-chr6-72644677-18
NR908--MA0690.1.TBX21	chr17	72932347	72932356	+	0.000	0.000	Merged-chr17-72932443-6
NR1520--MA0690.1.TBX21	chr5	97001772	97001781	+	0.000	0.000	Merged-chr5-97001719-9
NR2039--MA0690.1.TBX21	chr9	105499677	105499686	-	0.000	0.000	Merged-chr9-105499679-15
NR308--MA0690.1.TBX21	chr11	51898928	51898937	+	0.000	0.000	Merged-chr11-51898870-27
NR1480--MA0690.1.TBX21	chr5	33520472	33520481	+	0.000	0.000	Merged-chr5-33520453-4
NR1326--MA0690.1.TBX21	chr3	139033342	139033351	+	0.000	0.000	Merged-chr3-139033383-15
NR1034--MA0690.1.TBX21	chr19	40665903	40665912	-	0.000	0.000	Merged-chr19-40666029-20
NR872--MA0690.1.TBX21	chr17	28591047	28591056	-	0.000	0.000	Merged-chr17-28590948-24
NR471--MA0690.1.TBX21	chr12	107963069	107963078	-	0.000	0.000	Merged-chr12-107963174-17
NR11--MA0690.1.TBX21	chr1	39559170	39559179	+	0.000	0.000	Merged-chr1-39559167-24
NR102--MA0690.1.TBX21	chr1	153645481	153645490	-	0.000	0.000	Merged-chr1-153645501-10
NR1082--MA0690.1.TBX21	chr2	25148090	25148099	-	0.000	0.000	Merged-chr2-25148103-14
NR1215--MA0690.1.TBX21	chr2	168429753	168429762	-	0.000	0.000	Merged-chr2-168429700-17
NR1228--MA0690.1.TBX21	chr2	180438407	180438416	+	0.000	0.000	Merged-chr2-180438318-9
NR758--MA0690.1.TBX21	chr15	93298520	93298529	-	0.000	0.000	Merged-chr15-93298411-30
NR349--MA0690.1.TBX21	chr11	83657676	83657685	+	0.000	0.000	Merged-chr11-83657668-22
NR1540--MA0690.1.TBX21	chr5	120688652	120688661	+	0.000	0.000	Merged-chr5-120688663-27
NR458--MA0690.1.TBX21	chr12	102641790	102641799	+	0.000	0.000	Merged-chr12-102641833-10
NR1920--MA0690.1.TBX21	chr8	115070291	115070300	-	0.000	0.000	Merged-chr8-115070439-32
NR1824--MA0690.1.TBX21	chr7	126584656	126584665	+	0.000	0.000	Merged-chr7-126584739-30
NR1532--MA0690.1.TBX21	chr5	107533901	107533910	-	0.000	0.000	Merged-chr5-107533890-8
