#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR1240--MA0690.1.TBX21	chr2	166625666	166625675	+	0.000	0.000	Merged-chr2-166625583-45
NR158--MA0690.1.TBX21	chr1	184908649	184908658	-	0.000	0.000	Merged-chr1-184908710-36
NR1091--MA0690.1.TBX21	chr2	26188766	26188775	+	0.000	0.000	Merged-chr2-26188803-7
NR1885--MA0690.1.TBX21	chr7	123217649	123217658	+	0.000	0.000	Merged-chr7-123217710-2
NR408--MA0690.1.TBX21	chr11	108268681	108268690	-	0.000	0.000	Merged-chr11-108268786-21
NR389--MA0690.1.TBX21	chr11	99099208	99099217	+	0.000	0.000	Merged-chr11-99099093-22
NR1232--MA0690.1.TBX21	chr2	158719447	158719456	-	0.000	0.000	Merged-chr2-158719347-62
NR1484--MA0690.1.TBX21	chr4	134047806	134047815	+	0.000	0.000	Merged-chr4-134047792-28
NR1516--MA0690.1.TBX21	chr5	3461112	3461121	+	0.000	0.000	Merged-chr5-3460999-61
NR1102--MA0690.1.TBX21	chr2	34162843	34162852	-	0.000	0.000	Merged-chr2-34162703-13
NR1909--MA0690.1.TBX21	chr7	137476770	137476779	-	0.000	0.000	Merged-chr7-137476773-22
NR1700--MA0690.1.TBX21	chr6	56931818	56931827	-	0.000	0.000	Merged-chr6-56931757-12
NR94--MA0690.1.TBX21	chr1	152008858	152008867	+	0.000	0.000	Merged-chr1-152008952-65
NR1822--MA0690.1.TBX21	chr7	47113533	47113542	-	0.000	0.000	Merged-chr7-47113657-15
NR1455--MA0690.1.TBX21	chr4	107006396	107006405	-	0.000	0.000	Merged-chr4-107006366-21
NR911--MA0690.1.TBX21	chr17	47564781	47564790	-	0.000	0.000	Merged-chr17-47564757-20
NR1325--MA0690.1.TBX21	chr3	115758852	115758861	+	0.000	0.000	Merged-chr3-115758930-94
NR1814--MA0690.1.TBX21	chr7	28792566	28792575	-	0.000	0.000	Merged-chr7-28792616-46
NR1400--MA0690.1.TBX21	chr4	11095692	11095701	-	0.000	0.000	Merged-chr4-11095738-16
