#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR758--MA0768.1.LEF1	chr18	53904318	53904332	+	0.000	0.000	Merged-chr18-53904421-2
NR678--MA0768.1.LEF1	chr16	95869617	95869631	+	0.000	0.000	Merged-chr16-95869616-44
NR1136--MA0768.1.LEF1	chr4	123588952	123588966	-	0.000	0.000	Merged-chr4-123588937-38
NR715--MA0768.1.LEF1	chr17	52592021	52592035	-	0.000	0.000	Merged-chr17-52591988-50
NR562--MA0768.1.LEF1	chr15	9533555	9533569	+	0.000	0.000	Merged-chr15-9533546-44
NR295--MA0768.1.LEF1	chr11	104158012	104158026	-	0.000	0.000	Merged-chr11-104158136-14
NR746--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR1312--MA0768.1.LEF1	chr6	84617253	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR797--MA0768.1.LEF1	chr19	9044555	9044569	-	0.000	0.000	Merged-chr19-9044473-28
NR1502--MA0768.1.LEF1	chr8	56443914	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR615--MA0768.1.LEF1	chr15	94255220	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR1644--MA0768.1.LEF1	chr9	118285715	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR1448--MA0768.1.LEF1	chr7	109265814	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR1503--MA0768.1.LEF1	chr8	56443929	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR634--MA0768.1.LEF1	chr16	25587907	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR769--MA0768.1.LEF1	chr18	66528875	66528889	+	0.000	0.000	Merged-chr18-66528856-1
NR1259--MA0768.1.LEF1	chr5	140871435	140871449	-	0.000	0.000	Merged-chr5-140871418-38
