#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR3535--MA0482.1.Gata4	chr18	79092834	79092844	+	0.000	0.000	Merged-chr18-79092831-54
NR5119--MA0482.1.Gata4	chr4	86725372	86725382	+	0.000	0.000	Merged-chr4-86725378-12
NR5499--MA0036.3.GATA2	chr5	63768123	63768133	+	0.000	0.000	Merged-chr5-63767981-25
NR363--MA1104.1.GATA6	chr1	156901950	156901962	+	0.000	0.000	Merged-chr1-156901975-24
NR4624--MA0036.3.GATA2	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR61--MA0140.2.GATA1::TAL1	chr1	52454648	52454665	-	0.000	0.000	Merged-chr1-52454811-49
NR3401--MA0037.3.GATA3	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR7483--MA1104.1.GATA6	chr9	112186685	112186697	-	0.000	0.000	Merged-chr9-112186441-37
NR825--MA0036.3.GATA2	chr10	96201432	96201442	-	0.000	0.000	Merged-chr10-96201472-66
NR7479--MA0482.1.Gata4	chr9	112174907	112174917	-	0.000	0.000	Merged-chr9-112174843-101
NR2441--MA0140.2.GATA1::TAL1	chr14	103017227	103017244	-	0.000	0.000	Merged-chr14-103017290-44
NR7406--MA0037.3.GATA3	chr9	95113475	95113482	-	0.000	0.000	Merged-chr9-95113538-34
NR67--MA0035.3.Gata1	chr1	54421812	54421822	-	0.000	0.000	Merged-chr1-54421982-33
NR6615--MA0035.3.Gata1	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR6700--MA0482.1.Gata4	chr7	123108636	123108646	-	0.000	0.000	Merged-chr7-123108481-68
NR2745--MA0035.3.Gata1	chr16	11526689	11526699	-	0.000	0.000	Merged-chr16-11526520-43
NR4506--MA0140.2.GATA1::TAL1	chr3	10212220	10212237	-	0.000	0.000	Merged-chr3-10212114-17
NR5980--MA0140.2.GATA1::TAL1	chr6	90782576	90782593	-	0.000	0.000	Merged-chr6-90782586-39
NR5500--MA0766.1.GATA5	chr5	63768124	63768131	-	0.000	0.000	Merged-chr5-63767981-25
NR762--MA1104.1.GATA6	chr10	75417897	75417909	-	0.000	0.000	Merged-chr10-75417748-37
NR3379--MA0037.3.GATA3	chr18	38700838	38700845	-	0.000	0.000	Merged-chr18-38700911-27
NR6609--MA0482.1.Gata4	chr7	113263190	113263200	+	0.000	0.000	Merged-chr7-113263148-32
NR4771--MA0037.3.GATA3	chr3	132791516	132791523	+	0.000	0.000	Merged-chr3-132791387-40
NR4547--MA0036.3.GATA2	chr3	37738509	37738519	-	0.000	0.000	Merged-chr3-37738517-40
NR2867--MA0036.3.GATA2	chr16	50839801	50839811	+	0.000	0.000	Merged-chr16-50839866-11
NR1994--MA0036.3.GATA2	chr13	89889162	89889172	+	0.000	0.000	Merged-chr13-89889254-28
NR6309--MA0482.1.Gata4	chr7	19093680	19093690	+	0.000	0.000	Merged-chr7-19093740-100
NR5619--MA0140.2.GATA1::TAL1	chr5	96219689	96219706	-	0.000	0.000	Merged-chr5-96219655-31
NR3329--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR5121--MA0035.3.Gata1	chr4	86725381	86725391	-	0.000	0.000	Merged-chr4-86725378-12
