#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR2151--MA0769.1.Tcf7	chr13	8458069	8458080	+	0.000	0.000	Merged-chr13-8458004-23
NR4723--MA0523.1.TCF7L2	chr2	48328422	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR6853--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR3000--MA0523.1.TCF7L2	chr14	122187101	122187114	-	0.000	0.000	Merged-chr14-122187060-26
NR7283--MA0769.1.Tcf7	chr6	82744605	82744616	+	0.000	0.000	Merged-chr6-82744737-54
NR7875--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR876--MA0523.1.TCF7L2	chr10	44821926	44821939	+	0.000	0.000	Merged-chr10-44821803-43
NR8812--MA0769.1.Tcf7	chr9	85671681	85671692	+	0.000	0.000	Merged-chr9-85671881-60
NR863--MA0523.1.TCF7L2	chr10	41615634	41615647	+	0.000	0.000	Merged-chr10-41615681-31
NR6296--MA1421.1.TCF7L1	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR8293--MA0769.1.Tcf7	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR8105--MA1421.1.TCF7L1	chr7	142056828	142056839	+	0.000	0.000	Merged-chr7-142056944-50
NR3876--MA0523.1.TCF7L2	chr17	50485168	50485181	-	0.000	0.000	Merged-chr17-50485186-33
NR6902--MA0769.1.Tcf7	chr5	118465205	118465216	+	0.000	0.000	Merged-chr5-118465239-56
NR3863--MA0523.1.TCF7L2	chr17	48318939	48318952	+	0.000	0.000	Merged-chr17-48318964-29
NR1247--MA0769.1.Tcf7	chr10	118419238	118419249	+	0.000	0.000	Merged-chr10-118419236-59
NR830--MA0769.1.Tcf7	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR3002--MA0769.1.Tcf7	chr14	122290588	122290599	+	0.000	0.000	Merged-chr14-122290582-19
NR3930--MA1421.1.TCF7L1	chr17	73952218	73952229	+	0.000	0.000	Merged-chr17-73952254-58
NR5312--MA0769.1.Tcf7	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
NR1255--MA0523.1.TCF7L2	chr10	120193465	120193478	+	0.000	0.000	Merged-chr10-120193454-50
