#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR8676--MA0591.1.Bach1::Mafk	chr4	102393743	102393757	-	0.000	0.000	Merged-chr4-102393739-36
NR3388--MA0089.1.MAFG::NFE2L1	chr13	46159453	46159458	-	0.000	0.000	Merged-chr13-46159501-43
NR209--MA0659.1.MAFG	chr1	64486460	64486480	-	0.000	0.000	Merged-chr1-64486540-36
NR7652--MA0501.1.MAF::NFE2	chr3	37292937	37292951	-	0.000	0.000	Merged-chr3-37292848-26
NR947--MA0089.1.MAFG::NFE2L1	chr1	183987870	183987875	+	0.000	0.000	Merged-chr1-183987914-47
NR1717--MA0089.1.MAFG::NFE2L1	chr10	116746877	116746882	+	0.000	0.000	Merged-chr10-116746686-40
NR10555--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR91--MA0496.2.MAFK	chr1	39196873	39196891	-	0.000	0.000	Merged-chr1-39196974-45
NR3662--MA0089.1.MAFG::NFE2L1	chr13	102873652	102873657	+	0.000	0.000	Merged-chr13-102873625-24
NR469--MA0089.1.MAFG::NFE2L1	chr1	127297096	127297101	-	0.000	0.000	Merged-chr1-127297024-52
NR5243--MA0089.1.MAFG::NFE2L1	chr16	95809371	95809376	-	0.000	0.000	Merged-chr16-95809247-50
NR2784--MA0496.2.MAFK	chr12	76923294	76923312	+	0.000	0.000	Merged-chr12-76923289-32
NR8504--MA0496.2.MAFK	chr4	47314182	47314200	+	0.000	0.000	Merged-chr4-47314208-36
NR11180--MA0089.1.MAFG::NFE2L1	chr7	99027423	99027428	+	0.000	0.000	Merged-chr7-99027397-37
NR6561--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
