#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR3592--MA0511.2.RUNX2	chr14	67911799	67911807	+	0.000	0.000	Merged-chr14-67911920-26
NR1213--MA0002.2.RUNX1	chr10	84897547	84897557	-	0.000	0.000	Merged-chr10-84897526-62
NR10613--MA0684.1.RUNX3	chr9	69065961	69065970	-	0.000	0.000	Merged-chr9-69066025-13
NR3002--MA0002.2.RUNX1	chr13	73955715	73955725	+	0.000	0.000	Merged-chr13-73955669-7
NR1944--MA0511.2.RUNX2	chr11	89145626	89145634	-	0.000	0.000	Merged-chr11-89145462-12
NR7756--MA0002.2.RUNX1	chr4	149664190	149664200	-	0.000	0.000	Merged-chr4-149664202-47
NR1451--MA0684.1.RUNX3	chr10	121382803	121382812	-	0.000	0.000	Merged-chr10-121382753-17
NR6760--MA0684.1.RUNX3	chr3	86837546	86837555	-	0.000	0.000	Merged-chr3-86837478-31
NR3777--MA0002.2.RUNX1	chr14	123163086	123163096	-	0.000	0.000	Merged-chr14-123163033-38
NR6740--MA0002.2.RUNX1	chr3	84093124	84093134	-	0.000	0.000	Merged-chr3-84093112-19
NR7180--MA0002.2.RUNX1	chr3	157803385	157803395	+	0.000	0.000	Merged-chr3-157803404-34
NR7517--MA0002.2.RUNX1	chr4	108371652	108371662	-	0.000	0.000	Merged-chr4-108371608-19
NR445--MA0002.2.RUNX1	chr1	127651301	127651311	-	0.000	0.000	Merged-chr1-127651305-2
NR9383--MA0002.2.RUNX1	chr7	64043159	64043169	-	0.000	0.000	Merged-chr7-64043125-48
NR9178--MA0002.2.RUNX1	chr6	145417485	145417495	+	0.000	0.000	Merged-chr6-145417723-108
NR96--MA0002.2.RUNX1	chr1	40470100	40470110	+	0.000	0.000	Merged-chr1-40470075-45
NR10212--MA0684.1.RUNX3	chr8	114879898	114879907	-	0.000	0.000	Merged-chr8-114879936-19
NR9035--MA0002.2.RUNX1	chr6	130288355	130288365	-	0.000	0.000	Merged-chr6-130288327-19
NR1987--MA0684.1.RUNX3	chr11	97129169	97129178	-	0.000	0.000	Merged-chr11-97129027-2
NR3124--MA0002.2.RUNX1	chr13	95913142	95913152	+	0.000	0.000	Merged-chr13-95913173-23
NR5599--MA0684.1.RUNX3	chr19	40300140	40300149	+	0.000	0.000	Merged-chr19-40300210-18
NR3319--MA0684.1.RUNX3	chr13	119657288	119657297	+	0.000	0.000	Merged-chr13-119657260-10
NR3376--MA0002.2.RUNX1	chr14	21654029	21654039	-	0.000	0.000	Merged-chr14-21654080-31
NR4950--MA0684.1.RUNX3	chr17	71192225	71192234	+	0.000	0.000	Merged-chr17-71192022-46
NR1696--MA0002.2.RUNX1	chr11	50213201	50213211	+	0.000	0.000	Merged-chr11-50213336-46
NR7070--MA0684.1.RUNX3	chr3	142281331	142281340	+	0.000	0.000	Merged-chr3-142281213-32
NR7193--MA0002.2.RUNX1	chr4	6924977	6924987	-	0.000	0.000	Merged-chr4-6924913-49
NR2251--MA0002.2.RUNX1	chr12	32285284	32285294	-	0.000	0.000	Merged-chr12-32285209-18
NR3110--MA0684.1.RUNX3	chr13	95449935	95449944	+	0.000	0.000	Merged-chr13-95449730-51
NR3233--MA0002.2.RUNX1	chr13	108303436	108303446	+	0.000	0.000	Merged-chr13-108303499-73
NR934--MA0002.2.RUNX1	chr10	13970471	13970481	+	0.000	0.000	Merged-chr10-13970545-12
NR3028--MA0002.2.RUNX1	chr13	81675840	81675850	-	0.000	0.000	Merged-chr13-81675595-44
NR1348--MA0002.2.RUNX1	chr10	111213766	111213776	+	0.000	0.000	Merged-chr10-111213770-2
NR9001--MA0002.2.RUNX1	chr6	127302987	127302997	-	0.000	0.000	Merged-chr6-127302896-25
NR11207--MA0684.1.RUNX3	chrX	164318752	164318761	+	0.000	0.000	Merged-chrX-164318746-35
NR4563--MA0002.2.RUNX1	chr16	91562219	91562229	+	0.000	0.000	Merged-chr16-91562152-19
NR8380--MA0002.2.RUNX1	chr5	140838991	140839001	-	0.000	0.000	Merged-chr5-140838792-15
NR75--MA0002.2.RUNX1	chr1	38694252	38694262	-	0.000	0.000	Merged-chr1-38694375-50
NR7211--MA0684.1.RUNX3	chr4	11077683	11077692	+	0.000	0.000	Merged-chr4-11077783-17
NR4943--MA0002.2.RUNX1	chr17	65817915	65817925	+	0.000	0.000	Merged-chr17-65817855-23
NR903--MA0511.2.RUNX2	chr10	4977487	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR8760--MA0002.2.RUNX1	chr6	88939627	88939637	+	0.000	0.000	Merged-chr6-88939617-36
NR9808--MA0002.2.RUNX1	chr7	136255792	136255802	+	0.000	0.000	Merged-chr7-136255803-24
NR1569--MA0511.2.RUNX2	chr11	16952288	16952296	+	0.000	0.000	Merged-chr11-16952284-5
NR2600--MA0511.2.RUNX2	chr12	108601020	108601028	-	0.000	0.000	Merged-chr12-108601181-28
NR2230--MA0002.2.RUNX1	chr12	25431146	25431156	+	0.000	0.000	Merged-chr12-25431052-52
NR1012--MA0511.2.RUNX2	chr10	40163495	40163503	-	0.000	0.000	Merged-chr10-40163524-42
NR9027--MA0002.2.RUNX1	chr6	130103006	130103016	-	0.000	0.000	Merged-chr6-130103023-31
NR7076--MA0002.2.RUNX1	chr3	142892308	142892318	-	0.000	0.000	Merged-chr3-142892335-19
NR8921--MA0684.1.RUNX3	chr6	119408840	119408849	-	0.000	0.000	Merged-chr6-119408748-28
NR502--MA0511.2.RUNX2	chr1	135268272	135268280	-	0.000	0.000	Merged-chr1-135268339-27
NR7185--MA0002.2.RUNX1	chr3	157938775	157938785	-	0.000	0.000	Merged-chr3-157938783-43
NR3497--MA0684.1.RUNX3	chr14	55882489	55882498	-	0.000	0.000	Merged-chr14-55882429-48
NR8882--MA0002.2.RUNX1	chr6	115594629	115594639	-	0.000	0.000	Merged-chr6-115594731-47
NR4922--MA0002.2.RUNX1	chr17	63949288	63949298	+	0.000	0.000	Merged-chr17-63949103-2
NR2971--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR1896--MA0511.2.RUNX2	chr11	82203896	82203904	+	0.000	0.000	Merged-chr11-82203990-35
NR4780--MA0684.1.RUNX3	chr17	31220223	31220232	-	0.000	0.000	Merged-chr17-31220235-19
NR5491--MA0684.1.RUNX3	chr19	20931536	20931545	+	0.000	0.000	Merged-chr19-20931393-10
NR7508--MA0684.1.RUNX3	chr4	107006388	107006397	-	0.000	0.000	Merged-chr4-107006366-21
NR912--MA0684.1.RUNX3	chr10	8197818	8197827	-	0.000	0.000	Merged-chr10-8197795-23
NR6983--MA0684.1.RUNX3	chr3	131157634	131157643	-	0.000	0.000	Merged-chr3-131157614-46
NR5143--MA0684.1.RUNX3	chr18	23734926	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR3066--MA0511.2.RUNX2	chr13	90981482	90981490	-	0.000	0.000	Merged-chr13-90981461-11
NR7198--MA0002.2.RUNX1	chr4	8712386	8712396	+	0.000	0.000	Merged-chr4-8712432-5
NR397--MA0002.2.RUNX1	chr1	108041086	108041096	-	0.000	0.000	Merged-chr1-108041291-27
NR668--MA0002.2.RUNX1	chr1	165722680	165722690	-	0.000	0.000	Merged-chr1-165722797-48
NR10035--MA0002.2.RUNX1	chr8	66497453	66497463	+	0.000	0.000	Merged-chr8-66497339-52
NR4393--MA0002.2.RUNX1	chr16	50298928	50298938	+	0.000	0.000	Merged-chr16-50299012-15
NR7203--MA0684.1.RUNX3	chr4	8872269	8872278	-	0.000	0.000	Merged-chr4-8872202-20
NR3589--MA0511.2.RUNX2	chr14	67887047	67887055	+	0.000	0.000	Merged-chr14-67887091-21
NR9258--MA0002.2.RUNX1	chr7	16827511	16827521	+	0.000	0.000	Merged-chr7-16827547-27
NR1081--MA0511.2.RUNX2	chr10	60346224	60346232	+	0.000	0.000	Merged-chr10-60346273-6
NR10396--MA0002.2.RUNX1	chr9	14908226	14908236	-	0.000	0.000	Merged-chr9-14908176-52
NR886--MA0002.2.RUNX1	chr1	193366053	193366063	-	0.000	0.000	Merged-chr1-193366026-12
NR10319--MA0002.2.RUNX1	chr8	125725663	125725673	+	0.000	0.000	Merged-chr8-125725496-61
NR3207--MA0511.2.RUNX2	chr13	104576343	104576351	-	0.000	0.000	Merged-chr13-104576446-28
