#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1165--MA0463.1.Bcl6	chr2	60370320	60370333	-	0.000	0.000	Merged-chr2-60370406-27
NR1268--MA0731.1.BCL6B	chr2	167505401	167505417	+	0.000	0.000	Merged-chr2-167505349-52
NR1565--MA0463.1.Bcl6	chr4	121002613	121002626	+	0.000	0.000	Merged-chr4-121002570-50
NR2230--MA0463.1.Bcl6	chr9	37530269	37530282	+	0.000	0.000	Merged-chr9-37530245-22
NR468--MA0463.1.Bcl6	chr12	76527674	76527687	+	0.000	0.000	Merged-chr12-76527633-28
NR1369--MA0463.1.Bcl6	chr3	105114429	105114442	-	0.000	0.000	Merged-chr3-105114484-19
NR907--MA0463.1.Bcl6	chr17	5010007	5010020	+	0.000	0.000	Merged-chr17-5010046-20
NR925--MA0463.1.Bcl6	chr17	26243768	26243781	-	0.000	0.000	Merged-chr17-26243681-1
NR894--MA0731.1.BCL6B	chr16	91035980	91035996	+	0.000	0.000	Merged-chr16-91036080-23
NR1750--MA0463.1.Bcl6	chr5	130088207	130088220	+	0.000	0.000	Merged-chr5-130088239-22
NR403--MA0731.1.BCL6B	chr11	106201871	106201887	-	0.000	0.000	Merged-chr11-106202086-45
NR1522--MA0463.1.Bcl6	chr4	86722040	86722053	+	0.000	0.000	Merged-chr4-86721990-52
NR8--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR124--MA0731.1.BCL6B	chr1	137074991	137075007	-	0.000	0.000	Merged-chr1-137074990-14
NR729--MA0463.1.Bcl6	chr14	103850544	103850557	+	0.000	0.000	Merged-chr14-103850623-36
NR993--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR865--MA0731.1.BCL6B	chr16	51878441	51878457	+	0.000	0.000	Merged-chr16-51878445-21
NR1474--MA0463.1.Bcl6	chr4	41295729	41295742	+	0.000	0.000	Merged-chr4-41295781-15
NR1931--MA0463.1.Bcl6	chr6	144679130	144679143	+	0.000	0.000	Merged-chr6-144679049-11
NR836--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR422--MA0731.1.BCL6B	chr12	12420963	12420979	+	0.000	0.000	Merged-chr12-12421054-45
NR1488--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR1394--MA0463.1.Bcl6	chr3	126589649	126589662	+	0.000	0.000	Merged-chr3-126589665-27
NR2238--MA0463.1.Bcl6	chr9	48538503	48538516	-	0.000	0.000	Merged-chr9-48538454-59
NR828--MA0731.1.BCL6B	chr16	14351039	14351055	+	0.000	0.000	Merged-chr16-14350919-24
NR825--MA0463.1.Bcl6	chr16	11577696	11577709	-	0.000	0.000	Merged-chr16-11577786-44
NR788--MA0731.1.BCL6B	chr15	64246561	64246577	-	0.000	0.000	Merged-chr15-64246637-23
NR2055--MA0463.1.Bcl6	chr7	116484374	116484387	-	0.000	0.000	Merged-chr7-116484434-42
NR2342--MA0731.1.BCL6B	chrX	158940984	158941000	+	0.000	0.000	Merged-chrX-158941058-9
NR1740--MA0731.1.BCL6B	chr5	122288737	122288753	-	0.000	0.000	Merged-chr5-122288620-47
NR1753--MA0731.1.BCL6B	chr5	134277353	134277369	+	0.000	0.000	Merged-chr5-134277310-4
NR127--MA0731.1.BCL6B	chr1	139179803	139179819	+	0.000	0.000	Merged-chr1-139179878-22
NR665--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR683--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR1440--MA0731.1.BCL6B	chr3	152430996	152431012	-	0.000	0.000	Merged-chr3-152430886-16
NR2110--MA0463.1.Bcl6	chr8	18619058	18619071	-	0.000	0.000	Merged-chr8-18619188-46
NR2209--MA0463.1.Bcl6	chr8	128165795	128165808	-	0.000	0.000	Merged-chr8-128165876-22
NR160--MA0463.1.Bcl6	chr1	164453819	164453832	+	0.000	0.000	Merged-chr1-164453894-15
NR1267--MA0463.1.Bcl6	chr2	167505401	167505414	-	0.000	0.000	Merged-chr2-167505349-52
NR1943--MA0463.1.Bcl6	chr6	148436699	148436712	+	0.000	0.000	Merged-chr6-148436541-68
NR487--MA0463.1.Bcl6	chr12	91774238	91774251	+	0.000	0.000	Merged-chr12-91774223-2
NR1388--MA0463.1.Bcl6	chr3	121593387	121593400	-	0.000	0.000	Merged-chr3-121593516-30
NR1173--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR297--MA0731.1.BCL6B	chr10	95842886	95842902	-	0.000	0.000	Merged-chr10-95843057-27
NR1809--MA0463.1.Bcl6	chr6	49128445	49128458	-	0.000	0.000	Merged-chr6-49128471-29
NR1934--MA0731.1.BCL6B	chr6	145469503	145469519	+	0.000	0.000	Merged-chr6-145469437-17
NR1520--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR604--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR14--MA0463.1.Bcl6	chr1	30792973	30792986	+	0.000	0.000	Merged-chr1-30793129-16
NR32--MA0463.1.Bcl6	chr1	64527545	64527558	-	0.000	0.000	Merged-chr1-64527761-39
NR752--MA0463.1.Bcl6	chr15	9190110	9190123	-	0.000	0.000	Merged-chr15-9190055-23
NR524--MA0463.1.Bcl6	chr12	117553514	117553527	-	0.000	0.000	Merged-chr12-117553468-60
NR1998--MA0463.1.Bcl6	chr7	75387910	75387923	+	0.000	0.000	Merged-chr7-75388095-45
NR1425--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR1111--MA0731.1.BCL6B	chr2	25095309	25095325	+	0.000	0.000	Merged-chr2-25095278-14
NR1905--MA0731.1.BCL6B	chr6	134120747	134120763	-	0.000	0.000	Merged-chr6-134120751-43
NR748--MA0463.1.Bcl6	chr14	122754731	122754744	-	0.000	0.000	Merged-chr14-122754701-5
NR64--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR561--MA0731.1.BCL6B	chr13	48843577	48843593	+	0.000	0.000	Merged-chr13-48843644-14
NR69--MA0463.1.Bcl6	chr1	91024162	91024175	-	0.000	0.000	Merged-chr1-91024136-16
NR1347--MA0731.1.BCL6B	chr3	84501749	84501765	+	0.000	0.000	Merged-chr3-84501551-10
NR1390--MA0731.1.BCL6B	chr3	121593387	121593403	-	0.000	0.000	Merged-chr3-121593516-30
NR2252--MA0463.1.Bcl6	chr9	63749249	63749262	+	0.000	0.000	Merged-chr9-63749415-13
NR1164--MA0731.1.BCL6B	chr2	59441660	59441676	-	0.000	0.000	Merged-chr2-59441702-10
NR2154--MA0463.1.Bcl6	chr8	83131698	83131711	-	0.000	0.000	Merged-chr8-83131891-13
NR1839--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR898--MA0731.1.BCL6B	chr16	92762111	92762127	+	0.000	0.000	Merged-chr16-92761917-18
NR755--MA0463.1.Bcl6	chr15	27796718	27796731	+	0.000	0.000	Merged-chr15-27796764-17
NR71--MA0463.1.Bcl6	chr1	91908047	91908060	+	0.000	0.000	Merged-chr1-91908187-5
NR1674--MA0463.1.Bcl6	chr5	73557130	73557143	+	0.000	0.000	Merged-chr5-73557249-47
NR791--MA0463.1.Bcl6	chr15	66998608	66998621	-	0.000	0.000	Merged-chr15-66998486-48
NR143--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR940--MA0463.1.Bcl6	chr17	44337039	44337052	+	0.000	0.000	Merged-chr17-44337024-21
NR10--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR121--MA0731.1.BCL6B	chr1	135659879	135659895	+	0.000	0.000	Merged-chr1-135659715-46
NR787--MA0731.1.BCL6B	chr15	64078149	64078165	+	0.000	0.000	Merged-chr15-64078156-8
NR1076--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR439--MA0731.1.BCL6B	chr12	34249077	34249093	-	0.000	0.000	Merged-chr12-34249045-49
NR525--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR2346--MA0731.1.BCL6B	chrX	160604100	160604116	+	0.000	0.000	Merged-chrX-160604231-21
NR552--MA0463.1.Bcl6	chr13	34114729	34114742	+	0.000	0.000	Merged-chr13-34114809-14
NR2150--MA0731.1.BCL6B	chr8	77367069	77367085	+	0.000	0.000	Merged-chr8-77367221-20
NR445--MA0463.1.Bcl6	chr12	41565991	41566004	-	0.000	0.000	Merged-chr12-41565825-5
NR1715--MA0731.1.BCL6B	chr5	100651692	100651708	+	0.000	0.000	Merged-chr5-100651654-38
NR1410--MA0731.1.BCL6B	chr3	135665917	135665933	+	0.000	0.000	Merged-chr3-135665884-70
NR1871--MA0463.1.Bcl6	chr6	114777875	114777888	-	0.000	0.000	Merged-chr6-114777982-17
NR1773--MA0463.1.Bcl6	chr5	151416701	151416714	-	0.000	0.000	Merged-chr5-151416725-1
NR1639--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR961--MA0731.1.BCL6B	chr17	80772627	80772643	-	0.000	0.000	Merged-chr17-80772766-52
NR662--MA0463.1.Bcl6	chr14	48236232	48236245	+	0.000	0.000	Merged-chr14-48236278-24
NR1273--MA0463.1.Bcl6	chr2	169398595	169398608	+	0.000	0.000	Merged-chr2-169398588-9
NR1564--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR1944--MA0731.1.BCL6B	chr6	148436696	148436712	-	0.000	0.000	Merged-chr6-148436541-68
NR2126--MA0463.1.Bcl6	chr8	36030435	36030448	-	0.000	0.000	Merged-chr8-36030382-8
NR1175--MA0463.1.Bcl6	chr2	76421639	76421652	+	0.000	0.000	Merged-chr2-76421582-29
NR386--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR1033--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR2149--MA0463.1.Bcl6	chr8	77367069	77367082	-	0.000	0.000	Merged-chr8-77367221-20
NR964--MA0463.1.Bcl6	chr17	85189679	85189692	-	0.000	0.000	Merged-chr17-85189630-51
NR470--MA0731.1.BCL6B	chr12	76923262	76923278	-	0.000	0.000	Merged-chr12-76923289-32
NR1995--MA0463.1.Bcl6	chr7	71242528	71242541	+	0.000	0.000	Merged-chr7-71242656-21
NR1749--MA0463.1.Bcl6	chr5	130088187	130088200	-	0.000	0.000	Merged-chr5-130088239-22
NR866--MA0463.1.Bcl6	chr16	52292678	52292691	+	0.000	0.000	Merged-chr16-52292729-42
NR1657--MA0731.1.BCL6B	chr5	45790284	45790300	+	0.000	0.000	Merged-chr5-45790409-20
NR343--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR98--MA0463.1.Bcl6	chr1	118403981	118403994	-	0.000	0.000	Merged-chr1-118403887-21
NR97--MA0731.1.BCL6B	chr1	118403928	118403944	+	0.000	0.000	Merged-chr1-118403887-21
NR263--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR1182--MA0463.1.Bcl6	chr2	79698323	79698336	+	0.000	0.000	Merged-chr2-79698404-21
