#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR5615--MA1421.1.TCF7L1	chr7	97042368	97042379	-	0.000	0.000	Merged-chr7-97042218-26
NR2672--MA1421.1.TCF7L1	chr16	84982746	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR1006--MA1421.1.TCF7L1	chr11	74100908	74100919	+	0.000	0.000	Merged-chr11-74100988-13
NR5953--MA0769.1.Tcf7	chr8	86779422	86779433	-	0.000	0.000	Merged-chr8-86779479-38
NR5160--MA0523.1.TCF7L2	chr6	67475661	67475674	+	0.000	0.000	Merged-chr6-67475756-29
NR3554--MA0769.1.Tcf7	chr2	83745486	83745497	-	0.000	0.000	Merged-chr2-83745257-69
NR2922--MA1421.1.TCF7L1	chr17	72822229	72822240	+	0.000	0.000	Merged-chr17-72822157-16
NR5501--MA0769.1.Tcf7	chr7	43481485	43481496	-	0.000	0.000	Merged-chr7-43481332-27
NR2394--MA0523.1.TCF7L2	chr15	80602554	80602567	+	0.000	0.000	Merged-chr15-80602759-36
NR6323--MA1421.1.TCF7L1	chr9	83564263	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR3283--MA0523.1.TCF7L2	chr19	42305886	42305899	+	0.000	0.000	Merged-chr19-42305883-1
NR3519--MA1421.1.TCF7L1	chr2	70933333	70933344	+	0.000	0.000	Merged-chr2-70933304-29
NR6148--MA0769.1.Tcf7	chr9	15064428	15064439	-	0.000	0.000	Merged-chr9-15064298-12
NR3123--MA1421.1.TCF7L1	chr18	77121715	77121726	-	0.000	0.000	Merged-chr18-77121790-35
NR2668--MA1421.1.TCF7L1	chr16	84646417	84646428	-	0.000	0.000	Merged-chr16-84646422-13
NR4408--MA1421.1.TCF7L1	chr4	101217141	101217152	+	0.000	0.000	Merged-chr4-101217167-64
NR4774--MA0523.1.TCF7L2	chr5	74366942	74366955	-	0.000	0.000	Merged-chr5-74366907-12
NR1297--MA1421.1.TCF7L1	chr12	52831026	52831037	-	0.000	0.000	Merged-chr12-52830906-26
NR5156--MA0523.1.TCF7L2	chr6	67184933	67184946	+	0.000	0.000	Merged-chr6-67184785-39
NR3108--MA0523.1.TCF7L2	chr18	69548096	69548109	-	0.000	0.000	Merged-chr18-69547959-32
NR3456--MA0769.1.Tcf7	chr2	44528730	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR2384--MA0769.1.Tcf7	chr15	78683745	78683756	-	0.000	0.000	Merged-chr15-78683730-20
NR5094--MA0769.1.Tcf7	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR1618--MA0523.1.TCF7L2	chr13	30760531	30760544	-	0.000	0.000	Merged-chr13-30760784-79
NR5406--MA0523.1.TCF7L2	chr6	145469522	145469535	+	0.000	0.000	Merged-chr6-145469437-17
NR6479--MA0523.1.TCF7L2	chr9	121925042	121925055	+	0.000	0.000	Merged-chr9-121925182-15
NR5873--MA0769.1.Tcf7	chr8	41334274	41334285	-	0.000	0.000	Merged-chr8-41334366-24
NR623--MA0523.1.TCF7L2	chr10	75001158	75001171	-	0.000	0.000	Merged-chr10-75001009-7
NR6251--MA0523.1.TCF7L2	chr9	69068575	69068588	+	0.000	0.000	Merged-chr9-69068633-33
NR5034--MA1421.1.TCF7L1	chr6	5997772	5997783	-	0.000	0.000	Merged-chr6-5997718-16
NR3107--MA0769.1.Tcf7	chr18	69547458	69547469	-	0.000	0.000	Merged-chr18-69547283-22
NR2711--MA0769.1.Tcf7	chr16	94237013	94237024	+	0.000	0.000	Merged-chr16-94237010-44
NR1284--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR1178--MA0769.1.Tcf7	chr11	115589121	115589132	+	0.000	0.000	Merged-chr11-115589146-15
NR2244--MA0523.1.TCF7L2	chr15	6613077	6613090	-	0.000	0.000	Merged-chr15-6612978-36
NR1995--MA0523.1.TCF7L2	chr14	49155777	49155790	+	0.000	0.000	Merged-chr14-49155726-21
NR3000--MA0523.1.TCF7L2	chr18	19524573	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR510--MA0769.1.Tcf7	chr10	19406887	19406898	-	0.000	0.000	Merged-chr10-19406936-14
NR4694--MA0769.1.Tcf7	chr5	31831722	31831733	+	0.000	0.000	Merged-chr5-31831785-25
NR2286--MA0769.1.Tcf7	chr15	50098424	50098435	+	0.000	0.000	Merged-chr15-50098332-1
NR2231--MA0523.1.TCF7L2	chr14	122908309	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR4448--MA0769.1.Tcf7	chr4	118449812	118449823	-	0.000	0.000	Merged-chr4-118449765-23
NR3965--MA1421.1.TCF7L1	chr3	84595450	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR5564--MA0523.1.TCF7L2	chr7	77133220	77133233	+	0.000	0.000	Merged-chr7-77133181-52
NR3009--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR4553--MA1421.1.TCF7L1	chr4	141296091	141296102	+	0.000	0.000	Merged-chr4-141296105-4
NR2505--MA1421.1.TCF7L1	chr16	10669094	10669105	-	0.000	0.000	Merged-chr16-10669015-79
NR3421--MA0523.1.TCF7L2	chr2	29666797	29666810	-	0.000	0.000	Merged-chr2-29666836-9
NR1931--MA0523.1.TCF7L2	chr14	18426088	18426101	+	0.000	0.000	Merged-chr14-18426065-14
NR1774--MA0769.1.Tcf7	chr13	100866491	100866502	-	0.000	0.000	Merged-chr13-100866518-52
NR491--MA1421.1.TCF7L1	chr10	12961776	12961787	-	0.000	0.000	Merged-chr10-12961810-12
NR5779--MA0523.1.TCF7L2	chr7	127922798	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR2242--MA1421.1.TCF7L1	chr15	5929701	5929712	-	0.000	0.000	Merged-chr15-5929612-10
NR4334--MA1421.1.TCF7L1	chr4	56944537	56944548	-	0.000	0.000	Merged-chr4-56944579-16
NR3045--MA0769.1.Tcf7	chr18	53411604	53411615	+	0.000	0.000	Merged-chr18-53411654-14
NR35--MA0523.1.TCF7L2	chr1	38723947	38723960	-	0.000	0.000	Merged-chr1-38723833-22
NR1869--MA1421.1.TCF7L1	chr13	112970440	112970451	+	0.000	0.000	Merged-chr13-112970510-24
NR5686--MA0769.1.Tcf7	chr7	112860104	112860115	-	0.000	0.000	Merged-chr7-112860209-23
NR5500--MA0523.1.TCF7L2	chr7	43481483	43481496	-	0.000	0.000	Merged-chr7-43481332-27
NR1119--MA0523.1.TCF7L2	chr11	105445156	105445169	-	0.000	0.000	Merged-chr11-105445069-18
NR425--MA0523.1.TCF7L2	chr1	183180468	183180481	+	0.000	0.000	Merged-chr1-183180587-56
NR6221--MA0523.1.TCF7L2	chr9	55410581	55410594	-	0.000	0.000	Merged-chr9-55410514-19
NR5766--MA0523.1.TCF7L2	chr7	125607594	125607607	+	0.000	0.000	Merged-chr7-125607654-51
NR5010--MA0769.1.Tcf7	chr5	149427634	149427645	-	0.000	0.000	Merged-chr5-149427432-30
NR1759--MA0523.1.TCF7L2	chr13	95449965	95449978	+	0.000	0.000	Merged-chr13-95449730-51
NR3455--MA0523.1.TCF7L2	chr2	44528728	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR905--MA1421.1.TCF7L1	chr11	22936501	22936512	+	0.000	0.000	Merged-chr11-22936648-30
NR5219--MA1421.1.TCF7L1	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR1989--MA1421.1.TCF7L1	chr14	48422211	48422222	+	0.000	0.000	Merged-chr14-48422314-53
NR3068--MA0769.1.Tcf7	chr18	57249947	57249958	-	0.000	0.000	Merged-chr18-57249763-26
