#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR11466--MA0591.1.Bach1::Mafk	chr5	149235159	149235173	+	0.000	0.000	Merged-chr5-149235115-37
NR14550--MA0591.1.Bach1::Mafk	chr9	96714260	96714274	+	0.000	0.000	Merged-chr9-96714307-38
NR5910--MA0089.1.MAFG::NFE2L1	chr16	75920923	75920928	+	0.000	0.000	Merged-chr16-75921068-56
NR6123--MA0495.2.MAFF	chr17	5802392	5802412	+	0.000	0.000	Merged-chr17-5802429-65
NR2810--MA0591.1.Bach1::Mafk	chr11	117832606	117832620	+	0.000	0.000	Merged-chr11-117832456-80
NR1509--MA0591.1.Bach1::Mafk	chr10	44434868	44434882	-	0.000	0.000	Merged-chr10-44434814-22
NR8761--MA0117.2.Mafb	chr2	180305821	180305832	-	0.000	0.000	Merged-chr2-180305728-36
NR14269--MA0495.2.MAFF	chr9	45247852	45247872	+	0.000	0.000	Merged-chr9-45247703-45
NR14976--MA0089.1.MAFG::NFE2L1	chrX	106704807	106704812	+	0.000	0.000	Merged-chrX-106704745-40
NR6125--MA0117.2.Mafb	chr17	5802392	5802403	+	0.000	0.000	Merged-chr17-5802429-65
NR8142--MA0591.1.Bach1::Mafk	chr2	117447054	117447068	+	0.000	0.000	Merged-chr2-117447085-57
NR15037--MA0495.2.MAFF	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR1080--MA0501.1.MAF::NFE2	chr1	180403754	180403768	-	0.000	0.000	Merged-chr1-180403715-60
NR6060--MA0591.1.Bach1::Mafk	chr16	94660250	94660264	-	0.000	0.000	Merged-chr16-94660460-20
NR7252--MA0591.1.Bach1::Mafk	chr19	21785907	21785921	-	0.000	0.000	Merged-chr19-21785964-7
NR5510--MA0117.2.Mafb	chr16	11519478	11519489	-	0.000	0.000	Merged-chr16-11519349-21
NR15039--MA0117.2.Mafb	chrX	142792389	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR2353--MA0089.1.MAFG::NFE2L1	chr11	46474480	46474485	-	0.000	0.000	Merged-chr11-46474391-31
NR4886--MA0117.2.Mafb	chr14	103033626	103033637	-	0.000	0.000	Merged-chr14-103033598-47
NR7240--MA0496.2.MAFK	chr19	20424389	20424407	+	0.000	0.000	Merged-chr19-20424322-22
NR1265--MA0496.2.MAFK	chr1	193201462	193201480	-	0.000	0.000	Merged-chr1-193201306-86
NR24--MA0089.1.MAFG::NFE2L1	chr1	13301687	13301692	+	0.000	0.000	Merged-chr1-13301807-39
NR9301--MA0501.1.MAF::NFE2	chr3	107796787	107796801	+	0.000	0.000	Merged-chr3-107796765-38
NR3671--MA0089.1.MAFG::NFE2L1	chr13	32983043	32983048	+	0.000	0.000	Merged-chr13-32982935-23
NR7820--MA0117.2.Mafb	chr2	66102479	66102490	-	0.000	0.000	Merged-chr2-66102335-49
NR14744--MA0496.2.MAFK	chr9	117910892	117910910	+	0.000	0.000	Merged-chr9-117910970-21
NR8946--MA0089.1.MAFG::NFE2L1	chr3	54567428	54567433	+	0.000	0.000	Merged-chr3-54567528-25
NR14148--MA0501.1.MAF::NFE2	chr9	21609994	21610008	-	0.000	0.000	Merged-chr9-21610100-42
NR9471--MA0089.1.MAFG::NFE2L1	chr3	130691917	130691922	-	0.000	0.000	Merged-chr3-130691928-1
NR1078--MA0495.2.MAFF	chr1	180403754	180403774	-	0.000	0.000	Merged-chr1-180403715-60
NR752--MA0089.1.MAFG::NFE2L1	chr1	136685551	136685556	+	0.000	0.000	Merged-chr1-136685597-75
NR6570--MA0089.1.MAFG::NFE2L1	chr17	83654746	83654751	-	0.000	0.000	Merged-chr17-83654883-58
NR14429--MA0591.1.Bach1::Mafk	chr9	79970922	79970936	-	0.000	0.000	Merged-chr9-79970896-33
NR11701--MA0089.1.MAFG::NFE2L1	chr6	50417017	50417022	+	0.000	0.000	Merged-chr6-50417055-62
NR8047--MA0117.2.Mafb	chr2	102850106	102850117	+	0.000	0.000	Merged-chr2-102849968-21
NR10457--MA0501.1.MAF::NFE2	chr4	141862177	141862191	+	0.000	0.000	Merged-chr4-141862091-43
NR3314--MA0089.1.MAFG::NFE2L1	chr12	103129738	103129743	-	0.000	0.000	Merged-chr12-103129553-17
NR1316--MA0501.1.MAF::NFE2	chr10	10224830	10224844	+	0.000	0.000	Merged-chr10-10224805-34
NR14244--MA0496.2.MAFK	chr9	43785162	43785180	-	0.000	0.000	Merged-chr9-43784994-20
NR14347--MA0591.1.Bach1::Mafk	chr9	62421237	62421251	-	0.000	0.000	Merged-chr9-62421317-30
NR7331--MA0089.1.MAFG::NFE2L1	chr19	41360612	41360617	+	0.000	0.000	Merged-chr19-41360707-21
NR1644--MA0089.1.MAFG::NFE2L1	chr10	67727766	67727771	+	0.000	0.000	Merged-chr10-67727735-22
NR1363--MA0117.2.Mafb	chr10	18064773	18064784	-	0.000	0.000	Merged-chr10-18064784-37
NR12304--MA0117.2.Mafb	chr6	129817699	129817710	+	0.000	0.000	Merged-chr6-129817846-22
NR13327--MA0591.1.Bach1::Mafk	chr7	140947203	140947217	+	0.000	0.000	Merged-chr7-140947277-49
NR4714--MA0591.1.Bach1::Mafk	chr14	71138252	71138266	-	0.000	0.000	Merged-chr14-71138006-34
