#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR1685--MA0731.1.BCL6B	chr6	146813207	146813223	-	0.000	0.000	Merged-chr6-146813295-20
NR842--MA0463.1.Bcl6	chr17	51879893	51879906	-	0.000	0.000	Merged-chr17-51879858-102
NR968--MA0463.1.Bcl6	chr19	30924257	30924270	-	0.000	0.000	Merged-chr19-30924347-34
NR1408--MA0463.1.Bcl6	chr4	136031602	136031615	+	0.000	0.000	Merged-chr4-136031447-41
NR1417--MA0731.1.BCL6B	chr4	144909007	144909023	-	0.000	0.000	Merged-chr4-144908993-28
NR1006--MA0463.1.Bcl6	chr2	29666834	29666847	-	0.000	0.000	Merged-chr2-29666836-9
NR481--MA0463.1.Bcl6	chr13	5757343	5757356	+	0.000	0.000	Merged-chr13-5757363-53
NR1611--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR1728--MA0463.1.Bcl6	chr7	73531189	73531202	+	0.000	0.000	Merged-chr7-73531012-64
NR621--MA0731.1.BCL6B	chr14	62928209	62928225	+	0.000	0.000	Merged-chr14-62928345-50
NR1396--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR1518--MA0463.1.Bcl6	chr5	121796140	121796153	-	0.000	0.000	Merged-chr5-121796162-9
NR1997--MA0463.1.Bcl6	chr9	124146171	124146184	+	0.000	0.000	Merged-chr9-124146419-55
NR408--MA0731.1.BCL6B	chr12	76923262	76923278	-	0.000	0.000	Merged-chr12-76923289-32
NR59--MA0731.1.BCL6B	chr1	127733005	127733021	-	0.000	0.000	Merged-chr1-127732945-24
NR3--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR1036--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR807--MA0463.1.Bcl6	chr17	8234813	8234826	-	0.000	0.000	Merged-chr17-8234688-5
