#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1383--MA0690.1.TBX21	chr4	154936066	154936075	+	0.000	0.000	Merged-chr4-154936025-18
NR20--MA0690.1.TBX21	chr1	43501267	43501276	+	0.000	0.000	Merged-chr1-43501314-13
NR1872--MA0690.1.TBX21	chr8	79534598	79534607	+	0.000	0.000	Merged-chr8-79534488-18
NR1110--MA0690.1.TBX21	chr2	169398756	169398765	-	0.000	0.000	Merged-chr2-169398588-9
NR1755--MA0690.1.TBX21	chr7	115218901	115218910	+	0.000	0.000	Merged-chr7-115218920-27
NR1070--MA0690.1.TBX21	chr2	117541615	117541624	-	0.000	0.000	Merged-chr2-117541730-22
NR1721--MA0690.1.TBX21	chr7	84149056	84149065	-	0.000	0.000	Merged-chr7-84149073-24
NR1747--MA0690.1.TBX21	chr7	109768751	109768760	+	0.000	0.000	Merged-chr7-109768884-10
NR1585--MA0690.1.TBX21	chr6	90984328	90984337	+	0.000	0.000	Merged-chr6-90984346-4
NR1508--MA0690.1.TBX21	chr5	143631003	143631012	+	0.000	0.000	Merged-chr5-143630947-39
NR60--MA0690.1.TBX21	chr1	88055844	88055853	-	0.000	0.000	Merged-chr1-88055742-12
NR1285--MA0690.1.TBX21	chr4	42945316	42945325	-	0.000	0.000	Merged-chr4-42945382-5
NR850--MA0690.1.TBX21	chr18	23913041	23913050	+	0.000	0.000	Merged-chr18-23913027-4
NR502--MA0690.1.TBX21	chr13	95742509	95742518	+	0.000	0.000	Merged-chr13-95742219-17
NR1657--MA0690.1.TBX21	chr6	144922953	144922962	+	0.000	0.000	Merged-chr6-144923057-24
NR23--MA0690.1.TBX21	chr1	46912658	46912667	+	0.000	0.000	Merged-chr1-46912759-14
NR571--MA0690.1.TBX21	chr14	52248384	52248393	+	0.000	0.000	Merged-chr14-52248397-5
NR441--MA0690.1.TBX21	chr13	32692683	32692692	+	0.000	0.000	Merged-chr13-32692698-24
NR1139--MA0690.1.TBX21	chr3	21996115	21996124	-	0.000	0.000	Merged-chr3-21996009-51
NR847--MA0690.1.TBX21	chr18	14494338	14494347	+	0.000	0.000	Merged-chr18-14494264-19
NR162--MA0690.1.TBX21	chr1	193285698	193285707	-	0.000	0.000	Merged-chr1-193285975-30
NR1349--MA0690.1.TBX21	chr4	130188901	130188910	+	0.000	0.000	Merged-chr4-130189069-22
NR901--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR818--MA0690.1.TBX21	chr17	70942722	70942731	+	0.000	0.000	Merged-chr17-70942808-10
NR799--MA0690.1.TBX21	chr17	47171340	47171349	+	0.000	0.000	Merged-chr17-47171280-54
NR385--MA0690.1.TBX21	chr12	79462858	79462867	+	0.000	0.000	Merged-chr12-79462700-17
NR242--MA0690.1.TBX21	chr10	93783436	93783445	+	0.000	0.000	Merged-chr10-93783466-5
NR494--MA0690.1.TBX21	chr13	89634129	89634138	-	0.000	0.000	Merged-chr13-89634283-22
NR1288--MA0690.1.TBX21	chr4	43823042	43823051	+	0.000	0.000	Merged-chr4-43823081-36
NR757--MA0690.1.TBX21	chr16	92060025	92060034	+	0.000	0.000	Merged-chr16-92060091-18
NR595--MA0690.1.TBX21	chr14	79234768	79234777	+	0.000	0.000	Merged-chr14-79234697-12
NR290--MA0690.1.TBX21	chr11	33700902	33700911	+	0.000	0.000	Merged-chr11-33701004-51
NR369--MA0690.1.TBX21	chr12	33220643	33220652	+	0.000	0.000	Merged-chr12-33220672-27
NR444--MA0690.1.TBX21	chr13	35841997	35842006	+	0.000	0.000	Merged-chr13-35841945-14
NR218--MA0690.1.TBX21	chr10	61560030	61560039	+	0.000	0.000	Merged-chr10-61559785-43
NR144--MA0690.1.TBX21	chr1	177676766	177676775	-	0.000	0.000	Merged-chr1-177676690-44
NR667--MA0690.1.TBX21	chr15	64249418	64249427	+	0.000	0.000	Merged-chr15-64249418-10
NR508--MA0690.1.TBX21	chr13	100790366	100790375	-	0.000	0.000	Merged-chr13-100790409-21
NR1680--MA0690.1.TBX21	chr7	24467977	24467986	+	0.000	0.000	Merged-chr7-24468111-23
NR1998--MA0690.1.TBX21	chr9	112185873	112185882	-	0.000	0.000	Merged-chr9-112185998-1
NR1170--MA0690.1.TBX21	chr3	81172467	81172476	-	0.000	0.000	Merged-chr3-81172380-11
NR1420--MA0690.1.TBX21	chr5	64662588	64662597	+	0.000	0.000	Merged-chr5-64662440-49
NR1053--MA0690.1.TBX21	chr2	102034538	102034547	+	0.000	0.000	Merged-chr2-102034492-49
