#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR10599--MA0684.1.RUNX3	chr9	96545687	96545696	-	0.000	0.000	Merged-chr9-96545653-10
NR9354--MA0002.2.RUNX1	chr7	96818602	96818612	-	0.000	0.000	Merged-chr7-96818578-56
NR9628--MA0511.2.RUNX2	chr7	132317353	132317361	-	0.000	0.000	Merged-chr7-132317352-2
NR3446--MA0511.2.RUNX2	chr14	77742008	77742016	+	0.000	0.000	Merged-chr14-77742060-11
NR4981--MA0511.2.RUNX2	chr18	53406954	53406962	+	0.000	0.000	Merged-chr18-53407055-10
NR2963--MA0002.2.RUNX1	chr13	92722551	92722561	+	0.000	0.000	Merged-chr13-92722597-29
NR956--MA0511.2.RUNX2	chr10	26879362	26879370	-	0.000	0.000	Merged-chr10-26879299-36
NR10598--MA0002.2.RUNX1	chr9	96545686	96545696	+	0.000	0.000	Merged-chr9-96545653-10
NR4690--MA0684.1.RUNX3	chr17	52591978	52591987	-	0.000	0.000	Merged-chr17-52591988-50
NR216--MA0684.1.RUNX3	chr1	78537715	78537724	+	0.000	0.000	Merged-chr1-78537773-101
NR2972--MA0511.2.RUNX2	chr13	94144821	94144829	-	0.000	0.000	Merged-chr13-94144726-31
NR8362--MA0002.2.RUNX1	chr6	30657537	30657547	-	0.000	0.000	Merged-chr6-30657423-39
NR1058--MA0684.1.RUNX3	chr10	60162575	60162584	-	0.000	0.000	Merged-chr10-60162645-38
NR6042--MA0002.2.RUNX1	chr2	127760722	127760732	-	0.000	0.000	Merged-chr2-127760760-14
NR6425--MA0511.2.RUNX2	chr3	28402343	28402351	+	0.000	0.000	Merged-chr3-28402386-46
NR3447--MA0002.2.RUNX1	chr14	77742008	77742018	-	0.000	0.000	Merged-chr14-77742060-11
NR2974--MA0684.1.RUNX3	chr13	94144820	94144829	-	0.000	0.000	Merged-chr13-94144726-31
NR10223--MA0002.2.RUNX1	chr9	7510086	7510096	+	0.000	0.000	Merged-chr9-7510063-49
NR957--MA0002.2.RUNX1	chr10	26879360	26879370	+	0.000	0.000	Merged-chr10-26879299-36
NR1056--MA0511.2.RUNX2	chr10	60162576	60162584	-	0.000	0.000	Merged-chr10-60162645-38
NR4687--MA0002.2.RUNX1	chr17	52468606	52468616	-	0.000	0.000	Merged-chr17-52468640-52
NR6699--MA0002.2.RUNX1	chr3	109165408	109165418	-	0.000	0.000	Merged-chr3-109165436-34
NR6208--MA0002.2.RUNX1	chr2	155868842	155868852	-	0.000	0.000	Merged-chr2-155868757-5
NR6426--MA0002.2.RUNX1	chr3	28402343	28402353	-	0.000	0.000	Merged-chr3-28402386-46
NR1059--MA0511.2.RUNX2	chr10	60162675	60162683	-	0.000	0.000	Merged-chr10-60162645-38
NR4688--MA0511.2.RUNX2	chr17	52591979	52591987	-	0.000	0.000	Merged-chr17-52591988-50
NR10511--MA0002.2.RUNX1	chr9	81864010	81864020	+	0.000	0.000	Merged-chr9-81863870-55
NR2979--MA0511.2.RUNX2	chr13	94177383	94177391	-	0.000	0.000	Merged-chr13-94177315-11
NR10340--MA0684.1.RUNX3	chr9	44526489	44526498	-	0.000	0.000	Merged-chr9-44526635-59
NR6043--MA0684.1.RUNX3	chr2	127760722	127760731	+	0.000	0.000	Merged-chr2-127760760-14
NR2981--MA0684.1.RUNX3	chr13	94177382	94177391	-	0.000	0.000	Merged-chr13-94177315-11
NR5190--MA0002.2.RUNX1	chr18	89627025	89627035	-	0.000	0.000	Merged-chr18-89627032-39
