#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR1689--MA0741.1.KLF16	chr1	91825521	91825531	-	0.000	0.000	Merged-chr1-91825474-20
NR58250--MA0741.1.KLF16	chr6	140722427	140722437	+	0.000	0.000	Merged-chr6-140722560-90
NR70663--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
NR21473--MA0742.1.Klf12	chr14	101879180	101879194	+	0.000	0.000	Merged-chr14-101879110-69
NR55511--MA0741.1.KLF16	chr6	54092925	54092935	+	0.000	0.000	Merged-chr6-54092801-44
NR52129--MA0599.1.KLF5	chr5	114246626	114246635	+	0.000	0.000	Merged-chr5-114246791-23
NR55506--MA0599.1.KLF5	chr6	54092929	54092938	+	0.000	0.000	Merged-chr6-54092801-44
NR51033--MA0039.3.KLF4	chr5	77092011	77092021	-	0.000	0.000	Merged-chr5-77092081-48
NR36419--MA0599.1.KLF5	chr2	65104848	65104857	-	0.000	0.000	Merged-chr2-65104683-25
NR47821--MA0741.1.KLF16	chr4	134117230	134117240	+	0.000	0.000	Merged-chr4-134117148-42
NR45390--MA0493.1.Klf1	chr4	47251261	47251271	+	0.000	0.000	Merged-chr4-47251279-48
NR48327--MA0741.1.KLF16	chr4	140983708	140983718	-	0.000	0.000	Merged-chr4-140983649-41
NR28786--MA0039.3.KLF4	chr17	35231250	35231260	-	0.000	0.000	Merged-chr17-35231264-33
NR17340--MA0493.1.Klf1	chr13	63189530	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR27085--MA0740.1.KLF14	chr16	93552856	93552869	+	0.000	0.000	Merged-chr16-93552984-42
NR47678--MA0599.1.KLF5	chr4	132749054	132749063	-	0.000	0.000	Merged-chr4-132748989-25
NR57478--MA0742.1.Klf12	chr6	125067855	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR12393--MA0740.1.KLF14	chr11	104631542	104631555	-	0.000	0.000	Merged-chr11-104631492-24
