#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR12854--MA0742.1.Klf12	chr12	16580526	16580540	-	0.000	0.000	Merged-chr12-16580677-15
NR7556--MA0493.1.Klf1	chr10	117969969	117969979	-	0.000	0.000	Merged-chr10-117970017-9
NR45447--MA0741.1.KLF16	chr4	155198029	155198039	+	0.000	0.000	Merged-chr4-155197948-31
NR9996--MA0599.1.KLF5	chr11	70622679	70622688	+	0.000	0.000	Merged-chr11-70622499-26
NR60566--MA0599.1.KLF5	chr8	106007462	106007471	-	0.000	0.000	Merged-chr8-106007407-44
NR4550--MA1107.1.KLF9	chr10	8370347	8370359	+	0.000	0.000	Merged-chr10-8370203-10
NR11061--MA0599.1.KLF5	chr11	97133379	97133388	+	0.000	0.000	Merged-chr11-97133494-13
NR18514--MA0039.3.KLF4	chr14	23465421	23465431	-	0.000	0.000	Merged-chr14-23465360-30
NR67169--MA1107.1.KLF9	chrY	90799068	90799080	-	0.000	0.000	Merged-chrY-90799205-23
NR906--MA0741.1.KLF16	chr1	66897064	66897074	+	0.000	0.000	Merged-chr1-66897217-4
NR14622--MA0742.1.Klf12	chr12	107961261	107961275	+	0.000	0.000	Merged-chr12-107961222-28
NR16030--MA0039.3.KLF4	chr13	45455941	45455951	+	0.000	0.000	Merged-chr13-45455779-40
NR36759--MA0493.1.Klf1	chr2	164913586	164913596	-	0.000	0.000	Merged-chr2-164913622-30
NR61168--MA0742.1.Klf12	chr8	121898637	121898651	-	0.000	0.000	Merged-chr8-121898554-47
NR58830--MA0599.1.KLF5	chr8	25578428	25578437	+	0.000	0.000	Merged-chr8-25578502-39
NR12141--MA0039.3.KLF4	chr11	115603722	115603732	-	0.000	0.000	Merged-chr11-115603871-66
NR6835--MA0742.1.Klf12	chr10	95193989	95194003	-	0.000	0.000	Merged-chr10-95194130-23
NR1066--MA0039.3.KLF4	chr1	75213261	75213271	-	0.000	0.000	Merged-chr1-75213327-22
NR56622--MA0039.3.KLF4	chr7	101466456	101466466	-	0.000	0.000	Merged-chr7-101466620-78
NR38755--MA1107.1.KLF9	chr3	87840998	87841010	+	0.000	0.000	Merged-chr3-87841057-16
NR32673--MA0493.1.Klf1	chr2	12423705	12423715	+	0.000	0.000	Merged-chr2-12423867-9
NR37629--MA0039.3.KLF4	chr2	180438405	180438415	-	0.000	0.000	Merged-chr2-180438318-9
NR48418--MA0039.3.KLF4	chr5	120688650	120688660	-	0.000	0.000	Merged-chr5-120688663-27
NR24031--MA0741.1.KLF16	chr16	23286520	23286530	+	0.000	0.000	Merged-chr16-23286554-38
NR31060--MA0599.1.KLF5	chr19	9116470	9116479	-	0.000	0.000	Merged-chr19-9116540-6
NR28735--MA0599.1.KLF5	chr17	88143136	88143145	+	0.000	0.000	Merged-chr17-88142994-11
NR49562--MA0741.1.KLF16	chr5	139377552	139377562	-	0.000	0.000	Merged-chr5-139377554-24
NR14353--MA1107.1.KLF9	chr12	102725371	102725383	+	0.000	0.000	Merged-chr12-102725313-9
NR58834--MA0740.1.KLF14	chr8	25578491	25578504	-	0.000	0.000	Merged-chr8-25578502-39
NR8970--MA0599.1.KLF5	chr11	34782603	34782612	-	0.000	0.000	Merged-chr11-34782610-2
NR38753--MA0741.1.KLF16	chr3	87841001	87841011	+	0.000	0.000	Merged-chr3-87841057-16
NR49571--MA1107.1.KLF9	chr5	139377609	139377621	-	0.000	0.000	Merged-chr5-139377554-24
NR6781--MA0493.1.Klf1	chr10	93467724	93467734	+	0.000	0.000	Merged-chr10-93467745-45
NR47845--MA0599.1.KLF5	chr5	112239656	112239665	-	0.000	0.000	Merged-chr5-112239781-12
NR52627--MA0493.1.Klf1	chr6	120264385	120264395	-	0.000	0.000	Merged-chr6-120264409-18
NR13017--MA0039.3.KLF4	chr12	25155528	25155538	-	0.000	0.000	Merged-chr12-25155613-40
NR3721--MA0039.3.KLF4	chr1	181228989	181228999	+	0.000	0.000	Merged-chr1-181229140-10
NR16115--MA0741.1.KLF16	chr13	49371629	49371639	+	0.000	0.000	Merged-chr13-49371654-30
NR55154--MA0599.1.KLF5	chr7	31028759	31028768	+	0.000	0.000	Merged-chr7-31028766-21
