#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR6470--MA0523.1.TCF7L2	chr8	115112221	115112234	+	0.000	0.000	Merged-chr8-115112311-24
NR698--MA1421.1.TCF7L1	chr10	43996449	43996460	+	0.000	0.000	Merged-chr10-43996389-38
NR4073--MA0523.1.TCF7L2	chr3	16227529	16227542	-	0.000	0.000	Merged-chr3-16227487-10
NR5287--MA1421.1.TCF7L1	chr5	122430228	122430239	+	0.000	0.000	Merged-chr5-122430278-22
NR2398--MA0769.1.Tcf7	chr15	59641420	59641431	+	0.000	0.000	Merged-chr15-59641442-25
NR2076--MA0769.1.Tcf7	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR2074--MA1421.1.TCF7L1	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR4368--MA0769.1.Tcf7	chr3	133392034	133392045	-	0.000	0.000	Merged-chr3-133392067-9
NR6186--MA0523.1.TCF7L2	chr7	125511553	125511566	+	0.000	0.000	Merged-chr7-125511628-40
NR2444--MA1421.1.TCF7L1	chr15	67158783	67158794	-	0.000	0.000	Merged-chr15-67158847-15
NR6064--MA1421.1.TCF7L1	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR6270--MA1421.1.TCF7L1	chr7	143644168	143644179	-	0.000	0.000	Merged-chr7-143644190-29
NR1900--MA0769.1.Tcf7	chr13	95449979	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR1182--MA0523.1.TCF7L2	chr11	86430515	86430528	+	0.000	0.000	Merged-chr11-86430506-15
NR659--MA0769.1.Tcf7	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR3480--MA0523.1.TCF7L2	chr2	17597779	17597792	+	0.000	0.000	Merged-chr2-17597899-18
NR6051--MA1421.1.TCF7L1	chr7	90007426	90007437	+	0.000	0.000	Merged-chr7-90007418-46
NR6653--MA1421.1.TCF7L1	chr9	56273653	56273664	+	0.000	0.000	Merged-chr9-56273762-19
NR1565--MA0523.1.TCF7L2	chr12	107144655	107144668	-	0.000	0.000	Merged-chr12-107144688-5
NR6459--MA0769.1.Tcf7	chr8	110813241	110813252	+	0.000	0.000	Merged-chr8-110813191-16
NR1357--MA1421.1.TCF7L1	chr12	25256494	25256505	+	0.000	0.000	Merged-chr12-25256439-11
NR1935--MA0523.1.TCF7L2	chr13	104615086	104615099	-	0.000	0.000	Merged-chr13-104615216-10
NR5086--MA0523.1.TCF7L2	chr5	64488158	64488171	-	0.000	0.000	Merged-chr5-64487990-63
