#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR43729--MA1107.1.KLF9	chr4	88912396	88912408	-	0.000	0.000	Merged-chr4-88912378-27
NR56690--MA0657.1.KLF13	chr7	47104244	47104261	-	0.000	0.000	Merged-chr7-47104097-36
NR58436--MA0657.1.KLF13	chr7	116504217	116504234	+	0.000	0.000	Merged-chr7-116504406-66
NR65398--MA0741.1.KLF16	chr9	94607624	94607634	-	0.000	0.000	Merged-chr9-94607543-65
NR56917--MA1107.1.KLF9	chr7	64012074	64012086	-	0.000	0.000	Merged-chr7-64011985-78
NR63812--MA1107.1.KLF9	chr9	37236226	37236238	-	0.000	0.000	Merged-chr9-37236124-32
NR35668--MA1107.1.KLF9	chr2	112240497	112240509	+	0.000	0.000	Merged-chr2-112240570-1
NR41012--MA1107.1.KLF9	chr3	130894553	130894565	-	0.000	0.000	Merged-chr3-130894407-22
NR5481--MA0742.1.Klf12	chr10	43706476	43706490	-	0.000	0.000	Merged-chr10-43706280-54
NR17457--MA0599.1.KLF5	chr13	95524227	95524236	+	0.000	0.000	Merged-chr13-95524264-2
NR28453--MA0741.1.KLF16	chr17	80418992	80419002	+	0.000	0.000	Merged-chr17-80418993-27
NR31584--MA0742.1.Klf12	chr19	17268912	17268926	+	0.000	0.000	Merged-chr19-17268849-24
NR51845--MA0599.1.KLF5	chr6	37564039	37564048	+	0.000	0.000	Merged-chr6-37564158-19
NR57932--MA0599.1.KLF5	chr7	102347595	102347604	+	0.000	0.000	Merged-chr7-102347477-20
NR56708--MA0599.1.KLF5	chr7	48137407	48137416	+	0.000	0.000	Merged-chr7-48137318-1
NR61768--MA0599.1.KLF5	chr8	88668753	88668762	+	0.000	0.000	Merged-chr8-88668862-52
NR2366--MA0741.1.KLF16	chr1	135818771	135818781	+	0.000	0.000	Merged-chr1-135818684-27
NR14376--MA0741.1.KLF16	chr12	87130510	87130520	+	0.000	0.000	Merged-chr12-87130424-26
NR28255--MA0599.1.KLF5	chr17	73246954	73246963	-	0.000	0.000	Merged-chr17-73247076-30
NR15259--MA0493.1.Klf1	chr12	112629101	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR14304--MA0599.1.KLF5	chr12	84851601	84851610	+	0.000	0.000	Merged-chr12-84851532-12
NR52527--MA0741.1.KLF16	chr6	70103427	70103437	+	0.000	0.000	Merged-chr6-70103466-27
NR53693--MA0493.1.Klf1	chr6	116682496	116682506	-	0.000	0.000	Merged-chr6-116682504-22
NR39245--MA0493.1.Klf1	chr3	69156742	69156752	-	0.000	0.000	Merged-chr3-69156652-55
NR63808--MA1107.1.KLF9	chr9	37236218	37236230	-	0.000	0.000	Merged-chr9-37236124-32
NR14191--MA0657.1.KLF13	chr12	81845121	81845138	-	0.000	0.000	Merged-chr12-81845150-28
NR41482--MA0039.3.KLF4	chr3	143379405	143379415	+	0.000	0.000	Merged-chr3-143379316-24
NR18560--MA0493.1.Klf1	chr14	7929181	7929191	-	0.000	0.000	Merged-chr14-7929252-11
NR13441--MA0039.3.KLF4	chr12	33220641	33220651	-	0.000	0.000	Merged-chr12-33220672-27
NR3256--MA0599.1.KLF5	chr1	165091986	165091995	+	0.000	0.000	Merged-chr1-165091937-36
NR62865--MA0742.1.Klf12	chr8	122769454	122769468	-	0.000	0.000	Merged-chr8-122769435-21
NR4621--MA0657.1.KLF13	chr1	193146632	193146649	-	0.000	0.000	Merged-chr1-193146532-29
NR5631--MA0039.3.KLF4	chr10	58480172	58480182	-	0.000	0.000	Merged-chr10-58480234-23
NR65031--MA0599.1.KLF5	chr9	77456725	77456734	+	0.000	0.000	Merged-chr9-77456588-28
NR17278--MA0742.1.Klf12	chr13	89521652	89521666	+	0.000	0.000	Merged-chr13-89521757-30
NR34610--MA1107.1.KLF9	chr2	70425765	70425777	+	0.000	0.000	Merged-chr2-70425902-24
NR40093--MA1107.1.KLF9	chr3	101066374	101066386	-	0.000	0.000	Merged-chr3-101066330-34
NR452--MA0741.1.KLF16	chr1	39702701	39702711	-	0.000	0.000	Merged-chr1-39702774-23
NR33085--MA0741.1.KLF16	chr2	11416283	11416293	+	0.000	0.000	Merged-chr2-11416392-15
NR56693--MA0742.1.Klf12	chr7	47104261	47104275	-	0.000	0.000	Merged-chr7-47104097-36
NR62869--MA0741.1.KLF16	chr8	122769451	122769461	-	0.000	0.000	Merged-chr8-122769435-21
NR18555--MA0039.3.KLF4	chr14	7864735	7864745	-	0.000	0.000	Merged-chr14-7864865-9
NR4623--MA0741.1.KLF16	chr1	193146637	193146647	-	0.000	0.000	Merged-chr1-193146532-29
NR24156--MA0599.1.KLF5	chr16	29814189	29814198	+	0.000	0.000	Merged-chr16-29814134-35
NR3255--MA0740.1.KLF14	chr1	165091990	165092003	+	0.000	0.000	Merged-chr1-165091937-36
NR23587--MA0740.1.KLF14	chr16	8455398	8455411	+	0.000	0.000	Merged-chr16-8455328-28
NR17279--MA0599.1.KLF5	chr13	89521653	89521662	+	0.000	0.000	Merged-chr13-89521757-30
NR54571--MA0740.1.KLF14	chr6	140684616	140684629	+	0.000	0.000	Merged-chr6-140684445-39
NR64743--MA0599.1.KLF5	chr9	69313862	69313871	+	0.000	0.000	Merged-chr9-69313976-5
NR38434--MA0599.1.KLF5	chr3	9004506	9004515	+	0.000	0.000	Merged-chr3-9004436-82
NR51667--MA0599.1.KLF5	chr6	28878189	28878198	-	0.000	0.000	Merged-chr6-28878211-33
NR60511--MA0742.1.Klf12	chr8	36249516	36249530	+	0.000	0.000	Merged-chr8-36249558-6
NR2931--MA0742.1.Klf12	chr1	156522398	156522412	-	0.000	0.000	Merged-chr1-156522298-40
NR7723--MA0493.1.Klf1	chr10	111102965	111102975	+	0.000	0.000	Merged-chr10-111102896-60
NR24164--MA1107.1.KLF9	chr16	30722575	30722587	-	0.000	0.000	Merged-chr16-30722513-29
NR34607--MA0493.1.Klf1	chr2	70425765	70425775	+	0.000	0.000	Merged-chr2-70425902-24
NR4822--MA0740.1.KLF14	chr10	7212241	7212254	-	0.000	0.000	Merged-chr10-7212223-140
NR28926--MA0741.1.KLF16	chr17	88668542	88668552	+	0.000	0.000	Merged-chr17-88668603-31
NR2935--MA0741.1.KLF16	chr1	156522401	156522411	-	0.000	0.000	Merged-chr1-156522298-40
NR46239--MA0742.1.Klf12	chr4	150518992	150519006	+	0.000	0.000	Merged-chr4-150519164-27
NR31583--MA0740.1.KLF14	chr19	17268912	17268925	+	0.000	0.000	Merged-chr19-17268849-24
NR52196--MA0742.1.Klf12	chr6	51612635	51612649	+	0.000	0.000	Merged-chr6-51612673-21
NR3994--MA0741.1.KLF16	chr1	182764210	182764220	-	0.000	0.000	Merged-chr1-182764155-66
NR16869--MA1107.1.KLF9	chr13	64432306	64432318	+	0.000	0.000	Merged-chr13-64432516-70
NR8402--MA0599.1.KLF5	chr10	122755185	122755194	-	0.000	0.000	Merged-chr10-122755211-20
NR54009--MA0039.3.KLF4	chr6	125468296	125468306	+	0.000	0.000	Merged-chr6-125468241-50
NR18937--MA1107.1.KLF9	chr14	31556324	31556336	-	0.000	0.000	Merged-chr14-31556211-33
NR453--MA1107.1.KLF9	chr1	39702679	39702691	-	0.000	0.000	Merged-chr1-39702774-23
NR56910--MA1107.1.KLF9	chr7	64012060	64012072	-	0.000	0.000	Merged-chr7-64011985-78
NR1127--MA0599.1.KLF5	chr1	75234770	75234779	+	0.000	0.000	Merged-chr1-75234858-28
NR48049--MA0599.1.KLF5	chr5	73223277	73223286	+	0.000	0.000	Merged-chr5-73223278-33
NR38439--MA0493.1.Klf1	chr3	9500017	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR56280--MA0599.1.KLF5	chr7	35119050	35119059	-	0.000	0.000	Merged-chr7-35119008-87
NR62864--MA0740.1.KLF14	chr8	122769455	122769468	-	0.000	0.000	Merged-chr8-122769435-21
NR66604--MA0740.1.KLF14	chr9	118821827	118821840	-	0.000	0.000	Merged-chr9-118821695-53
NR4503--MA1107.1.KLF9	chr1	191486768	191486780	-	0.000	0.000	Merged-chr1-191486758-12
NR29296--MA0039.3.KLF4	chr18	32311869	32311879	-	0.000	0.000	Merged-chr18-32311918-36
NR38438--MA0039.3.KLF4	chr3	9500015	9500025	-	0.000	0.000	Merged-chr3-9499976-58
NR64452--MA1107.1.KLF9	chr9	61779365	61779377	+	0.000	0.000	Merged-chr9-61779248-32
NR23899--MA1107.1.KLF9	chr16	18733717	18733729	-	0.000	0.000	Merged-chr16-18733506-32
NR4825--MA0741.1.KLF16	chr10	7212243	7212253	-	0.000	0.000	Merged-chr10-7212223-140
NR51848--MA0741.1.KLF16	chr6	37564039	37564049	+	0.000	0.000	Merged-chr6-37564158-19
NR64318--MA1107.1.KLF9	chr9	58112347	58112359	-	0.000	0.000	Merged-chr9-58112486-25
NR5630--MA0599.1.KLF5	chr10	58480174	58480183	-	0.000	0.000	Merged-chr10-58480234-23
NR21837--MA0599.1.KLF5	chr15	66286837	66286846	-	0.000	0.000	Merged-chr15-66286791-54
NR65029--MA0740.1.KLF14	chr9	77456718	77456731	+	0.000	0.000	Merged-chr9-77456588-28
NR54297--MA0740.1.KLF14	chr6	134183957	134183970	+	0.000	0.000	Merged-chr6-134184108-53
NR21724--MA1107.1.KLF9	chr15	59019022	59019034	+	0.000	0.000	Merged-chr15-59019141-20
NR27811--MA1107.1.KLF9	chr17	56425191	56425203	-	0.000	0.000	Merged-chr17-56425045-2
