#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR6484--MA0493.1.Klf1	chr10	77624635	77624645	-	0.000	0.000	Merged-chr10-77624666-9
NR5613--MA1107.1.KLF9	chr10	42269538	42269550	+	0.000	0.000	Merged-chr10-42269495-58
NR55770--MA0599.1.KLF5	chr6	119199131	119199140	+	0.000	0.000	Merged-chr6-119199024-52
NR43746--MA0741.1.KLF16	chr3	152209697	152209707	-	0.000	0.000	Merged-chr3-152209810-2
NR1049--MA0741.1.KLF16	chr1	66897066	66897076	+	0.000	0.000	Merged-chr1-66897217-4
NR5605--MA0493.1.Klf1	chr10	42269337	42269347	-	0.000	0.000	Merged-chr10-42269495-58
NR25451--MA0599.1.KLF5	chr16	35696279	35696288	-	0.000	0.000	Merged-chr16-35696360-41
NR13683--MA1107.1.KLF9	chr12	25155528	25155540	-	0.000	0.000	Merged-chr12-25155613-40
NR6467--MA0741.1.KLF16	chr10	77264472	77264482	+	0.000	0.000	Merged-chr10-77264465-20
NR67891--MA0599.1.KLF5	chr9	94607631	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR48048--MA0741.1.KLF16	chr4	150894754	150894764	+	0.000	0.000	Merged-chr4-150894695-19
NR68721--MA0493.1.Klf1	chr9	114016562	114016572	-	0.000	0.000	Merged-chr9-114016465-30
NR6843--MA0493.1.Klf1	chr10	80668811	80668821	+	0.000	0.000	Merged-chr10-80668783-8
NR5607--MA0740.1.KLF14	chr10	42269391	42269404	-	0.000	0.000	Merged-chr10-42269495-58
NR6964--MA0493.1.Klf1	chr10	81401939	81401949	-	0.000	0.000	Merged-chr10-81401925-26
NR69135--MA0493.1.Klf1	chr9	120039507	120039517	-	0.000	0.000	Merged-chr9-120039595-19
NR55625--MA0741.1.KLF16	chr6	115515938	115515948	+	0.000	0.000	Merged-chr6-115515938-20
NR24270--MA0741.1.KLF16	chr15	98793197	98793207	-	0.000	0.000	Merged-chr15-98793364-7
NR33450--MA0599.1.KLF5	chr19	37333675	37333684	-	0.000	0.000	Merged-chr19-37333490-26
NR10535--MA1107.1.KLF9	chr11	70622563	70622575	-	0.000	0.000	Merged-chr11-70622499-26
NR21802--MA0741.1.KLF16	chr14	121315917	121315927	-	0.000	0.000	Merged-chr14-121315767-6
NR24268--MA0599.1.KLF5	chr15	98793198	98793207	-	0.000	0.000	Merged-chr15-98793364-7
NR55461--MA1107.1.KLF9	chr6	112862181	112862193	+	0.000	0.000	Merged-chr6-112862022-40
NR8253--MA0493.1.Klf1	chr10	117969955	117969965	-	0.000	0.000	Merged-chr10-117970017-9
NR19677--MA1107.1.KLF9	chr14	27268328	27268340	-	0.000	0.000	Merged-chr14-27268313-23
NR64286--MA0493.1.Klf1	chr8	104439604	104439614	-	0.000	0.000	Merged-chr8-104439585-1
NR27323--MA0599.1.KLF5	chr17	21383737	21383746	-	0.000	0.000	Merged-chr17-21383828-70
NR60136--MA0039.3.KLF4	chr7	98995321	98995331	-	0.000	0.000	Merged-chr7-98995432-21
NR38330--MA1107.1.KLF9	chr2	147832605	147832617	+	0.000	0.000	Merged-chr2-147832545-2
NR52249--MA0742.1.Klf12	chr5	136449968	136449982	-	0.000	0.000	Merged-chr5-136449962-15
NR55457--MA1107.1.KLF9	chr6	112862173	112862185	+	0.000	0.000	Merged-chr6-112862022-40
NR20588--MA0741.1.KLF16	chr14	64628299	64628309	+	0.000	0.000	Merged-chr14-64628307-21
NR14478--MA0742.1.Klf12	chr12	76085168	76085182	-	0.000	0.000	Merged-chr12-76085234-6
NR25371--MA0493.1.Klf1	chr16	32516544	32516554	-	0.000	0.000	Merged-chr16-32516451-30
NR15709--MA0741.1.KLF16	chr12	111166500	111166510	+	0.000	0.000	Merged-chr12-111166510-86
NR3078--MA0599.1.KLF5	chr1	162565217	162565226	+	0.000	0.000	Merged-chr1-162565187-22
NR46384--MA0740.1.KLF14	chr4	119947765	119947778	-	0.000	0.000	Merged-chr4-119947761-47
NR7978--MA1107.1.KLF9	chr10	111562799	111562811	+	0.000	0.000	Merged-chr10-111562842-26
NR6842--MA0740.1.KLF14	chr10	80668811	80668824	+	0.000	0.000	Merged-chr10-80668783-8
NR13049--MA1107.1.KLF9	chr11	118035286	118035298	-	0.000	0.000	Merged-chr11-118035350-21
NR52765--MA0039.3.KLF4	chr5	143975136	143975146	+	0.000	0.000	Merged-chr5-143975077-1
NR57647--MA0493.1.Klf1	chr7	4777375	4777385	+	0.000	0.000	Merged-chr7-4777194-35
NR62600--MA0599.1.KLF5	chr8	25578428	25578437	+	0.000	0.000	Merged-chr8-25578502-39
NR32943--MA0741.1.KLF16	chr19	12012381	12012391	+	0.000	0.000	Merged-chr19-12012380-1
NR48049--MA0599.1.KLF5	chr4	150894786	150894795	+	0.000	0.000	Merged-chr4-150894695-19
NR5007--MA0493.1.Klf1	chr10	10307608	10307618	-	0.000	0.000	Merged-chr10-10307543-35
NR4588--MA0741.1.KLF16	chr1	191802748	191802758	-	0.000	0.000	Merged-chr1-191802759-25
NR38326--MA0039.3.KLF4	chr2	147832615	147832625	+	0.000	0.000	Merged-chr2-147832545-2
NR38344--MA0741.1.KLF16	chr2	147832655	147832665	-	0.000	0.000	Merged-chr2-147832545-2
NR39588--MA0599.1.KLF5	chr2	173058379	173058388	+	0.000	0.000	Merged-chr2-173058409-5
NR8250--MA0742.1.Klf12	chr10	117969951	117969965	-	0.000	0.000	Merged-chr10-117970017-9
NR22913--MA0493.1.Klf1	chr15	66786732	66786742	+	0.000	0.000	Merged-chr15-66786864-7
