#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR9753--MA0089.1.MAFG::NFE2L1	chr6	54902653	54902658	+	0.000	0.000	Merged-chr6-54902774-18
NR9507--MA0659.1.MAFG	chr5	146655355	146655375	-	0.000	0.000	Merged-chr5-146655552-37
NR265--MA0089.1.MAFG::NFE2L1	chr1	78478073	78478078	+	0.000	0.000	Merged-chr1-78478073-15
NR6424--MA0591.1.Bach1::Mafk	chr2	32867505	32867519	-	0.000	0.000	Merged-chr2-32867635-14
NR2319--MA0496.2.MAFK	chr11	108094972	108094990	+	0.000	0.000	Merged-chr11-108095008-29
NR11029--MA0089.1.MAFG::NFE2L1	chr7	125621881	125621886	-	0.000	0.000	Merged-chr7-125621906-18
NR11682--MA0089.1.MAFG::NFE2L1	chr8	124255706	124255711	-	0.000	0.000	Merged-chr8-124255729-8
NR1322--MA0089.1.MAFG::NFE2L1	chr10	76270398	76270403	-	0.000	0.000	Merged-chr10-76270300-7
NR8051--MA0089.1.MAFG::NFE2L1	chr3	149394037	149394042	+	0.000	0.000	Merged-chr3-149393865-18
NR10273--MA0089.1.MAFG::NFE2L1	chr6	140466497	140466502	-	0.000	0.000	Merged-chr6-140466408-37
NR9397--MA0089.1.MAFG::NFE2L1	chr5	124233201	124233206	-	0.000	0.000	Merged-chr5-124233258-22
NR11780--MA0089.1.MAFG::NFE2L1	chr8	128595102	128595107	+	0.000	0.000	Merged-chr8-128595191-53
NR3731--MA0591.1.Bach1::Mafk	chr14	27351647	27351661	+	0.000	0.000	Merged-chr14-27351647-44
NR4549--MA0496.2.MAFK	chr15	100265725	100265743	+	0.000	0.000	Merged-chr15-100265875-19
NR7973--MA0117.2.Mafb	chr3	142545600	142545611	+	0.000	0.000	Merged-chr3-142545607-21
NR11097--MA0117.2.Mafb	chr7	135581187	135581198	-	0.000	0.000	Merged-chr7-135581080-39
NR10760--MA0089.1.MAFG::NFE2L1	chr7	89253032	89253037	-	0.000	0.000	Merged-chr7-89253007-2
NR2542--MA0591.1.Bach1::Mafk	chr12	25240220	25240234	-	0.000	0.000	Merged-chr12-25240283-42
NR992--MA0496.2.MAFK	chr1	193201462	193201480	-	0.000	0.000	Merged-chr1-193201306-86
NR12158--MA0496.2.MAFK	chr9	89221267	89221285	-	0.000	0.000	Merged-chr9-89221104-50
NR4158--MA0659.1.MAFG	chr15	12008206	12008226	+	0.000	0.000	Merged-chr15-12008199-38
NR9804--MA0117.2.Mafb	chr6	70714417	70714428	-	0.000	0.000	Merged-chr6-70714490-34
NR9809--MA0659.1.MAFG	chr6	70714455	70714475	+	0.000	0.000	Merged-chr6-70714490-34
NR7629--MA0117.2.Mafb	chr3	79504674	79504685	-	0.000	0.000	Merged-chr3-79504650-9
NR9811--MA0496.2.MAFK	chr6	70714456	70714474	+	0.000	0.000	Merged-chr6-70714490-34
NR11899--MA0117.2.Mafb	chr9	48817460	48817471	-	0.000	0.000	Merged-chr9-48817420-28
NR10305--MA0089.1.MAFG::NFE2L1	chr6	142780002	142780007	+	0.000	0.000	Merged-chr6-142779867-87
NR4441--MA0089.1.MAFG::NFE2L1	chr15	81872346	81872351	-	0.000	0.000	Merged-chr15-81872198-88
NR6242--MA0496.2.MAFK	chr19	58104747	58104765	-	0.000	0.000	Merged-chr19-58104736-34
NR9747--MA0659.1.MAFG	chr6	54775914	54775934	-	0.000	0.000	Merged-chr6-54775842-27
NR7524--MA0501.1.MAF::NFE2	chr3	28244543	28244557	+	0.000	0.000	Merged-chr3-28244555-21
NR6425--MA0501.1.MAF::NFE2	chr2	32867502	32867516	-	0.000	0.000	Merged-chr2-32867635-14
NR5598--MA0089.1.MAFG::NFE2L1	chr18	23734842	23734847	-	0.000	0.000	Merged-chr18-23734973-16
NR6135--MA0089.1.MAFG::NFE2L1	chr19	41366698	41366703	-	0.000	0.000	Merged-chr19-41366765-21
NR7460--MA0591.1.Bach1::Mafk	chr2	180732251	180732265	-	0.000	0.000	Merged-chr2-180732168-28
NR9323--MA0089.1.MAFG::NFE2L1	chr5	112242535	112242540	+	0.000	0.000	Merged-chr5-112242517-49
NR9508--MA0496.2.MAFK	chr5	146655356	146655374	+	0.000	0.000	Merged-chr5-146655552-37
NR12156--MA0495.2.MAFF	chr9	89221266	89221286	-	0.000	0.000	Merged-chr9-89221104-50
NR4209--MA0117.2.Mafb	chr15	38122314	38122325	+	0.000	0.000	Merged-chr15-38122272-49
NR9234--MA0089.1.MAFG::NFE2L1	chr5	100466778	100466783	+	0.000	0.000	Merged-chr5-100466890-43
NR11643--MA0089.1.MAFG::NFE2L1	chr8	120716594	120716599	+	0.000	0.000	Merged-chr8-120716591-36
NR9505--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	-	0.000	0.000	Merged-chr5-146655552-37
NR5300--MA0089.1.MAFG::NFE2L1	chr17	50171180	50171185	-	0.000	0.000	Merged-chr17-50171299-20
NR5702--MA0591.1.Bach1::Mafk	chr18	50022529	50022543	-	0.000	0.000	Merged-chr18-50022640-10
NR2317--MA0659.1.MAFG	chr11	108094971	108094991	+	0.000	0.000	Merged-chr11-108095008-29
NR9745--MA0591.1.Bach1::Mafk	chr6	54775917	54775931	-	0.000	0.000	Merged-chr6-54775842-27
NR8872--MA0496.2.MAFK	chr5	5420343	5420361	-	0.000	0.000	Merged-chr5-5420247-39
NR11366--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	-	0.000	0.000	Merged-chr8-71587200-14
