#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR1529--MA0768.1.LEF1	chr6	73210573	73210587	+	0.000	0.000	Merged-chr6-73210689-51
NR892--MA0768.1.LEF1	chr18	53411604	53411618	+	0.000	0.000	Merged-chr18-53411654-14
NR38--MA0768.1.LEF1	chr1	84742384	84742398	+	0.000	0.000	Merged-chr1-84742431-28
NR646--MA0768.1.LEF1	chr15	4124828	4124842	+	0.000	0.000	Merged-chr15-4124842-36
NR431--MA0768.1.LEF1	chr12	112855153	112855167	-	0.000	0.000	Merged-chr12-112855098-63
NR1547--MA0768.1.LEF1	chr6	94534987	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR1332--MA0768.1.LEF1	chr4	131901418	131901432	-	0.000	0.000	Merged-chr4-131901332-16
NR1565--MA0768.1.LEF1	chr6	100581186	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR418--MA0768.1.LEF1	chr12	105538381	105538395	+	0.000	0.000	Merged-chr12-105538395-6
NR1104--MA0768.1.LEF1	chr2	157746753	157746767	+	0.000	0.000	Merged-chr2-157746803-36
NR888--MA0768.1.LEF1	chr18	39657207	39657221	-	0.000	0.000	Merged-chr18-39657147-8
NR92--MA0768.1.LEF1	chr1	164136961	164136975	+	0.000	0.000	Merged-chr1-164136892-1
NR1122--MA0768.1.LEF1	chr2	173452363	173452377	+	0.000	0.000	Merged-chr2-173452276-60
NR1239--MA0768.1.LEF1	chr3	148465567	148465581	+	0.000	0.000	Merged-chr3-148465597-36
NR1906--MA0768.1.LEF1	chr9	79756211	79756225	+	0.000	0.000	Merged-chr9-79756214-5
NR486--MA0768.1.LEF1	chr13	51951833	51951847	-	0.000	0.000	Merged-chr13-51951802-36
NR1387--MA0768.1.LEF1	chr5	29195910	29195924	+	0.000	0.000	Merged-chr5-29195906-68
NR701--MA0768.1.LEF1	chr15	84168876	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR1190--MA0768.1.LEF1	chr3	115584849	115584863	-	0.000	0.000	Merged-chr3-115584831-13
NR1159--MA0768.1.LEF1	chr3	84595447	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR1732--MA0768.1.LEF1	chr7	125607594	125607608	+	0.000	0.000	Merged-chr7-125607654-51
NR276--MA0768.1.LEF1	chr11	74100908	74100922	+	0.000	0.000	Merged-chr11-74100988-13
NR1177--MA0768.1.LEF1	chr3	101029429	101029443	+	0.000	0.000	Merged-chr3-101029545-28
NR173--MA0768.1.LEF1	chr10	75001157	75001171	-	0.000	0.000	Merged-chr10-75001009-7
NR603--MA0768.1.LEF1	chr14	71075870	71075884	+	0.000	0.000	Merged-chr14-71075875-24
NR809--MA0768.1.LEF1	chr17	17826786	17826800	+	0.000	0.000	Merged-chr17-17826809-71
NR1540--MA0768.1.LEF1	chr6	88782956	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR1406--MA0768.1.LEF1	chr5	64297265	64297279	-	0.000	0.000	Merged-chr5-64297332-42
NR1518--MA0768.1.LEF1	chr6	65144646	65144660	+	0.000	0.000	Merged-chr6-65144806-50
NR1303--MA0768.1.LEF1	chr4	101217141	101217155	+	0.000	0.000	Merged-chr4-101217167-64
NR27--MA0768.1.LEF1	chr1	66552806	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR523--MA0768.1.LEF1	chr13	100866488	100866502	-	0.000	0.000	Merged-chr13-100866518-52
NR1894--MA0768.1.LEF1	chr9	69068575	69068589	+	0.000	0.000	Merged-chr9-69068633-33
NR1769--MA0768.1.LEF1	chr8	56443914	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR63--MA0768.1.LEF1	chr1	133012465	133012479	+	0.000	0.000	Merged-chr1-133012523-20
NR1460--MA0768.1.LEF1	chr5	122288603	122288617	+	0.000	0.000	Merged-chr5-122288620-47
NR671--MA0768.1.LEF1	chr15	59010907	59010921	+	0.000	0.000	Merged-chr15-59010782-34
NR81--MA0768.1.LEF1	chr1	159938619	159938633	+	0.000	0.000	Merged-chr1-159938641-24
NR1899--MA0768.1.LEF1	chr9	77430917	77430931	-	0.000	0.000	Merged-chr9-77430950-36
NR1796--MA0768.1.LEF1	chr8	86052111	86052125	-	0.000	0.000	Merged-chr8-86052123-41
NR1438--MA0768.1.LEF1	chr5	98018288	98018302	+	0.000	0.000	Merged-chr5-98018284-53
NR8--MA0768.1.LEF1	chr1	32104306	32104320	+	0.000	0.000	Merged-chr1-32104339-13
NR215--MA0768.1.LEF1	chr10	111578772	111578786	+	0.000	0.000	Merged-chr10-111578564-64
NR1474--MA0768.1.LEF1	chr5	140871435	140871449	-	0.000	0.000	Merged-chr5-140871418-38
NR578--MA0768.1.LEF1	chr14	49155777	49155791	+	0.000	0.000	Merged-chr14-49155726-21
NR363--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1264--MA0768.1.LEF1	chr4	41241025	41241039	+	0.000	0.000	Merged-chr4-41241074-39
NR475--MA0768.1.LEF1	chr13	35129658	35129672	-	0.000	0.000	Merged-chr13-35129636-40
NR381--MA0768.1.LEF1	chr12	76950384	76950398	+	0.000	0.000	Merged-chr12-76950525-26
NR905--MA0768.1.LEF1	chr18	69547455	69547469	-	0.000	0.000	Merged-chr18-69547283-22
NR1282--MA0768.1.LEF1	chr4	63928484	63928498	-	0.000	0.000	Merged-chr4-63928441-11
NR135--MA0768.1.LEF1	chr10	12961773	12961787	-	0.000	0.000	Merged-chr10-12961810-12
NR802--MA0768.1.LEF1	chr17	13479935	13479949	+	0.000	0.000	Merged-chr17-13479919-17
NR153--MA0768.1.LEF1	chr10	44678981	44678995	+	0.000	0.000	Merged-chr10-44678956-9
NR377--MA0768.1.LEF1	chr12	73888160	73888174	+	0.000	0.000	Merged-chr12-73888255-48
NR1954--MA0768.1.LEF1	chr9	121925042	121925056	+	0.000	0.000	Merged-chr9-121925182-15
NR919--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR149--MA0768.1.LEF1	chr10	36158104	36158118	-	0.000	0.000	Merged-chr10-36158337-60
NR1856--MA0768.1.LEF1	chr9	7576736	7576750	+	0.000	0.000	Merged-chr9-7576753-19
NR1641--MA0768.1.LEF1	chr7	37490470	37490484	-	0.000	0.000	Merged-chr7-37490614-68
NR297--MA0768.1.LEF1	chr11	97246831	97246845	+	0.000	0.000	Merged-chr11-97246717-13
NR1874--MA0768.1.LEF1	chr9	48447960	48447974	+	0.000	0.000	Merged-chr9-48448010-22
NR1507--MA0768.1.LEF1	chr6	41113489	41113503	+	0.000	0.000	Merged-chr6-41113305-59
NR1771--MA0768.1.LEF1	chr8	57477160	57477174	-	0.000	0.000	Merged-chr8-57477126-15
