#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR737--MA0035.3.Gata1	chr10	96204410	96204420	+	0.000	0.000	Merged-chr10-96204406-28
NR1369--MA0035.3.Gata1	chr12	13512375	13512385	+	0.000	0.000	Merged-chr12-13512538-15
NR6848--MA0036.3.GATA2	chr9	79970744	79970754	-	0.000	0.000	Merged-chr9-79970896-33
NR3221--MA0140.2.GATA1::TAL1	chr17	72932347	72932364	-	0.000	0.000	Merged-chr17-72932443-6
NR5327--MA0035.3.Gata1	chr5	107533776	107533786	+	0.000	0.000	Merged-chr5-107533890-8
NR4037--MA0037.3.GATA3	chr2	120026845	120026852	+	0.000	0.000	Merged-chr2-120026874-2
NR489--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR735--MA1104.1.GATA6	chr10	96204409	96204421	-	0.000	0.000	Merged-chr10-96204406-28
NR987--MA1104.1.GATA6	chr11	32445891	32445903	-	0.000	0.000	Merged-chr11-32445818-14
NR1821--MA0766.1.GATA5	chr13	43485540	43485547	-	0.000	0.000	Merged-chr13-43485409-24
NR3519--MA0482.1.Gata4	chr19	12805881	12805891	-	0.000	0.000	Merged-chr19-12806193-62
NR1973--MA0036.3.GATA2	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR985--MA0037.3.GATA3	chr11	32445893	32445900	-	0.000	0.000	Merged-chr11-32445818-14
NR4039--MA0766.1.GATA5	chr2	120026845	120026852	+	0.000	0.000	Merged-chr2-120026874-2
NR6846--MA0482.1.Gata4	chr9	79970743	79970753	-	0.000	0.000	Merged-chr9-79970896-33
NR6259--MA0036.3.GATA2	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR5819--MA0140.2.GATA1::TAL1	chr6	119217818	119217835	-	0.000	0.000	Merged-chr6-119217771-9
NR3518--MA0037.3.GATA3	chr19	12805884	12805891	+	0.000	0.000	Merged-chr19-12806193-62
NR842--MA0036.3.GATA2	chr10	117969929	117969939	-	0.000	0.000	Merged-chr10-117970017-9
NR3521--MA0036.3.GATA2	chr19	12805882	12805892	-	0.000	0.000	Merged-chr19-12806193-62
NR6850--MA0035.3.Gata1	chr9	79970744	79970754	-	0.000	0.000	Merged-chr9-79970896-33
NR4038--MA1104.1.GATA6	chr2	120026842	120026854	+	0.000	0.000	Merged-chr2-120026874-2
NR1543--MA0482.1.Gata4	chr12	93227050	93227060	+	0.000	0.000	Merged-chr12-93227052-12
NR1819--MA0482.1.Gata4	chr13	43485436	43485446	+	0.000	0.000	Merged-chr13-43485409-24
NR797--MA0037.3.GATA3	chr10	111583207	111583214	+	0.000	0.000	Merged-chr10-111583294-13
NR5323--MA0482.1.Gata4	chr5	107533777	107533787	+	0.000	0.000	Merged-chr5-107533890-8
NR2796--MA0140.2.GATA1::TAL1	chr16	23328329	23328346	-	0.000	0.000	Merged-chr16-23328334-50
NR736--MA0036.3.GATA2	chr10	96204410	96204420	+	0.000	0.000	Merged-chr10-96204406-28
NR988--MA0036.3.GATA2	chr11	32445892	32445902	+	0.000	0.000	Merged-chr11-32445818-14
NR6260--MA0766.1.GATA5	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR6849--MA0766.1.GATA5	chr9	79970746	79970753	+	0.000	0.000	Merged-chr9-79970896-33
NR5324--MA1104.1.GATA6	chr5	107533775	107533787	-	0.000	0.000	Merged-chr5-107533890-8
NR6261--MA0035.3.Gata1	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR3312--MA0140.2.GATA1::TAL1	chr18	36701897	36701914	-	0.000	0.000	Merged-chr18-36701992-26
