#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR1593--MA1421.1.TCF7L1	chr13	17536562	17536573	-	0.000	0.000	Merged-chr13-17536592-6
NR4991--MA0769.1.Tcf7	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR270--MA0769.1.Tcf7	chr1	143919109	143919120	-	0.000	0.000	Merged-chr1-143919214-54
NR2519--MA0523.1.TCF7L2	chr16	23286589	23286602	-	0.000	0.000	Merged-chr16-23286554-38
NR1400--MA0769.1.Tcf7	chr12	93227048	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR6345--MA0523.1.TCF7L2	chr9	89221273	89221286	-	0.000	0.000	Merged-chr9-89221104-50
NR4990--MA1421.1.TCF7L1	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR1735--MA1421.1.TCF7L1	chr13	85505143	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR519--MA0523.1.TCF7L2	chr10	22306666	22306679	-	0.000	0.000	Merged-chr10-22306595-58
NR4057--MA1421.1.TCF7L1	chr3	108727518	108727529	+	0.000	0.000	Merged-chr3-108727524-22
NR4900--MA1421.1.TCF7L1	chr5	113591787	113591798	-	0.000	0.000	Merged-chr5-113591973-17
NR5490--MA0769.1.Tcf7	chr7	31089915	31089926	+	0.000	0.000	Merged-chr7-31089914-34
NR1469--MA0523.1.TCF7L2	chr12	107971307	107971320	+	0.000	0.000	Merged-chr12-107971493-56
NR6446--MA0769.1.Tcf7	chr9	116366431	116366442	-	0.000	0.000	Merged-chr9-116366334-59
NR1782--MA0523.1.TCF7L2	chr13	101756833	101756846	-	0.000	0.000	Merged-chr13-101756830-17
NR155--MA0769.1.Tcf7	chr1	88267914	88267925	+	0.000	0.000	Merged-chr1-88267879-42
NR6236--MA0523.1.TCF7L2	chr9	57633601	57633614	+	0.000	0.000	Merged-chr9-57633729-59
NR5824--MA0523.1.TCF7L2	chr8	3355730	3355743	-	0.000	0.000	Merged-chr8-3355667-46
NR1399--MA0523.1.TCF7L2	chr12	93227046	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR2201--MA0769.1.Tcf7	chr14	120572590	120572601	-	0.000	0.000	Merged-chr14-120572441-59
NR1762--MA1421.1.TCF7L1	chr13	95719890	95719901	+	0.000	0.000	Merged-chr13-95719909-48
NR269--MA1421.1.TCF7L1	chr1	143919109	143919120	-	0.000	0.000	Merged-chr1-143919214-54
NR5030--MA0769.1.Tcf7	chr6	3536207	3536218	+	0.000	0.000	Merged-chr6-3536376-27
NR2200--MA1421.1.TCF7L1	chr14	120572590	120572601	-	0.000	0.000	Merged-chr14-120572441-59
NR2160--MA0769.1.Tcf7	chr14	103363339	103363350	-	0.000	0.000	Merged-chr14-103363341-36
NR3799--MA0523.1.TCF7L2	chr2	164868652	164868665	+	0.000	0.000	Merged-chr2-164868622-33
NR6344--MA1421.1.TCF7L1	chr9	89221275	89221286	-	0.000	0.000	Merged-chr9-89221104-50
NR5489--MA1421.1.TCF7L1	chr7	31089915	31089926	+	0.000	0.000	Merged-chr7-31089914-34
NR5637--MA0523.1.TCF7L2	chr7	101555788	101555801	-	0.000	0.000	Merged-chr7-101555691-65
NR2269--MA0523.1.TCF7L2	chr15	34096448	34096461	-	0.000	0.000	Merged-chr15-34096594-23
NR5988--MA0769.1.Tcf7	chr8	106007258	106007269	-	0.000	0.000	Merged-chr8-106007407-44
NR5029--MA1421.1.TCF7L1	chr6	3536207	3536218	+	0.000	0.000	Merged-chr6-3536376-27
NR6300--MA1421.1.TCF7L1	chr9	79914385	79914396	+	0.000	0.000	Merged-chr9-79914391-28
NR1736--MA0523.1.TCF7L2	chr13	85505141	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR5730--MA0523.1.TCF7L2	chr7	118120119	118120132	+	0.000	0.000	Merged-chr7-118120096-37
NR6150--MA0523.1.TCF7L2	chr9	20983425	20983438	-	0.000	0.000	Merged-chr9-20983328-26
NR1398--MA1421.1.TCF7L1	chr12	93227048	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR27--MA1421.1.TCF7L1	chr1	36162999	36163010	+	0.000	0.000	Merged-chr1-36162898-20
NR1737--MA0769.1.Tcf7	chr13	85505143	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR1460--MA0769.1.Tcf7	chr12	107139061	107139072	+	0.000	0.000	Merged-chr12-107139139-48
NR792--MA0769.1.Tcf7	chr10	117959677	117959688	+	0.000	0.000	Merged-chr10-117959672-9
NR6346--MA0769.1.Tcf7	chr9	89221275	89221286	-	0.000	0.000	Merged-chr9-89221104-50
NR3798--MA1421.1.TCF7L1	chr2	164868652	164868663	+	0.000	0.000	Merged-chr2-164868622-33
NR5638--MA0769.1.Tcf7	chr7	101555790	101555801	-	0.000	0.000	Merged-chr7-101555691-65
NR1459--MA0523.1.TCF7L2	chr12	107139061	107139074	+	0.000	0.000	Merged-chr12-107139139-48
NR3574--MA1421.1.TCF7L1	chr2	90528495	90528506	+	0.000	0.000	Merged-chr2-90528384-23
