#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR5631--MA0769.1.Tcf7	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR2785--MA0523.1.TCF7L2	chr19	9044556	9044569	-	0.000	0.000	Merged-chr19-9044473-28
NR4941--MA0769.1.Tcf7	chr7	109265715	109265726	-	0.000	0.000	Merged-chr7-109265818-41
NR1927--MA0523.1.TCF7L2	chr15	9533555	9533568	+	0.000	0.000	Merged-chr15-9533546-44
NR5140--MA0769.1.Tcf7	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR2179--MA0523.1.TCF7L2	chr16	25587908	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR3888--MA0769.1.Tcf7	chr4	123588955	123588966	-	0.000	0.000	Merged-chr4-123588937-38
NR2387--MA0769.1.Tcf7	chr17	21231899	21231910	+	0.000	0.000	Merged-chr17-21231861-25
NR1405--MA0769.1.Tcf7	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR5138--MA0523.1.TCF7L2	chr8	56443930	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR4944--MA0769.1.Tcf7	chr7	109265817	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR2330--MA0769.1.Tcf7	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR3427--MA1421.1.TCF7L1	chr3	84023024	84023035	-	0.000	0.000	Merged-chr3-84022944-34
NR1030--MA0769.1.Tcf7	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR5139--MA0769.1.Tcf7	chr8	56443917	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR2329--MA0523.1.TCF7L2	chr16	95869617	95869630	+	0.000	0.000	Merged-chr16-95869616-44
NR2595--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR1031--MA0523.1.TCF7L2	chr11	104158013	104158026	-	0.000	0.000	Merged-chr11-104158136-14
NR4579--MA0523.1.TCF7L2	chr6	120934363	120934376	+	0.000	0.000	Merged-chr6-120934426-25
NR2474--MA0523.1.TCF7L2	chr17	52592022	52592035	-	0.000	0.000	Merged-chr17-52591988-50
NR1029--MA1421.1.TCF7L1	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR4976--MA1421.1.TCF7L1	chr7	119720689	119720700	-	0.000	0.000	Merged-chr7-119720659-81
NR1205--MA1421.1.TCF7L1	chr12	69093359	69093370	+	0.000	0.000	Merged-chr12-69093362-15
NR3878--MA0523.1.TCF7L2	chr4	118406372	118406385	-	0.000	0.000	Merged-chr4-118406334-12
NR2675--MA0523.1.TCF7L2	chr18	66528875	66528888	+	0.000	0.000	Merged-chr18-66528856-1
