#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR1227--MA0508.2.PRDM1	chr2	144646519	144646528	-	0.000	0.000	Merged-chr2-144646502-21
NR630--MA0508.2.PRDM1	chr14	16270106	16270115	+	0.000	0.000	Merged-chr14-16270059-31
NR364--MA0508.2.PRDM1	chr11	83662446	83662455	+	0.000	0.000	Merged-chr11-83662452-14
NR505--MA0508.2.PRDM1	chr12	117959154	117959163	-	0.000	0.000	Merged-chr12-117959315-24
NR683--MA0508.2.PRDM1	chr14	73175902	73175911	+	0.000	0.000	Merged-chr14-73175814-32
NR606--MA0508.2.PRDM1	chr13	110564221	110564230	+	0.000	0.000	Merged-chr13-110564159-46
NR205--MA0508.2.PRDM1	chr10	37249763	37249772	+	0.000	0.000	Merged-chr10-37249909-39
NR1805--MA0508.2.PRDM1	chr6	129817851	129817860	-	0.000	0.000	Merged-chr6-129817846-22
NR1404--MA0508.2.PRDM1	chr3	139033227	139033236	+	0.000	0.000	Merged-chr3-139033383-15
NR1385--MA0508.2.PRDM1	chr3	130796716	130796725	+	0.000	0.000	Merged-chr3-130796721-21
NR570--MA0508.2.PRDM1	chr13	85499899	85499908	-	0.000	0.000	Merged-chr13-85499791-10
NR1744--MA0508.2.PRDM1	chr6	83718257	83718266	-	0.000	0.000	Merged-chr6-83718285-22
NR1478--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR241--MA0508.2.PRDM1	chr10	76802277	76802286	-	0.000	0.000	Merged-chr10-76802342-40
NR1797--MA0508.2.PRDM1	chr6	125541002	125541011	+	0.000	0.000	Merged-chr6-125540912-17
NR730--MA0508.2.PRDM1	chr15	31117626	31117635	-	0.000	0.000	Merged-chr15-31117559-26
NR616--MA0508.2.PRDM1	chr13	115042838	115042847	+	0.000	0.000	Merged-chr13-115042812-10
NR1270--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR1825--MA0508.2.PRDM1	chr6	140724837	140724846	+	0.000	0.000	Merged-chr6-140724746-15
NR1849--MA0508.2.PRDM1	chr7	12891113	12891122	-	0.000	0.000	Merged-chr7-12891207-39
NR100--MA0508.2.PRDM1	chr1	155505876	155505885	-	0.000	0.000	Merged-chr1-155505844-22
NR1654--MA0508.2.PRDM1	chr5	107546186	107546195	+	0.000	0.000	Merged-chr5-107546120-23
NR1232--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR1830--MA0508.2.PRDM1	chr6	143176984	143176993	+	0.000	0.000	Merged-chr6-143176847-16
NR1577--MA0508.2.PRDM1	chr4	147808609	147808618	+	0.000	0.000	Merged-chr4-147808670-28
NR1609--MA0508.2.PRDM1	chr5	43856007	43856016	+	0.000	0.000	Merged-chr5-43855987-24
NR1527--MA0508.2.PRDM1	chr4	118406247	118406256	+	0.000	0.000	Merged-chr4-118406334-12
NR1745--MA0508.2.PRDM1	chr6	83718295	83718304	+	0.000	0.000	Merged-chr6-83718285-22
