#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR2077--MA0768.1.LEF1	chr5	100875851	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR356--MA0768.1.LEF1	chr10	120193465	120193479	+	0.000	0.000	Merged-chr10-120193454-50
NR253--MA0768.1.LEF1	chr10	44821926	44821940	+	0.000	0.000	Merged-chr10-44821803-43
NR276--MA0768.1.LEF1	chr10	61306349	61306363	+	0.000	0.000	Merged-chr10-61306308-35
NR1289--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR966--MA0768.1.LEF1	chr15	98623374	98623388	-	0.000	0.000	Merged-chr15-98623504-45
NR1424--MA0768.1.LEF1	chr2	48328421	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR2528--MA0768.1.LEF1	chr8	83779698	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR2121--MA0768.1.LEF1	chr5	137857125	137857139	+	0.000	0.000	Merged-chr5-137857044-20
NR2073--MA0768.1.LEF1	chr5	100526268	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR1888--MA0768.1.LEF1	chr4	88010644	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR1333--MA0768.1.LEF1	chr19	33081781	33081795	-	0.000	0.000	Merged-chr19-33081699-35
NR2553--MA0768.1.LEF1	chr8	115188725	115188739	-	0.000	0.000	Merged-chr8-115188643-43
NR795--MA0768.1.LEF1	chr14	54061806	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR1383--MA0768.1.LEF1	chr2	11617019	11617033	+	0.000	0.000	Merged-chr2-11617013-39
NR254--MA0768.1.LEF1	chr10	44821970	44821984	-	0.000	0.000	Merged-chr10-44821803-43
NR828--MA0768.1.LEF1	chr14	78687933	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR1550--MA0768.1.LEF1	chr2	127923292	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR2220--MA0768.1.LEF1	chr6	88782956	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR1032--MA0768.1.LEF1	chr16	49772876	49772890	+	0.000	0.000	Merged-chr16-49772867-33
NR2695--MA0768.1.LEF1	chr9	108146578	108146592	-	0.000	0.000	Merged-chr9-108146589-26
NR871--MA0768.1.LEF1	chr14	122290588	122290602	+	0.000	0.000	Merged-chr14-122290582-19
NR415--MA0768.1.LEF1	chr11	73094444	73094458	+	0.000	0.000	Merged-chr11-73094317-1
NR1903--MA0768.1.LEF1	chr4	101176525	101176539	+	0.000	0.000	Merged-chr4-101176356-14
NR241--MA0768.1.LEF1	chr10	28564335	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR600--MA0768.1.LEF1	chr13	8458069	8458083	+	0.000	0.000	Merged-chr13-8458004-23
NR157--MA0768.1.LEF1	chr1	160054590	160054604	+	0.000	0.000	Merged-chr1-160054348-51
NR2394--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
