#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR202--MA0508.2.PRDM1	chr10	30655970	30655979	+	0.000	0.000	Merged-chr10-30655945-56
NR725--MA0508.2.PRDM1	chr15	9567530	9567539	+	0.000	0.000	Merged-chr15-9567519-26
NR1118--MA0508.2.PRDM1	chr2	44354957	44354966	-	0.000	0.000	Merged-chr2-44354925-23
NR890--MA0508.2.PRDM1	chr17	26572246	26572255	-	0.000	0.000	Merged-chr17-26572396-49
NR685--MA0508.2.PRDM1	chr14	74918627	74918636	-	0.000	0.000	Merged-chr14-74918775-39
NR412--MA0508.2.PRDM1	chr12	8659992	8660001	-	0.000	0.000	Merged-chr12-8659979-34
NR1078--MA0508.2.PRDM1	chr19	55792951	55792960	+	0.000	0.000	Merged-chr19-55792789-50
NR255--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR983--MA0508.2.PRDM1	chr18	67255672	67255681	-	0.000	0.000	Merged-chr18-67255745-40
NR473--MA0508.2.PRDM1	chr12	101053592	101053601	-	0.000	0.000	Merged-chr12-101053641-9
NR234--MA0508.2.PRDM1	chr10	68239161	68239170	+	0.000	0.000	Merged-chr10-68239369-73
NR200--MA0508.2.PRDM1	chr10	26879203	26879212	+	0.000	0.000	Merged-chr10-26879299-36
NR160--MA0508.2.PRDM1	chr1	191609756	191609765	-	0.000	0.000	Merged-chr1-191609738-30
NR478--MA0508.2.PRDM1	chr12	104062022	104062031	+	0.000	0.000	Merged-chr12-104062030-43
NR18--MA0508.2.PRDM1	chr1	60017118	60017127	-	0.000	0.000	Merged-chr1-60017133-4
NR314--MA0508.2.PRDM1	chr11	22814205	22814214	-	0.000	0.000	Merged-chr11-22814136-127
NR383--MA0508.2.PRDM1	chr11	96996675	96996684	-	0.000	0.000	Merged-chr11-96996617-51
NR306--MA0508.2.PRDM1	chr11	4289425	4289434	+	0.000	0.000	Merged-chr11-4289401-53
NR829--MA0508.2.PRDM1	chr16	52132955	52132964	-	0.000	0.000	Merged-chr16-52133067-26
NR1884--MA0508.2.PRDM1	chr7	75910532	75910541	-	0.000	0.000	Merged-chr7-75910458-70
NR1850--MA0508.2.PRDM1	chr7	16001783	16001792	-	0.000	0.000	Merged-chr7-16001989-41
NR768--MA0508.2.PRDM1	chr15	95885123	95885132	+	0.000	0.000	Merged-chr15-95885143-33
NR1842--MA0508.2.PRDM1	chr6	148436570	148436579	-	0.000	0.000	Merged-chr6-148436541-68
NR1821--MA0508.2.PRDM1	chr6	136683929	136683938	+	0.000	0.000	Merged-chr6-136683885-26
NR1311--MA0508.2.PRDM1	chr3	59222492	59222501	-	0.000	0.000	Merged-chr3-59222464-17
NR910--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR189--MA0508.2.PRDM1	chr10	17828041	17828050	-	0.000	0.000	Merged-chr10-17827922-26
NR902--MA0508.2.PRDM1	chr17	36205666	36205675	-	0.000	0.000	Merged-chr17-36205720-56
NR1133--MA0508.2.PRDM1	chr2	60080213	60080222	+	0.000	0.000	Merged-chr2-60080152-7
NR1330--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR1614--MA0508.2.PRDM1	chr5	53994860	53994869	+	0.000	0.000	Merged-chr5-53994753-10
NR1138--MA0508.2.PRDM1	chr2	65104805	65104814	-	0.000	0.000	Merged-chr2-65104683-25
NR1200--MA0508.2.PRDM1	chr2	124634787	124634796	-	0.000	0.000	Merged-chr2-124634585-20
NR1749--MA0508.2.PRDM1	chr6	94646499	94646508	-	0.000	0.000	Merged-chr6-94646597-32
NR934--MA0508.2.PRDM1	chr17	86187956	86187965	-	0.000	0.000	Merged-chr17-86187981-35
NR1077--MA0508.2.PRDM1	chr19	53900127	53900136	-	0.000	0.000	Merged-chr19-53900039-75
NR1728--MA0508.2.PRDM1	chr6	65564421	65564430	-	0.000	0.000	Merged-chr6-65564422-101
NR1295--MA0508.2.PRDM1	chr3	32417918	32417927	-	0.000	0.000	Merged-chr3-32417870-35
NR804--MA0508.2.PRDM1	chr16	24836748	24836757	-	0.000	0.000	Merged-chr16-24836747-26
NR1675--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR764--MA0508.2.PRDM1	chr15	94565076	94565085	-	0.000	0.000	Merged-chr15-94565077-32
NR1287--MA0508.2.PRDM1	chr3	18243930	18243939	-	0.000	0.000	Merged-chr3-18243680-52
NR1558--MA0508.2.PRDM1	chr4	136031644	136031653	+	0.000	0.000	Merged-chr4-136031447-41
NR1048--MA0508.2.PRDM1	chr19	30924284	30924293	-	0.000	0.000	Merged-chr19-30924347-34
NR1428--MA0508.2.PRDM1	chr3	148491528	148491537	-	0.000	0.000	Merged-chr3-148491583-74
NR124--MA0508.2.PRDM1	chr1	170167939	170167948	-	0.000	0.000	Merged-chr1-170167960-28
NR613--MA0508.2.PRDM1	chr13	114151393	114151402	+	0.000	0.000	Merged-chr13-114151304-52
NR180--MA0508.2.PRDM1	chr10	12851222	12851231	+	0.000	0.000	Merged-chr10-12851139-23
NR1149--MA0508.2.PRDM1	chr2	75685510	75685519	-	0.000	0.000	Merged-chr2-75685689-38
NR321--MA0508.2.PRDM1	chr11	32000055	32000064	-	0.000	0.000	Merged-chr11-32000120-91
NR1088--MA0508.2.PRDM1	chr2	7270166	7270175	+	0.000	0.000	Merged-chr2-7270224-62
NR578--MA0508.2.PRDM1	chr13	94153740	94153749	-	0.000	0.000	Merged-chr13-94153821-20
NR135--MA0508.2.PRDM1	chr1	176939833	176939842	-	0.000	0.000	Merged-chr1-176939939-16
NR406--MA0508.2.PRDM1	chr11	121064228	121064237	-	0.000	0.000	Merged-chr11-121064322-30
NR244--MA0508.2.PRDM1	chr10	79417332	79417341	-	0.000	0.000	Merged-chr10-79417442-89
NR101--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR2063--MA0508.2.PRDM1	chr9	35475658	35475667	-	0.000	0.000	Merged-chr9-35475679-27
NR1291--MA0508.2.PRDM1	chr3	22041037	22041046	-	0.000	0.000	Merged-chr3-22040885-32
NR608--MA0508.2.PRDM1	chr13	110825021	110825030	+	0.000	0.000	Merged-chr13-110825010-20
NR459--MA0508.2.PRDM1	chr12	90576320	90576329	-	0.000	0.000	Merged-chr12-90576423-51
NR1650--MA0508.2.PRDM1	chr5	105198272	105198281	-	0.000	0.000	Merged-chr5-105198197-37
NR2156--MA0508.2.PRDM1	chr9	122399008	122399017	+	0.000	0.000	Merged-chr9-122399009-31
NR438--MA0508.2.PRDM1	chr12	69102090	69102099	-	0.000	0.000	Merged-chr12-69102156-32
NR21--MA0508.2.PRDM1	chr1	64486486	64486495	+	0.000	0.000	Merged-chr1-64486540-36
NR2074--MA0508.2.PRDM1	chr9	48447914	48447923	+	0.000	0.000	Merged-chr9-48448010-22
NR962--MA0508.2.PRDM1	chr18	39664384	39664393	+	0.000	0.000	Merged-chr18-39664266-42
NR1485--MA0508.2.PRDM1	chr4	63639076	63639085	-	0.000	0.000	Merged-chr4-63639054-20
NR1974--MA0508.2.PRDM1	chr8	13992655	13992664	+	0.000	0.000	Merged-chr8-13992764-55
NR1509--MA0508.2.PRDM1	chr4	92942503	92942512	-	0.000	0.000	Merged-chr4-92942379-25
NR933--MA0508.2.PRDM1	chr17	86187950	86187959	-	0.000	0.000	Merged-chr17-86187981-35
NR1204--MA0508.2.PRDM1	chr2	128367757	128367766	-	0.000	0.000	Merged-chr2-128367839-63
NR1469--MA0508.2.PRDM1	chr4	48012445	48012454	+	0.000	0.000	Merged-chr4-48012358-52
NR370--MA0508.2.PRDM1	chr11	85384496	85384505	-	0.000	0.000	Merged-chr11-85384605-20
NR1055--MA0508.2.PRDM1	chr19	33081663	33081672	-	0.000	0.000	Merged-chr19-33081699-35
NR893--MA0508.2.PRDM1	chr17	29552540	29552549	+	0.000	0.000	Merged-chr17-29552502-38
NR1401--MA0508.2.PRDM1	chr3	138424329	138424338	-	0.000	0.000	Merged-chr3-138424188-63
NR620--MA0508.2.PRDM1	chr13	117033923	117033932	+	0.000	0.000	Merged-chr13-117034098-43
NR1286--MA0508.2.PRDM1	chr3	18243924	18243933	-	0.000	0.000	Merged-chr3-18243680-52
NR1143--MA0508.2.PRDM1	chr2	69415311	69415320	-	0.000	0.000	Merged-chr2-69415236-25
NR1047--MA0508.2.PRDM1	chr19	30924247	30924256	-	0.000	0.000	Merged-chr19-30924347-34
NR580--MA0508.2.PRDM1	chr13	95427598	95427607	-	0.000	0.000	Merged-chr13-95427714-10
NR612--MA0508.2.PRDM1	chr13	113396610	113396619	+	0.000	0.000	Merged-chr13-113396474-7
NR1475--MA0508.2.PRDM1	chr4	57813604	57813613	-	0.000	0.000	Merged-chr4-57813680-42
NR1053--MA0508.2.PRDM1	chr19	32999028	32999037	+	0.000	0.000	Merged-chr19-32999080-29
NR543--MA0508.2.PRDM1	chr13	51848938	51848947	+	0.000	0.000	Merged-chr13-51849013-24
NR665--MA0508.2.PRDM1	chr14	59553439	59553448	+	0.000	0.000	Merged-chr14-59553394-22
NR77--MA0508.2.PRDM1	chr1	138952323	138952332	+	0.000	0.000	Merged-chr1-138952405-35
NR1329--MA0508.2.PRDM1	chr3	78890037	78890046	-	0.000	0.000	Merged-chr3-78890015-28
NR2070--MA0508.2.PRDM1	chr9	43242609	43242618	+	0.000	0.000	Merged-chr9-43242516-24
NR352--MA0508.2.PRDM1	chr11	72946478	72946487	-	0.000	0.000	Merged-chr11-72946553-29
NR2062--MA0508.2.PRDM1	chr9	35475596	35475605	+	0.000	0.000	Merged-chr9-35475679-27
NR745--MA0508.2.PRDM1	chr15	64173603	64173612	+	0.000	0.000	Merged-chr15-64173635-34
NR1731--MA0508.2.PRDM1	chr6	66472895	66472904	+	0.000	0.000	Merged-chr6-66473070-26
NR479--MA0508.2.PRDM1	chr12	104236087	104236096	-	0.000	0.000	Merged-chr12-104236095-61
NR1946--MA0508.2.PRDM1	chr7	130448104	130448113	-	0.000	0.000	Merged-chr7-130448231-21
