#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR15--MA0508.2.PRDM1	chr1	39205144	39205153	-	0.000	0.000	Merged-chr1-39205202-13
NR1235--MA0508.2.PRDM1	chr2	128157025	128157034	-	0.000	0.000	Merged-chr2-128156895-3
NR311--MA0508.2.PRDM1	chr10	118550409	118550418	-	0.000	0.000	Merged-chr10-118550430-27
NR2260--MA0508.2.PRDM1	chrX	100476535	100476544	-	0.000	0.000	Merged-chrX-100476611-55
NR956--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR271--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR813--MA0508.2.PRDM1	chr15	80192230	80192239	+	0.000	0.000	Merged-chr15-80192413-58
NR1174--MA0508.2.PRDM1	chr2	65104805	65104814	-	0.000	0.000	Merged-chr2-65104683-25
NR1078--MA0508.2.PRDM1	chr19	21785917	21785926	-	0.000	0.000	Merged-chr19-21785964-7
NR1567--MA0508.2.PRDM1	chr4	145263865	145263874	-	0.000	0.000	Merged-chr4-145263821-10
NR1057--MA0508.2.PRDM1	chr18	89126526	89126535	-	0.000	0.000	Merged-chr18-89126622-17
NR255--MA0508.2.PRDM1	chr10	77609845	77609854	-	0.000	0.000	Merged-chr10-77609801-14
NR47--MA0508.2.PRDM1	chr1	82869940	82869949	+	0.000	0.000	Merged-chr1-82869741-41
NR595--MA0508.2.PRDM1	chr13	56507216	56507225	+	0.000	0.000	Merged-chr13-56507278-42
NR452--MA0508.2.PRDM1	chr12	25256455	25256464	+	0.000	0.000	Merged-chr12-25256439-11
NR518--MA0508.2.PRDM1	chr12	100928450	100928459	-	0.000	0.000	Merged-chr12-100928517-22
NR282--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR2045--MA0508.2.PRDM1	chr8	57417000	57417009	-	0.000	0.000	Merged-chr8-57416909-32
NR675--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR157--MA0508.2.PRDM1	chr1	178182371	178182380	-	0.000	0.000	Merged-chr1-178182458-49
NR428--MA0508.2.PRDM1	chr11	121027497	121027506	+	0.000	0.000	Merged-chr11-121027485-17
