#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR3701--MA0037.3.GATA3	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR3155--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR3036--MA0035.3.Gata1	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR4839--MA0037.3.GATA3	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR5484--MA1104.1.GATA6	chr4	88275646	88275658	-	0.000	0.000	Merged-chr4-88275744-16
NR3217--MA1104.1.GATA6	chr16	66086700	66086712	-	0.000	0.000	Merged-chr16-66086640-17
NR6482--MA0035.3.Gata1	chr6	120580288	120580298	-	0.000	0.000	Merged-chr6-120580158-49
NR986--MA0766.1.GATA5	chr10	117377488	117377495	-	0.000	0.000	Merged-chr10-117377577-5
NR7904--MA0140.2.GATA1::TAL1	chr9	119255026	119255043	+	0.000	0.000	Merged-chr9-119254891-26
NR7259--MA0035.3.Gata1	chr8	69168492	69168502	-	0.000	0.000	Merged-chr8-69168549-18
NR6362--MA0482.1.Gata4	chr6	87041202	87041212	-	0.000	0.000	Merged-chr6-87041204-35
NR6742--MA0482.1.Gata4	chr7	19093680	19093690	+	0.000	0.000	Merged-chr7-19093740-100
NR7980--MA0037.3.GATA3	chrX	135962558	135962565	+	0.000	0.000	Merged-chrX-135962489-11
NR161--MA0036.3.GATA2	chr1	84817775	84817785	-	0.000	0.000	Merged-chr1-84817778-11
NR3034--MA1104.1.GATA6	chr16	36602846	36602858	-	0.000	0.000	Merged-chr16-36602811-38
NR4956--MA0035.3.Gata1	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR203--MA0766.1.GATA5	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR2495--MA0035.3.Gata1	chr14	66805736	66805746	-	0.000	0.000	Merged-chr14-66805736-29
NR6492--MA0766.1.GATA5	chr6	122334238	122334245	+	0.000	0.000	Merged-chr6-122334221-7
NR3156--MA1104.1.GATA6	chr16	57319937	57319949	+	0.000	0.000	Merged-chr16-57319907-20
NR836--MA1104.1.GATA6	chr10	75417897	75417909	-	0.000	0.000	Merged-chr10-75417748-37
NR6363--MA1104.1.GATA6	chr6	87041202	87041214	+	0.000	0.000	Merged-chr6-87041204-35
NR4284--MA0036.3.GATA2	chr2	70425814	70425824	+	0.000	0.000	Merged-chr2-70425902-24
NR2885--MA0766.1.GATA5	chr15	91616651	91616658	+	0.000	0.000	Merged-chr15-91616695-12
NR6743--MA1104.1.GATA6	chr7	19093678	19093690	-	0.000	0.000	Merged-chr7-19093740-100
NR4406--MA0482.1.Gata4	chr2	102039327	102039337	-	0.000	0.000	Merged-chr2-102039537-38
NR6262--MA0035.3.Gata1	chr6	54078339	54078349	-	0.000	0.000	Merged-chr6-54078374-21
NR6490--MA0482.1.Gata4	chr6	122334235	122334245	-	0.000	0.000	Merged-chr6-122334221-7
NR3629--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR204--MA0035.3.Gata1	chr1	88578422	88578432	-	0.000	0.000	Merged-chr1-88578300-28
NR3215--MA0037.3.GATA3	chr16	66086702	66086709	-	0.000	0.000	Merged-chr16-66086640-17
NR6493--MA0035.3.Gata1	chr6	122334236	122334246	-	0.000	0.000	Merged-chr6-122334221-7
NR2718--MA0482.1.Gata4	chr15	25673749	25673759	+	0.000	0.000	Merged-chr15-25673661-24
NR5910--MA0035.3.Gata1	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR7250--MA0037.3.GATA3	chr8	64935135	64935142	-	0.000	0.000	Merged-chr8-64935114-22
NR4855--MA0482.1.Gata4	chr3	55115681	55115691	+	0.000	0.000	Merged-chr3-55115739-6
NR6166--MA0036.3.GATA2	chr5	151416829	151416839	+	0.000	0.000	Merged-chr5-151416725-1
NR746--MA1104.1.GATA6	chr10	39764910	39764922	-	0.000	0.000	Merged-chr10-39764888-24
NR1570--MA1104.1.GATA6	chr12	69446042	69446054	+	0.000	0.000	Merged-chr12-69446107-1
NR3154--MA0037.3.GATA3	chr16	57319940	57319947	+	0.000	0.000	Merged-chr16-57319907-20
NR3630--MA1104.1.GATA6	chr18	6484968	6484980	-	0.000	0.000	Merged-chr18-6484878-33
