#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR60683--MA0742.1.Klf12	chr7	112679301	112679315	+	0.000	0.000	Merged-chr7-112679423-49
NR26523--MA0599.1.KLF5	chr16	92400131	92400140	-	0.000	0.000	Merged-chr16-92400195-21
NR4902--MA0741.1.KLF16	chr10	5795626	5795636	+	0.000	0.000	Merged-chr10-5795457-7
NR31010--MA0599.1.KLF5	chr18	53904421	53904430	+	0.000	0.000	Merged-chr18-53904421-2
NR1864--MA0599.1.KLF5	chr1	119504867	119504876	-	0.000	0.000	Merged-chr1-119504796-62
NR33642--MA0599.1.KLF5	chr19	42770733	42770742	-	0.000	0.000	Merged-chr19-42770693-24
NR394--MA0493.1.Klf1	chr1	37300937	37300947	-	0.000	0.000	Merged-chr1-37301008-22
NR26522--MA0742.1.Klf12	chr16	92400136	92400150	-	0.000	0.000	Merged-chr16-92400195-21
NR2184--MA0599.1.KLF5	chr1	133053260	133053269	+	0.000	0.000	Merged-chr1-133053249-27
NR59572--MA0741.1.KLF16	chr7	78583833	78583843	-	0.000	0.000	Merged-chr7-78583930-15
NR22895--MA0741.1.KLF16	chr15	64382594	64382604	+	0.000	0.000	Merged-chr15-64382690-41
NR64818--MA1107.1.KLF9	chr8	117855301	117855313	-	0.000	0.000	Merged-chr8-117855395-3
NR1538--MA0599.1.KLF5	chr1	89070348	89070357	+	0.000	0.000	Merged-chr1-89070221-114
NR64191--MA0741.1.KLF16	chr8	95154909	95154919	+	0.000	0.000	Merged-chr8-95154872-23
NR4905--MA1107.1.KLF9	chr10	5795635	5795647	+	0.000	0.000	Merged-chr10-5795457-7
NR1533--MA0493.1.Klf1	chr1	89070177	89070187	+	0.000	0.000	Merged-chr1-89070221-114
NR38330--MA1107.1.KLF9	chr2	147832605	147832617	+	0.000	0.000	Merged-chr2-147832545-2
NR58722--MA1107.1.KLF9	chr7	35729564	35729576	+	0.000	0.000	Merged-chr7-35729754-35
NR25371--MA0493.1.Klf1	chr16	32516544	32516554	-	0.000	0.000	Merged-chr16-32516451-30
NR15500--MA0741.1.KLF16	chr12	108275432	108275442	+	0.000	0.000	Merged-chr12-108275445-64
NR24076--MA0599.1.KLF5	chr15	94255266	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR22377--MA0741.1.KLF16	chr15	37437359	37437369	+	0.000	0.000	Merged-chr15-37437279-19
NR15404--MA0741.1.KLF16	chr12	105981751	105981761	-	0.000	0.000	Merged-chr12-105981568-18
NR25157--MA0599.1.KLF5	chr16	21204698	21204707	-	0.000	0.000	Merged-chr16-21204669-33
NR60682--MA0740.1.KLF14	chr7	112679301	112679314	+	0.000	0.000	Merged-chr7-112679423-49
NR8275--MA0039.3.KLF4	chr10	118310881	118310891	+	0.000	0.000	Merged-chr10-118310957-20
NR33795--MA0493.1.Klf1	chr19	46148529	46148539	-	0.000	0.000	Merged-chr19-46148494-21
NR50040--MA0493.1.Klf1	chr5	86783215	86783225	+	0.000	0.000	Merged-chr5-86783243-43
NR47998--MA0740.1.KLF14	chr4	150087349	150087362	-	0.000	0.000	Merged-chr4-150087480-81
NR1127--MA0599.1.KLF5	chr1	72870387	72870396	-	0.000	0.000	Merged-chr1-72870469-25
NR22988--MA0741.1.KLF16	chr15	72859408	72859418	+	0.000	0.000	Merged-chr15-72859470-25
NR38326--MA0039.3.KLF4	chr2	147832615	147832625	+	0.000	0.000	Merged-chr2-147832545-2
NR59182--MA0493.1.Klf1	chr7	52005846	52005856	+	0.000	0.000	Merged-chr7-52005667-2
NR38344--MA0741.1.KLF16	chr2	147832655	147832665	-	0.000	0.000	Merged-chr2-147832545-2
NR22376--MA0599.1.KLF5	chr15	37437359	37437368	+	0.000	0.000	Merged-chr15-37437279-19
NR12234--MA0599.1.KLF5	chr11	104001252	104001261	-	0.000	0.000	Merged-chr11-104001412-21
NR22619--MA0741.1.KLF16	chr15	55906998	55907008	+	0.000	0.000	Merged-chr15-55906885-1
NR60680--MA0493.1.Klf1	chr7	112679260	112679270	+	0.000	0.000	Merged-chr7-112679423-49
NR23896--MA0741.1.KLF16	chr15	89498796	89498806	+	0.000	0.000	Merged-chr15-89498857-24
NR62771--MA0599.1.KLF5	chr8	35826522	35826531	+	0.000	0.000	Merged-chr8-35826369-102
NR15499--MA0493.1.Klf1	chr12	108275431	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR57555--MA0741.1.KLF16	chr7	3290416	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR59121--MA0599.1.KLF5	chr7	49246034	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR38328--MA0741.1.KLF16	chr2	147832614	147832624	+	0.000	0.000	Merged-chr2-147832545-2
NR65319--MA0039.3.KLF4	chr8	125558864	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR33644--MA1107.1.KLF9	chr19	42770731	42770743	-	0.000	0.000	Merged-chr19-42770693-24
NR4903--MA1107.1.KLF9	chr10	5795631	5795643	+	0.000	0.000	Merged-chr10-5795457-7
NR64817--MA0493.1.Klf1	chr8	117855303	117855313	-	0.000	0.000	Merged-chr8-117855395-3
NR25373--MA1107.1.KLF9	chr16	32516547	32516559	-	0.000	0.000	Merged-chr16-32516451-30
NR12230--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR21373--MA0599.1.KLF5	chr14	103620083	103620092	-	0.000	0.000	Merged-chr14-103620031-34
