#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR5718--MA0511.2.RUNX2	chr2	55082025	55082033	-	0.000	0.000	Merged-chr2-55082182-18
NR10048--MA0002.2.RUNX1	chr8	111998969	111998979	-	0.000	0.000	Merged-chr8-111998914-9
NR5897--MA0684.1.RUNX3	chr2	92205438	92205447	-	0.000	0.000	Merged-chr2-92205451-35
NR7163--MA0684.1.RUNX3	chr4	82365251	82365260	+	0.000	0.000	Merged-chr4-82365199-20
NR10359--MA0002.2.RUNX1	chr9	56509482	56509492	+	0.000	0.000	Merged-chr9-56509423-20
NR117--MA0511.2.RUNX2	chr1	53843241	53843249	+	0.000	0.000	Merged-chr1-53843171-20
NR118--MA0684.1.RUNX3	chr1	53843241	53843250	+	0.000	0.000	Merged-chr1-53843171-20
NR1663--MA0002.2.RUNX1	chr11	57911898	57911908	-	0.000	0.000	Merged-chr11-57911963-18
NR55--MA0002.2.RUNX1	chr1	37473509	37473519	-	0.000	0.000	Merged-chr1-37473461-33
NR1620--MA0684.1.RUNX3	chr11	46462280	46462289	-	0.000	0.000	Merged-chr11-46462115-37
NR1878--MA0002.2.RUNX1	chr11	97026332	97026342	+	0.000	0.000	Merged-chr11-97026216-31
NR1618--MA0002.2.RUNX1	chr11	46462158	46462168	+	0.000	0.000	Merged-chr11-46462115-37
NR7161--MA0511.2.RUNX2	chr4	82365251	82365259	+	0.000	0.000	Merged-chr4-82365199-20
NR5719--MA0002.2.RUNX1	chr2	55082023	55082033	+	0.000	0.000	Merged-chr2-55082182-18
NR10783--MA0002.2.RUNX1	chr9	120059519	120059529	+	0.000	0.000	Merged-chr9-120059540-6
NR1619--MA0511.2.RUNX2	chr11	46462281	46462289	-	0.000	0.000	Merged-chr11-46462115-37
NR4682--MA0002.2.RUNX1	chr17	51814545	51814555	-	0.000	0.000	Merged-chr17-51814512-17
NR54--MA0511.2.RUNX2	chr1	37473509	37473517	+	0.000	0.000	Merged-chr1-37473461-33
NR10049--MA0684.1.RUNX3	chr8	111998969	111998978	+	0.000	0.000	Merged-chr8-111998914-9
NR2009--MA0002.2.RUNX1	chr11	111054048	111054058	-	0.000	0.000	Merged-chr11-111054093-15
NR7162--MA0002.2.RUNX1	chr4	82365251	82365261	-	0.000	0.000	Merged-chr4-82365199-20
NR10046--MA0002.2.RUNX1	chr8	111976525	111976535	-	0.000	0.000	Merged-chr8-111976573-47
NR1664--MA0684.1.RUNX3	chr11	57911898	57911907	+	0.000	0.000	Merged-chr11-57911963-18
NR56--MA0684.1.RUNX3	chr1	37473509	37473518	+	0.000	0.000	Merged-chr1-37473461-33
NR10047--MA0511.2.RUNX2	chr8	111998969	111998977	+	0.000	0.000	Merged-chr8-111998914-9
NR1658--MA0511.2.RUNX2	chr11	54802018	54802026	+	0.000	0.000	Merged-chr11-54802192-79
NR4683--MA0684.1.RUNX3	chr17	51814545	51814554	+	0.000	0.000	Merged-chr17-51814512-17
NR1662--MA0511.2.RUNX2	chr11	57911898	57911906	+	0.000	0.000	Merged-chr11-57911963-18
NR2035--MA0002.2.RUNX1	chr11	115158048	115158058	-	0.000	0.000	Merged-chr11-115158188-48
