#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR12473--MA0599.1.KLF5	chr11	118731921	118731930	+	0.000	0.000	Merged-chr11-118731916-25
NR47794--MA0599.1.KLF5	chr5	111196087	111196096	+	0.000	0.000	Merged-chr5-111196079-28
NR32507--MA0599.1.KLF5	chr2	3526082	3526091	-	0.000	0.000	Merged-chr2-3525948-8
NR33923--MA0493.1.Klf1	chr2	60375320	60375330	-	0.000	0.000	Merged-chr2-60375404-17
NR57107--MA1107.1.KLF9	chr7	116484542	116484554	-	0.000	0.000	Merged-chr7-116484434-42
NR4381--MA0741.1.KLF16	chr1	193589280	193589290	-	0.000	0.000	Merged-chr1-193589231-21
NR37960--MA0493.1.Klf1	chr3	28402423	28402433	-	0.000	0.000	Merged-chr3-28402386-46
NR49806--MA0741.1.KLF16	chr5	142551116	142551126	-	0.000	0.000	Merged-chr5-142551043-31
NR51951--MA1107.1.KLF9	chr6	91156640	91156652	+	0.000	0.000	Merged-chr6-91156791-33
NR5716--MA1107.1.KLF9	chr10	71399679	71399691	+	0.000	0.000	Merged-chr10-71399794-69
NR45304--MA0741.1.KLF16	chr4	152120730	152120740	-	0.000	0.000	Merged-chr4-152120692-77
NR53831--MA0741.1.KLF16	chr6	145002395	145002405	-	0.000	0.000	Merged-chr6-145002461-23
NR44623--MA0599.1.KLF5	chr4	140833017	140833026	-	0.000	0.000	Merged-chr4-140833040-18
NR1379--MA1107.1.KLF9	chr1	90739032	90739044	-	0.000	0.000	Merged-chr1-90739110-18
NR32544--MA0741.1.KLF16	chr2	5003273	5003283	+	0.000	0.000	Merged-chr2-5003396-19
NR16107--MA0493.1.Klf1	chr13	49251351	49251361	-	0.000	0.000	Merged-chr13-49251247-4
NR8915--MA0741.1.KLF16	chr11	32020366	32020376	-	0.000	0.000	Merged-chr11-32020422-50
NR1361--MA0657.1.KLF13	chr1	88708257	88708274	+	0.000	0.000	Merged-chr1-88708373-21
NR16018--MA0599.1.KLF5	chr13	44507199	44507208	+	0.000	0.000	Merged-chr13-44507226-54
NR62709--MA1107.1.KLF9	chr9	53706273	53706285	-	0.000	0.000	Merged-chr9-53706205-55
NR1908--MA0493.1.Klf1	chr1	128713043	128713053	+	0.000	0.000	Merged-chr1-128713010-21
NR37409--MA0741.1.KLF16	chr2	173449002	173449012	+	0.000	0.000	Merged-chr2-173448878-59
NR15837--MA0599.1.KLF5	chr13	36369642	36369651	+	0.000	0.000	Merged-chr13-36369600-5
NR8896--MA0741.1.KLF16	chr11	30986477	30986487	+	0.000	0.000	Merged-chr11-30986417-66
NR64034--MA0741.1.KLF16	chr9	92275231	92275241	-	0.000	0.000	Merged-chr9-92275152-2
NR46615--MA0740.1.KLF14	chr5	63943573	63943586	-	0.000	0.000	Merged-chr5-63943362-36
NR55191--MA0039.3.KLF4	chr7	34630505	34630515	-	0.000	0.000	Merged-chr7-34630517-24
NR27627--MA0740.1.KLF14	chr17	56425178	56425191	-	0.000	0.000	Merged-chr17-56425045-2
NR2394--MA0599.1.KLF5	chr1	147237214	147237223	+	0.000	0.000	Merged-chr1-147237183-6
NR57932--MA0741.1.KLF16	chr7	136894458	136894468	+	0.000	0.000	Merged-chr7-136894538-85
NR22032--MA0741.1.KLF16	chr15	80192525	80192535	+	0.000	0.000	Merged-chr15-80192413-58
NR34387--MA0599.1.KLF5	chr2	79052364	79052373	-	0.000	0.000	Merged-chr2-79052352-13
NR56487--MA0741.1.KLF16	chr7	97788435	97788445	+	0.000	0.000	Merged-chr7-97788658-80
NR8123--MA0599.1.KLF5	chr10	128039374	128039383	+	0.000	0.000	Merged-chr10-128039274-35
NR44287--MA0493.1.Klf1	chr4	136140416	136140426	+	0.000	0.000	Merged-chr4-136140503-4
NR9116--MA0741.1.KLF16	chr11	49202766	49202776	-	0.000	0.000	Merged-chr11-49202721-8
NR14304--MA0599.1.KLF5	chr12	101718629	101718638	+	0.000	0.000	Merged-chr12-101718493-65
NR11842--MA0741.1.KLF16	chr11	109331355	109331365	+	0.000	0.000	Merged-chr11-109331360-60
NR32491--MA0741.1.KLF16	chr2	3118331	3118341	-	0.000	0.000	Merged-chr2-3118423-48
NR45176--MA0599.1.KLF5	chr4	150518993	150519002	+	0.000	0.000	Merged-chr4-150519164-27
NR54685--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR23132--MA0742.1.Klf12	chr15	100060746	100060760	+	0.000	0.000	Merged-chr15-100060928-68
NR44399--MA0493.1.Klf1	chr4	137714172	137714182	-	0.000	0.000	Merged-chr4-137714339-14
NR61660--MA0493.1.Klf1	chr8	128420724	128420734	+	0.000	0.000	Merged-chr8-128420826-46
NR39711--MA0599.1.KLF5	chr3	109444053	109444062	+	0.000	0.000	Merged-chr3-109444108-35
NR32538--MA0740.1.KLF14	chr2	5003272	5003285	+	0.000	0.000	Merged-chr2-5003396-19
NR17685--MA0493.1.Klf1	chr13	108100601	108100611	+	0.000	0.000	Merged-chr13-108100820-31
NR53021--MA1107.1.KLF9	chr6	129049279	129049291	-	0.000	0.000	Merged-chr6-129049251-27
NR17327--MA0493.1.Klf1	chr13	99781082	99781092	-	0.000	0.000	Merged-chr13-99781144-21
NR66523--MA0493.1.Klf1	chrX	113181121	113181131	-	0.000	0.000	Merged-chrX-113181070-1
NR66997--MA1107.1.KLF9	chrX	166672851	166672863	+	0.000	0.000	Merged-chrX-166672902-11
