#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed MACS2_DKO_Tfh_peaks.Gata3.sig.bed MACS2_DKO_Th1_peaks.Gata3.sig.bed MACS2_Naive_peaks.Gata3.sig.bed MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed MACS2_WT_Tfh_peaks.Gata3.sig.bed MACS2_WT_Th1_peaks.Gata3.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed	MACS2_DKO_Tfh_peaks.Gata3.sig.bed	MACS2_DKO_Th1_peaks.Gata3.sig.bed	MACS2_Naive_peaks.Gata3.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed	MACS2_WT_Tfh_peaks.Gata3.sig.bed	MACS2_WT_Th1_peaks.Gata3.sig.bed
Merged-chr2-9862545-1	chr2	9862470	9862620	+	0.000000	MACS2_DKO_Tfh_peaks.Gata3.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126894					
Merged-chr2-9872863-5	chr2	9872722	9873003	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed|MACS2_DKO_Tfh_peaks.Gata3.sig.bed|MACS2_DKO_Th1_peaks.Gata3.sig.bed|MACS2_Naive_peaks.Gata3.sig.bed|MACS2_WT_Tfh_peaks.Gata3.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_154665	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126897	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106256	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185989		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_134775	
Merged-chr2-9871589-12	chr2	9871370	9871720	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed|MACS2_DKO_Tfh_peaks.Gata3.sig.bed|MACS2_DKO_Th1_peaks.Gata3.sig.bed|MACS2_Naive_peaks.Gata3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Th1_peaks.Gata3.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_154664	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126896a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126896b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106255a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106255b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185988a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185988b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178175	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_134774a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_131031b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_131031c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_131031a
Merged-chr2-9876081-8	chr2	9875963	9876197	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed|MACS2_DKO_Tfh_peaks.Gata3.sig.bed|MACS2_DKO_Th1_peaks.Gata3.sig.bed|MACS2_Naive_peaks.Gata3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Th1_peaks.Gata3.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_154666	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126898	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106257	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185990	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178177a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178177b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_134776	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_131032
Merged-chr2-9867507-13	chr2	9867389	9867654	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed|MACS2_DKO_Tfh_peaks.Gata3.sig.bed|MACS2_DKO_Th1_peaks.Gata3.sig.bed|MACS2_Naive_peaks.Gata3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Th1_peaks.Gata3.sig.bed	13	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_154663a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_154663b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126895a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126895b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106254a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106254b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185987	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178174a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178174b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_134773a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_134773b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_131030b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_131030a
Merged-chr2-9884344-6	chr2	9884214	9884445	+	0.000000	MACS2_DKO_Tfh_peaks.Gata3.sig.bed|MACS2_DKO_Th1_peaks.Gata3.sig.bed|MACS2_Naive_peaks.Gata3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Tfh_peaks.Gata3.sig.bed	6		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126901	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106262	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185995	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178182a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178182b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_134779	
Merged-chr2-9889544-7	chr2	9889438	9889647	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed|MACS2_DKO_Tfh_peaks.Gata3.sig.bed|MACS2_DKO_Th1_peaks.Gata3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Th1_peaks.Gata3.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_154671	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126902	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106263		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178183a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178183b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_134780	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_131036
Merged-chr2-9882763-2	chr2	9882673	9882854	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed|MACS2_DKO_Th1_peaks.Gata3.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_154669		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106260b				
Merged-chr2-9879023-12	chr2	9878930	9879125	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed|MACS2_DKO_Tfh_peaks.Gata3.sig.bed|MACS2_Naive_peaks.Gata3.sig.bed|MACS2_WT_Tfh_peaks.Gata3.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_154668a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_154668b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126899a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126899b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126899c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126899d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126899e		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185992b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185992c		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_134778a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_134778b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_134778c	
Merged-chr2-9883753-3	chr2	9883657	9883870	+	0.000000	MACS2_DKO_Tfh_peaks.Gata3.sig.bed|MACS2_DKO_Th1_peaks.Gata3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed	3		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_126900	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106261		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178181		
