chr,start,end
chr9,44477978,44478270
chr9,44478297,44478447
chr9,44479746,44480064
chr9,44482760,44483211
chr9,44483212,44483362
chr9,44483684,44483834
chr9,44483847,44484144
chr9,44494780,44495087
chr9,44495885,44496035
chr9,44498199,44498538
chr9,44501978,44502295
chr9,44510056,44510679
chr9,44515573,44515902
chr9,44517593,44517816
chr9,44526486,44526814
chr9,44528336,44528486
chr9,44533183,44533463
chr9,44537847,44538102
chr9,44538125,44538275
chr9,44548843,44549098
chr9,44555070,44555278
chr9,44555303,44555453
chr9,44555696,44555846
chr9,44562659,44563272
chr9,44565443,44565695
chr9,44567888,44568149
chr9,44579461,44579732
chr9,44581590,44581846
chr9,44581981,44582131
chr9,44582480,44582703
chr9,44587891,44588202
chr9,44599006,44599156
chr9,44602848,44602998
chr9,44603189,44603384
chr9,44603491,44603641
chr9,44604368,44604518
chr9,44604954,44605298
