chr,start,end
chr11,52074732,52075240
chr11,52075752,52075902
chr11,52076184,52076474
chr11,52080110,52080309
chr11,52098721,52099172
chr11,52109383,52109854
chr11,52119965,52120379
chr11,52129174,52129324
chr11,52143839,52144071
chr11,52167582,52168385
chr11,52180464,52180767
chr11,52220356,52220709
chr11,52222864,52223131
chr11,52224252,52224553
chr11,52231893,52232340
chr11,52241057,52241317
chr11,52248738,52248888
chr11,52249723,52250669
chr11,52251886,52252036
chr11,52253920,52254363
chr11,52255179,52255422
chr11,52260935,52261196
chr11,52262009,52262305
chr11,52265809,52266042
chr11,52268411,52268662
chr11,52273909,52274311
chr11,52274841,52275548
chr11,52281005,52281385
chr11,52281852,52282002
chr11,52282980,52283637
chr11,52284124,52284398
chr11,52294186,52294554
chr11,52297512,52297662
chr11,52299558,52299914
chr11,52305311,52305554
chr11,52309483,52309829
chr11,52310848,52311109
chr11,52314137,52314589
chr11,52318561,52318811
chr11,52320570,52320764
chr11,52321650,52321879
chr11,52324690,52324990
chr11,52327300,52327822
chr11,52332659,52332931
chr11,52333821,52334106
chr11,52335983,52336222
chr11,52337996,52338169
chr11,52341002,52341413
chr11,52342357,52342593
chr11,52343137,52343508
chr11,52345243,52345393
chr11,52346246,52346781
chr11,52350976,52351231
chr11,52352388,52352538
chr11,52360798,52361150
chr11,52374371,52374521
chr11,52396507,52396828
chr11,52419450,52419737
chr11,52421406,52421613
chr11,52458950,52459100
