#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed MACS2_DKO_Tfh_peaks.Il21.sig.bed MACS2_DKO_Th1_peaks.Il21.sig.bed MACS2_Naive_peaks.Il21.sig.bed MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed MACS2_WT_Tfh_peaks.Il21.sig.bed MACS2_WT_Th1_peaks.Il21.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed	MACS2_DKO_Tfh_peaks.Il21.sig.bed	MACS2_DKO_Th1_peaks.Il21.sig.bed	MACS2_Naive_peaks.Il21.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed	MACS2_WT_Tfh_peaks.Il21.sig.bed	MACS2_WT_Th1_peaks.Il21.sig.bed
Merged-chr3-37204336-2	chr3	37204242	37204430	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184541				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212502		
Merged-chr3-37205454-2	chr3	37205365	37205543	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184542				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212503		
Merged-chr3-37229474-6	chr3	37229387	37229553	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184544a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184544b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184544c				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212507	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160503a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160503b	
Merged-chr3-37229893-1	chr3	37229818	37229968	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153201					
Merged-chr3-37283018-1	chr3	37282943	37283093	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153214					
Merged-chr3-37284199-1	chr3	37284124	37284274	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153216					
Merged-chr3-37287694-2	chr3	37287598	37287791	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed	2		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153217			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212523		
Merged-chr3-37173464-7	chr3	37173339	37173598	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Naive_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184536	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153193	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127371	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223272	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212499	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160494	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156604
Merged-chr3-37174898-10	chr3	37174653	37175072	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Naive_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184537	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153194a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153194b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127372	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223273	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212500	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160495a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160495b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156605a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156605b
Merged-chr3-37219389-7	chr3	37219172	37219575	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Naive_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184543	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153199	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127378	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223278	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212505	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160500	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156610
