chr,start,end
chr3,37173339,37173598
chr3,37174653,37175072
chr3,37176538,37176709
chr3,37179991,37180282
chr3,37183328,37183639
chr3,37194818,37194968
chr3,37198941,37199222
chr3,37201460,37201610
chr3,37204242,37204430
chr3,37204805,37205049
chr3,37205365,37205543
chr3,37208540,37208772
chr3,37209619,37209769
chr3,37219172,37219575
chr3,37228250,37228489
chr3,37229006,37229156
chr3,37229180,37229356
chr3,37229387,37229553
chr3,37229818,37229968
chr3,37231183,37231505
chr3,37232760,37232955
chr3,37243932,37244090
chr3,37244107,37244257
chr3,37257804,37258095
chr3,37259622,37259895
chr3,37263243,37263548
chr3,37268380,37268742
chr3,37271242,37271555
chr3,37272406,37272841
chr3,37273017,37273167
chr3,37273295,37273573
chr3,37274469,37274668
chr3,37280451,37280635
chr3,37280818,37281271
chr3,37282163,37282313
chr3,37282755,37282905
chr3,37282943,37283093
chr3,37283170,37283320
chr3,37283556,37284020
chr3,37284124,37284274
chr3,37287598,37287791
chr3,37291184,37291334
chr3,37291567,37291828
chr3,37291837,37291987
chr3,37292106,37292256
