chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr5,113812124,113812372,,,x,,x,x,
chr5,113814286,113814640,x,x,x,x,x,x,x
chr5,113814909,113815059,,,,,x,,x
chr5,113815284,113815434,,,,,,,x
chr5,113815666,113816117,x,x,x,x,x,x,x
chr5,113824388,113824622,x,x,x,x,,,x
chr5,113825562,113825818,x,x,x,x,x,x,x
chr5,113826740,113826939,x,x,x,,x,,x
chr5,113828352,113828592,x,x,x,x,x,x,x
chr5,113830357,113830663,x,x,x,x,x,x,x
chr5,113832613,113832811,x,x,x,x,x,x,x
chr5,113837156,113837312,x,x,x,,,,x
chr5,113842276,113842585,x,x,x,x,x,x,x
