chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr2,9848470,9848620,,,x,,,,
chr2,9860290,9860440,,,,x,,,
chr2,9862470,9862620,,x,,,,,
chr2,9867389,9867654,x,x,x,x,x,x,x
chr2,9871370,9871720,x,x,x,x,x,x,x
chr2,9872722,9873003,x,x,x,x,,x,
chr2,9875963,9876197,x,x,x,x,x,x,x
chr2,9876800,9876950,,,,x,,,
chr2,9878472,9878725,x,x,x,x,x,x,x
chr2,9878930,9879125,,x,,,,,
chr2,9879466,9879636,x,x,x,x,x,x,x
chr2,9881986,9882136,,,,x,,,
chr2,9882673,9882854,x,,x,,,,
chr2,9883657,9883870,,x,x,,x,,
chr2,9884214,9884445,,x,x,x,x,x,
chr2,9889438,9889647,x,x,x,x,x,x,x
chr2,9889809,9889959,,,,,,,
chr2,9893515,9893665,,,,x,,,
chr2,9895341,9895491,,,x,,,,
chr2,9896549,9896699,,,,,,,
chr2,9897319,9897469,,,,,,,
