#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed MACS2_DKO_Tfh_peaks.Cd200.sig.bed MACS2_DKO_Th1_peaks.Cd200.sig.bed MACS2_Naive_peaks.Cd200.sig.bed MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed MACS2_WT_Tfh_peaks.Cd200.sig.bed MACS2_WT_Th1_peaks.Cd200.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed	MACS2_DKO_Tfh_peaks.Cd200.sig.bed	MACS2_DKO_Th1_peaks.Cd200.sig.bed	MACS2_Naive_peaks.Cd200.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed	MACS2_WT_Tfh_peaks.Cd200.sig.bed	MACS2_WT_Th1_peaks.Cd200.sig.bed
Merged-chr16-45275853-4	chr16	45275754	45275939	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118542				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136679		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99449a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99449b
Merged-chr16-45222986-1	chr16	45222911	45223061	+	0.000000	MACS2_DKO_Tfh_peaks.Cd200.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97430					
Merged-chr16-45332018-1	chr16	45331943	45332093	+	0.000000	MACS2_DKO_Tfh_peaks.Cd200.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97440					
Merged-chr16-45408522-1	chr16	45408447	45408597	+	0.000000	MACS2_DKO_Tfh_peaks.Cd200.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97446					
Merged-chr16-45353013-6	chr16	45352781	45353142	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_DKO_Tfh_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118546	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97444	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81377	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144396	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136688		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99453
Merged-chr16-45252125-7	chr16	45251973	45252235	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_DKO_Tfh_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118538	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97435	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81371	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144389	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136677	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104464	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99445
Merged-chr16-45261565-8	chr16	45261446	45261796	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_DKO_Tfh_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118541	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97436	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81372	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144391	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136678	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104465a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99448b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99448a
Merged-chr16-45389834-10	chr16	45389616	45390097	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_DKO_Tfh_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118548	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97445	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81379a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81379b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144400a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144400b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136690	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104476	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99455a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99455b
Merged-chr16-45334752-1	chr16	45334677	45334827	+	0.000000	MACS2_WT_Th1_peaks.Cd200.sig.bed	1							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99451
Merged-chr16-45513559-1	chr16	45513484	45513634	+	0.000000	MACS2_WT_Th1_peaks.Cd200.sig.bed	1							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99461
