chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr1,60853485,60853970,x,x,x,x,x,x,x
chr1,60854296,60854448,x,x,x,,x,x,
chr1,60857582,60857972,x,,x,x,,,x
chr1,60860650,60860845,x,,,x,x,x,x
chr1,60863279,60863627,x,,,,x,,x
chr1,60868441,60868724,x,x,x,,x,x,x
chr1,60875142,60875436,x,x,x,,x,x,x
chr1,60882897,60883225,,,,x,x,x,
chr1,60888920,60889163,x,x,,,,,x
chr1,60898696,60899365,x,x,x,x,x,x,x
chr1,60902539,60902770,x,x,x,,x,x,x
chr1,60907540,60907726,x,,,x,,,
chr1,60908917,60909126,x,x,x,x,x,x,x
chr1,60910996,60911907,x,x,x,x,x,x,x
chr1,60913415,60913636,x,x,x,,x,x,x
chr1,60916466,60916792,x,x,x,x,x,x,x
chr1,60920509,60920740,x,x,x,x,x,x,x
chr1,60929037,60929292,x,,,,,,x
chr1,60930526,60930749,x,x,x,,x,x,x
chr1,60936373,60937325,x,x,x,,x,x,x
chr1,60941113,60941458,x,x,x,x,x,x,x
chr1,60953109,60953298,x,,,,,,x
chr1,60960529,60960679,x,,,,,,
chr1,60960836,60961273,x,x,,x,,,x
chr1,60971059,60971209,,,,,,x,
chr1,60973038,60973188,,,,,,,x
chr1,60974027,60974379,x,x,x,x,x,x,x
chr1,60975962,60976112,,,,,x,,
chr1,60977754,60978001,x,x,x,x,x,x,x
chr1,60979228,60979721,x,x,,,x,x,x
chr1,60983101,60983261,,x,x,,,,
chr1,60984966,60985337,x,x,x,,x,x,x
chr1,60986153,60986400,,,,x,,x,
chr1,60990237,60990610,x,x,x,x,x,x,x
chr1,60996288,60996752,x,x,,,x,,x
chr1,60997467,60997621,,x,x,,,,
chr1,60999841,61000227,,x,,,x,x,
chr1,61000623,61000773,,,,,x,x,
chr1,61001229,61002311,x,x,x,,x,x,x
chr1,61003129,61003791,x,x,x,,x,x,x
chr1,61004099,61004249,,x,,,,x,x
chr1,61016669,61017128,x,x,x,x,x,x,x
chr1,61017400,61017550,,,x,,,,x
chr1,61022571,61022812,,,,,x,x,
chr1,61022971,61023210,,x,x,,,,x
chr1,61024519,61024749,x,,x,,,,x
chr1,61027173,61027404,x,x,,,x,,
chr1,61029685,61030158,x,,x,,x,x,x
chr1,61030692,61030972,x,x,x,,x,x,x
chr1,61035265,61035600,x,x,x,,x,x,x
chr1,61038245,61038546,,x,,,,x,x
chr1,61039328,61039679,x,x,x,,x,x,x
chr1,61046157,61046394,x,x,x,x,x,x,x
chr1,61050192,61050505,x,x,x,,x,x,x
chr1,61054715,61055282,x,x,x,x,x,x,x
chr1,61068047,61068373,,x,,x,x,x,
chr1,61084761,61085000,x,x,x,x,x,x,x
chr1,61092319,61092469,,x,,,,,
chr1,61101798,61102384,x,x,x,x,x,x,x
chr1,61102565,61102778,x,x,x,x,,,
chr1,61125197,61125347,,,x,,,,
