chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr11,97082974,97083533,x,,,,x,x,x
chr11,97093534,97093684,,x,,,,,
chr11,97128968,97129118,,x,,,,,
chr11,97115037,97115312,,x,,,,,x
chr11,97101850,97102070,x,x,x,x,x,x,x
chr11,97127064,97127319,x,x,x,x,x,x,x
chr11,97140900,97141162,x,x,x,x,x,x,x
chr11,97142236,97142511,x,x,x,x,x,x,x
chr11,97090221,97090371,,,,,,,x
chr11,97145950,97146100,,,,,,x,
chr11,97104069,97104319,,,,,x,x,x
chr11,97103878,97104051,x,x,x,,,,
chr11,97130695,97130910,x,x,x,,,,x
chr11,97118296,97118504,x,x,x,,,,x
chr11,97096199,97096495,x,x,x,,x,,x
chr11,97123447,97123898,x,x,x,,x,,x
chr11,97143396,97143691,x,x,x,,x,x,x
chr11,97112595,97112860,x,x,x,,x,x,x
chr11,97124868,97125190,x,,x,,,,x
chr11,97115335,97115682,x,,x,,x,x,
chr11,97134222,97134482,,x,x,,,,
chr11,97109102,97109311,,x,x,,x,x,
chr11,97109746,97109920,,x,x,,x,x,
chr11,97133352,97133710,,x,x,,x,x,
chr11,97091919,97092069,,,x,,,,
chr11,97146109,97146272,,,x,,,,x
chr11,97146697,97146891,,,x,,x,x,x
chr11,97115921,97116135,,x,,x,,,x
chr11,97146338,97146494,x,x,,,,,
chr11,97090889,97091142,x,x,,,,,
chr11,97092463,97092613,x,,,,,,
chr11,97093984,97094134,x,,,,,,
chr11,97091678,97091828,x,,,,,,
chr11,97109431,97109623,x,,,,,,x
chr11,97133808,97134005,x,,,,,,x
