chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr3,37173339,37173598,x,x,x,x,x,x,x
chr3,37174653,37175072,x,x,x,x,x,x,x
chr3,37176538,37176709,,x,x,,,,
chr3,37179991,37180282,,,x,x,,,x
chr3,37183328,37183639,,x,x,,x,x,
chr3,37194818,37194968,,,,x,,,
chr3,37198941,37199222,x,x,x,,,,x
chr3,37201460,37201610,,,,x,,,
chr3,37204242,37204430,x,x,x,x,x,x,x
chr3,37204805,37205049,,x,,x,,,x
chr3,37205365,37205543,x,x,x,x,x,x,x
chr3,37208540,37208772,,,,,x,x,
chr3,37209619,37209769,,,,,,x,
chr3,37219172,37219575,x,x,x,x,x,x,x
chr3,37228250,37228489,,,,,x,x,x
chr3,37229006,37229553,x,x,x,,x,x,x
chr3,37229818,37229968,x,x,x,,,,
chr3,37231183,37231505,x,x,x,,x,x,x
chr3,37232760,37232955,x,x,x,,x,x,x
chr3,37243932,37244257,,,,,x,x,x
chr3,37257804,37258095,x,x,x,,x,x,x
chr3,37259622,37259895,x,x,x,,x,x,x
chr3,37263243,37263548,x,x,x,,,,x
chr3,37268380,37268742,x,x,x,,x,x,x
chr3,37271242,37271555,x,x,x,x,x,x,x
chr3,37272406,37272841,x,x,x,x,x,x,
chr3,37273017,37273573,x,x,x,x,,,x
chr3,37274469,37274668,,,,x,x,,
chr3,37280451,37280635,x,x,x,,,,
chr3,37280818,37281271,x,x,x,x,x,x,x
chr3,37282163,37282313,x,,x,,,,
chr3,37282755,37283320,x,x,x,,,x,x
chr3,37283556,37284274,x,x,x,x,x,x,x
chr3,37287598,37287791,,x,,,x,,
chr3,37291184,37291334,,x,x,,x,x,x
chr3,37291567,37292256,x,x,x,,x,x,x
