#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed MACS2_DKO_Tfh_peaks.Tcf7.sig.bed MACS2_DKO_Th1_peaks.Tcf7.sig.bed MACS2_Naive_peaks.Tcf7.sig.bed MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed MACS2_WT_Tfh_peaks.Tcf7.sig.bed MACS2_WT_Th1_peaks.Tcf7.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed	MACS2_DKO_Th1_peaks.Tcf7.sig.bed	MACS2_Naive_peaks.Tcf7.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed	MACS2_WT_Tfh_peaks.Tcf7.sig.bed	MACS2_WT_Th1_peaks.Tcf7.sig.bed
Merged-chr11-52167999-5	chr11	52167881	52168087	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49627a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49627c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49627b				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57764		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41941
Merged-chr11-52249798-1	chr11	52249723	52249873	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41494a					
Merged-chr11-52075165-1	chr11	52075090	52075240	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41480					
Merged-chr11-52250594-1	chr11	52250519	52250669	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41495					
Merged-chr11-52283548-10	chr11	52283464	52283637	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed	10		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41507a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41507b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41507c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41507d				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835e,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835f	
Merged-chr11-52168294-2	chr11	52168204	52168385	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed	2		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41487				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43820b	
Merged-chr11-52180605-6	chr11	52180464	52180767	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49628	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41488	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34415	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61129			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41942a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41942b
Merged-chr11-52076348-10	chr11	52076184	52076474	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49617	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41481a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41481b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34407a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34407b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61125	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57759a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57759b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41935b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41935a
Merged-chr11-52351102-8	chr11	52350976	52351231	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49651a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49651b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41523	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34450	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61167	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57794	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43852	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41965
Merged-chr11-52360979-14	chr11	52360798	52361150	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	14	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49652a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49652b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49652c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41524a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34451	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61169a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61169b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57795a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57795b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57795c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43853a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43853b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41966a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41966b
