chr,start,end
chr16,45222911,45223061
chr16,45223758,45224106
chr16,45224135,45224384
chr16,45227128,45227526
chr16,45233360,45233851
chr16,45234533,45234738
chr16,45236822,45236972
chr16,45251973,45252235
chr16,45257338,45257488
chr16,45259722,45259923
chr16,45261446,45261796
chr16,45275754,45275939
chr16,45283197,45283347
chr16,45286368,45286652
chr16,45306597,45306747
chr16,45310503,45310680
chr16,45328469,45328619
chr16,45331943,45332093
chr16,45332525,45332688
chr16,45333865,45334015
chr16,45334415,45334565
chr16,45334677,45334827
chr16,45345019,45345169
chr16,45346764,45347175
chr16,45349761,45349911
chr16,45352781,45353142
chr16,45361275,45361537
chr16,45382222,45382372
chr16,45383769,45383919
chr16,45389616,45390097
chr16,45407706,45407917
chr16,45408447,45408597
chr16,45408667,45408948
chr16,45413542,45413825
chr16,45437378,45437669
chr16,45451054,45451204
chr16,45464527,45464677
chr16,45513484,45513634
chr16,45565771,45566057
chr16,45570796,45570946
