#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed MACS2_DKO_Th1_peaks.Cxcr5.sig.bed MACS2_Naive_peaks.Cxcr5.sig.bed MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed MACS2_WT_Tfh_peaks.Cxcr5.sig.bed MACS2_WT_Th1_peaks.Cxcr5.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed	MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed	MACS2_DKO_Th1_peaks.Cxcr5.sig.bed	MACS2_Naive_peaks.Cxcr5.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed	MACS2_WT_Tfh_peaks.Cxcr5.sig.bed	MACS2_WT_Th1_peaks.Cxcr5.sig.bed
Merged-chr9-44588028-3	chr9	44587891	44588202	+	0.000000	MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed	3		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255815			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357552	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272660	
Merged-chr9-44581705-6	chr9	44581590	44581846	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304949	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255813	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209709	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366103	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357550		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257417
Merged-chr9-44582601-6	chr9	44582480	44582703	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304950	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255814	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209710	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366104	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357551		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257418
Merged-chr9-44494911-20	chr9	44494780	44495087	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	20	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304936a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304936b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255797a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255797b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209693a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209693b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209693c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366089a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366089b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366089c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357531a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357531b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357531c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357531d	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272641a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272641b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272641c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257402b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257402a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257402c
Merged-chr9-44568013-13	chr9	44567888	44568149	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	13	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304947a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304947b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255811a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255811b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209707a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209707b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366101a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366101b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357548a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357548b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272657	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257415a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257415b
Merged-chr9-44479897-14	chr9	44479746	44480064	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	14	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304933	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255794a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255794b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255794c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209690a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209690b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366087a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366087b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357529a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357529b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272639	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257399a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257399b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257399c
Merged-chr9-44502141-7	chr9	44501978	44502295	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304938	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255799	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209695	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366092	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357533	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272643	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257404
Merged-chr9-44515767-11	chr9	44515573	44515902	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	11	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304940	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255802	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209697	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366094a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366094b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357536a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357536b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357536c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272647a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272647b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257407
Merged-chr9-44517706-9	chr9	44517593	44517816	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304941	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255803	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209698	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366095	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357537	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272648a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272648b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257408b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257408a
Merged-chr9-44526642-10	chr9	44526486	44526814	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304942	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255804a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255804b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209699a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209699b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366096	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357538	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272649	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257409b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257409a
