#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR3738--MA1421.1.TCF7L1	chr4	21604450	21604461	-	0.000	0.000	Merged-chr4-21604388-2
NR2254--MA0769.1.Tcf7	chr16	58553483	58553494	-	0.000	0.000	Merged-chr16-58553585-23
NR2805--MA0769.1.Tcf7	chr19	24140579	24140590	+	0.000	0.000	Merged-chr19-24140686-8
NR729--MA1421.1.TCF7L1	chr10	111562791	111562802	+	0.000	0.000	Merged-chr10-111562842-26
NR1944--MA0523.1.TCF7L2	chr15	30686510	30686523	-	0.000	0.000	Merged-chr15-30686490-29
NR2255--MA1421.1.TCF7L1	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR12--MA1421.1.TCF7L1	chr1	15791838	15791849	+	0.000	0.000	Merged-chr1-15791984-23
NR2743--MA0769.1.Tcf7	chr18	80682968	80682979	+	0.000	0.000	Merged-chr18-80683033-18
NR1435--MA1421.1.TCF7L1	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR5370--MA0523.1.TCF7L2	chr9	40469911	40469924	-	0.000	0.000	Merged-chr9-40469723-18
NR5606--MA1421.1.TCF7L1	chr9	115134788	115134799	-	0.000	0.000	Merged-chr9-115134877-14
NR2663--MA1421.1.TCF7L1	chr18	62726941	62726952	-	0.000	0.000	Merged-chr18-62726922-31
NR463--MA0523.1.TCF7L2	chr1	194978294	194978307	-	0.000	0.000	Merged-chr1-194978350-5
NR4403--MA1421.1.TCF7L1	chr6	48508275	48508286	-	0.000	0.000	Merged-chr6-48508295-16
NR5485--MA0769.1.Tcf7	chr9	83653199	83653210	-	0.000	0.000	Merged-chr9-83653017-27
NR5127--MA0769.1.Tcf7	chr8	46420849	46420860	+	0.000	0.000	Merged-chr8-46420639-16
NR2896--MA0769.1.Tcf7	chr2	11320205	11320216	+	0.000	0.000	Merged-chr2-11320345-22
NR4857--MA0769.1.Tcf7	chr7	83087916	83087927	-	0.000	0.000	Merged-chr7-83087945-1
NR4691--MA0523.1.TCF7L2	chr6	145139884	145139897	+	0.000	0.000	Merged-chr6-145139958-22
NR2510--MA0523.1.TCF7L2	chr17	71990451	71990464	+	0.000	0.000	Merged-chr17-71990492-13
NR4855--MA0523.1.TCF7L2	chr7	83087914	83087927	-	0.000	0.000	Merged-chr7-83087945-1
NR852--MA1421.1.TCF7L1	chr11	43395472	43395483	+	0.000	0.000	Merged-chr11-43395524-15
NR633--MA1421.1.TCF7L1	chr10	83154008	83154019	+	0.000	0.000	Merged-chr10-83154095-25
NR3601--MA0523.1.TCF7L2	chr3	135622119	135622132	+	0.000	0.000	Merged-chr3-135622151-7
NR401--MA0769.1.Tcf7	chr1	178594202	178594213	-	0.000	0.000	Merged-chr1-178594136-3
NR5563--MA0769.1.Tcf7	chr9	96754565	96754576	+	0.000	0.000	Merged-chr9-96754558-43
NR317--MA0523.1.TCF7L2	chr1	156462914	156462927	-	0.000	0.000	Merged-chr1-156462820-12
NR2363--MA0523.1.TCF7L2	chr17	6741916	6741929	-	0.000	0.000	Merged-chr17-6741750-3
NR2989--MA1421.1.TCF7L1	chr2	57697122	57697133	-	0.000	0.000	Merged-chr2-57697264-6
NR3987--MA0523.1.TCF7L2	chr4	147482508	147482521	+	0.000	0.000	Merged-chr4-147482459-2
NR2990--MA0523.1.TCF7L2	chr2	57697139	57697152	+	0.000	0.000	Merged-chr2-57697264-6
NR822--MA1421.1.TCF7L1	chr11	11693701	11693712	+	0.000	0.000	Merged-chr11-11693738-14
NR1592--MA1421.1.TCF7L1	chr13	98802961	98802972	+	0.000	0.000	Merged-chr13-98803124-4
NR1030--MA0769.1.Tcf7	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR5161--MA1421.1.TCF7L1	chr8	70635452	70635463	-	0.000	0.000	Merged-chr8-70635559-11
NR4425--MA0523.1.TCF7L2	chr6	51384177	51384190	-	0.000	0.000	Merged-chr6-51384192-15
NR818--MA1421.1.TCF7L1	chr11	9135746	9135757	+	0.000	0.000	Merged-chr11-9135753-2
NR3620--MA1421.1.TCF7L1	chr3	138868461	138868472	-	0.000	0.000	Merged-chr3-138868592-15
NR4293--MA1421.1.TCF7L1	chr5	140623875	140623886	+	0.000	0.000	Merged-chr5-140623883-3
NR4446--MA0523.1.TCF7L2	chr6	65937486	65937499	+	0.000	0.000	Merged-chr6-65937524-1
NR2940--MA0769.1.Tcf7	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR5301--MA0769.1.Tcf7	chr8	128247500	128247511	+	0.000	0.000	Merged-chr8-128247386-1
NR5636--MA0523.1.TCF7L2	chr9	118890388	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR1629--MA0523.1.TCF7L2	chr13	104615086	104615099	-	0.000	0.000	Merged-chr13-104615216-10
NR4854--MA0523.1.TCF7L2	chr7	83087930	83087943	+	0.000	0.000	Merged-chr7-83087945-1
NR2895--MA0523.1.TCF7L2	chr2	10274038	10274051	-	0.000	0.000	Merged-chr2-10274045-5
NR2992--MA1421.1.TCF7L1	chr2	57833237	57833248	+	0.000	0.000	Merged-chr2-57833187-31
NR2744--MA0769.1.Tcf7	chr18	81325798	81325809	-	0.000	0.000	Merged-chr18-81325997-1
NR1332--MA0769.1.Tcf7	chr12	106046378	106046389	-	0.000	0.000	Merged-chr12-106046288-9
NR46--MA0523.1.TCF7L2	chr1	51570628	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR1029--MA1421.1.TCF7L1	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR4641--MA1421.1.TCF7L1	chr6	136857371	136857382	-	0.000	0.000	Merged-chr6-136857557-19
NR2233--MA0523.1.TCF7L2	chr16	51676211	51676224	-	0.000	0.000	Merged-chr16-51676199-15
NR4308--MA0769.1.Tcf7	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR3105--MA0523.1.TCF7L2	chr2	108441079	108441092	+	0.000	0.000	Merged-chr2-108441195-1
NR3878--MA0523.1.TCF7L2	chr4	118406372	118406385	-	0.000	0.000	Merged-chr4-118406334-12
NR3828--MA0769.1.Tcf7	chr4	98282622	98282633	-	0.000	0.000	Merged-chr4-98282479-46
NR4291--MA0769.1.Tcf7	chr5	137425807	137425818	+	0.000	0.000	Merged-chr5-137425710-17
NR3537--MA1421.1.TCF7L1	chr3	115933847	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR3855--MA0769.1.Tcf7	chr4	102558443	102558454	-	0.000	0.000	Merged-chr4-102558246-20
NR2632--MA0523.1.TCF7L2	chr18	53904318	53904331	+	0.000	0.000	Merged-chr18-53904421-2
NR3207--MA0769.1.Tcf7	chr2	144646559	144646570	+	0.000	0.000	Merged-chr2-144646502-21
NR1945--MA0769.1.Tcf7	chr15	30686512	30686523	-	0.000	0.000	Merged-chr15-30686490-29
NR5418--MA1421.1.TCF7L1	chr9	62412449	62412460	+	0.000	0.000	Merged-chr9-62412387-14
NR3435--MA0523.1.TCF7L2	chr3	86915476	86915489	+	0.000	0.000	Merged-chr3-86915418-7
NR576--MA0523.1.TCF7L2	chr10	60156143	60156156	+	0.000	0.000	Merged-chr10-60156095-8
NR5419--MA0769.1.Tcf7	chr9	62412449	62412460	+	0.000	0.000	Merged-chr9-62412387-14
NR1943--MA1421.1.TCF7L1	chr15	30686512	30686523	-	0.000	0.000	Merged-chr15-30686490-29
NR2991--MA0769.1.Tcf7	chr2	57697122	57697133	-	0.000	0.000	Merged-chr2-57697264-6
NR5285--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR2320--MA0769.1.Tcf7	chr16	93977777	93977788	+	0.000	0.000	Merged-chr16-93977807-10
NR3224--MA0523.1.TCF7L2	chr2	147876585	147876598	+	0.000	0.000	Merged-chr2-147876682-1
NR5142--MA0769.1.Tcf7	chr8	57660261	57660272	-	0.000	0.000	Merged-chr8-57660259-14
NR5487--MA0523.1.TCF7L2	chr9	83893104	83893117	-	0.000	0.000	Merged-chr9-83893287-19
NR2437--MA0769.1.Tcf7	chr17	34628037	34628048	-	0.000	0.000	Merged-chr17-34628097-3
NR883--MA1421.1.TCF7L1	chr11	51938832	51938843	+	0.000	0.000	Merged-chr11-51938980-15
NR2415--MA1421.1.TCF7L1	chr17	29275142	29275153	-	0.000	0.000	Merged-chr17-29275247-8
NR103--MA0523.1.TCF7L2	chr1	78480498	78480511	+	0.000	0.000	Merged-chr1-78480382-3
NR730--MA0523.1.TCF7L2	chr10	111622635	111622648	+	0.000	0.000	Merged-chr10-111622563-9
NR4405--MA0523.1.TCF7L2	chr6	48508280	48508293	-	0.000	0.000	Merged-chr6-48508295-16
NR1955--MA1421.1.TCF7L1	chr15	38122363	38122374	+	0.000	0.000	Merged-chr15-38122272-49
NR2939--MA1421.1.TCF7L1	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
