#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR4541--MA0769.1.Tcf7	chr6	108512292	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR4132--MA1421.1.TCF7L1	chr5	86816950	86816961	+	0.000	0.000	Merged-chr5-86816982-25
NR676--MA1421.1.TCF7L1	chr10	96115332	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR2605--MA0523.1.TCF7L2	chr18	36512429	36512442	-	0.000	0.000	Merged-chr18-36512403-20
NR1055--MA0769.1.Tcf7	chr11	109765143	109765154	+	0.000	0.000	Merged-chr11-109765179-3
NR1163--MA1421.1.TCF7L1	chr12	35999207	35999218	+	0.000	0.000	Merged-chr12-35999221-22
NR4357--MA0769.1.Tcf7	chr6	24515135	24515146	+	0.000	0.000	Merged-chr6-24515075-25
NR536--MA0769.1.Tcf7	chr10	39240216	39240227	+	0.000	0.000	Merged-chr10-39240051-25
NR873--MA1421.1.TCF7L1	chr11	48927166	48927177	-	0.000	0.000	Merged-chr11-48927051-20
NR3608--MA0769.1.Tcf7	chr3	136725840	136725851	-	0.000	0.000	Merged-chr3-136725981-1
NR1165--MA0769.1.Tcf7	chr12	35999207	35999218	+	0.000	0.000	Merged-chr12-35999221-22
NR2146--MA1421.1.TCF7L1	chr16	4583907	4583918	-	0.000	0.000	Merged-chr16-4584045-35
NR535--MA0523.1.TCF7L2	chr10	39240216	39240229	+	0.000	0.000	Merged-chr10-39240051-25
NR4270--MA0769.1.Tcf7	chr5	124022515	124022526	-	0.000	0.000	Merged-chr5-124022476-27
NR4540--MA0523.1.TCF7L2	chr6	108512290	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR956--MA0523.1.TCF7L2	chr11	76184636	76184649	-	0.000	0.000	Merged-chr11-76184587-9
