#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR646--MA0768.1.LEF1	chr14	55913598	55913612	-	0.000	0.000	Merged-chr14-55913661-13
NR1677--MA0768.1.LEF1	chr6	50146432	50146446	-	0.000	0.000	Merged-chr6-50146420-23
NR1104--MA0768.1.LEF1	chr2	34198752	34198766	+	0.000	0.000	Merged-chr2-34198771-20
NR351--MA0768.1.LEF1	chr11	70113938	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR1364--MA0768.1.LEF1	chr3	136531623	136531637	-	0.000	0.000	Merged-chr3-136531691-41
NR911--MA0768.1.LEF1	chr17	47564719	47564733	-	0.000	0.000	Merged-chr17-47564757-20
NR1136--MA0768.1.LEF1	chr2	72282907	72282921	+	0.000	0.000	Merged-chr2-72282934-17
NR356--MA0768.1.LEF1	chr11	75517406	75517420	-	0.000	0.000	Merged-chr11-75517304-2
NR1154--MA0768.1.LEF1	chr2	99446950	99446964	-	0.000	0.000	Merged-chr2-99446778-1
NR1038--MA0768.1.LEF1	chr19	32455179	32455193	+	0.000	0.000	Merged-chr19-32455050-22
NR1826--MA0768.1.LEF1	chr7	74509444	74509458	-	0.000	0.000	Merged-chr7-74509389-8
NR943--MA0768.1.LEF1	chr17	86200451	86200465	-	0.000	0.000	Merged-chr17-86200490-5
NR1844--MA0768.1.LEF1	chr7	84166258	84166272	+	0.000	0.000	Merged-chr7-84166236-11
NR1289--MA0768.1.LEF1	chr3	86206677	86206691	+	0.000	0.000	Merged-chr3-86206725-10
