#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR1689--MA0741.1.KLF16	chr1	91825521	91825531	-	0.000	0.000	Merged-chr1-91825474-20
NR37283--MA0039.3.KLF4	chr2	101209305	101209315	+	0.000	0.000	Merged-chr2-101209230-18
NR24664--MA1107.1.KLF9	chr15	98927707	98927719	+	0.000	0.000	Merged-chr15-98927787-24
NR10386--MA0740.1.KLF14	chr11	58995975	58995988	+	0.000	0.000	Merged-chr11-58995988-22
NR70663--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
NR55511--MA0741.1.KLF16	chr6	54092925	54092935	+	0.000	0.000	Merged-chr6-54092801-44
NR52129--MA0599.1.KLF5	chr5	114246626	114246635	+	0.000	0.000	Merged-chr5-114246791-23
NR55506--MA0599.1.KLF5	chr6	54092929	54092938	+	0.000	0.000	Merged-chr6-54092801-44
NR38931--MA0741.1.KLF16	chr2	151543660	151543670	-	0.000	0.000	Merged-chr2-151543630-14
NR56161--MA0493.1.Klf1	chr6	86777972	86777982	+	0.000	0.000	Merged-chr6-86778019-10
NR51033--MA0039.3.KLF4	chr5	77092011	77092021	-	0.000	0.000	Merged-chr5-77092081-48
NR18550--MA1107.1.KLF9	chr13	108170124	108170136	+	0.000	0.000	Merged-chr13-108170237-20
NR47821--MA0741.1.KLF16	chr4	134117230	134117240	+	0.000	0.000	Merged-chr4-134117148-42
NR5963--MA0740.1.KLF14	chr10	53889521	53889534	-	0.000	0.000	Merged-chr10-53889619-14
NR48327--MA0741.1.KLF16	chr4	140983708	140983718	-	0.000	0.000	Merged-chr4-140983649-41
NR17340--MA0493.1.Klf1	chr13	63189530	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR27085--MA0740.1.KLF14	chr16	93552856	93552869	+	0.000	0.000	Merged-chr16-93552984-42
NR35012--MA0740.1.KLF14	chr2	17862024	17862037	+	0.000	0.000	Merged-chr2-17861880-15
NR61148--MA0740.1.KLF14	chr7	80123326	80123339	+	0.000	0.000	Merged-chr7-80123359-34
NR47678--MA0599.1.KLF5	chr4	132749054	132749063	-	0.000	0.000	Merged-chr4-132748989-25
NR12393--MA0740.1.KLF14	chr11	104631542	104631555	-	0.000	0.000	Merged-chr11-104631492-24
NR37406--MA0599.1.KLF5	chr2	103703495	103703504	-	0.000	0.000	Merged-chr2-103703560-39
NR27016--MA0039.3.KLF4	chr16	91588233	91588243	+	0.000	0.000	Merged-chr16-91588038-25
NR27015--MA0742.1.Klf12	chr16	91588231	91588245	+	0.000	0.000	Merged-chr16-91588038-25
NR7830--MA0599.1.KLF5	chr10	95299983	95299992	-	0.000	0.000	Merged-chr10-95299831-73
NR28488--MA0599.1.KLF5	chr17	31077832	31077841	-	0.000	0.000	Merged-chr17-31077750-28
NR60356--MA0599.1.KLF5	chr7	45068182	45068191	-	0.000	0.000	Merged-chr7-45068056-13
NR22459--MA0741.1.KLF16	chr15	25884683	25884693	-	0.000	0.000	Merged-chr15-25884835-36
NR33648--MA0741.1.KLF16	chr19	31337344	31337354	-	0.000	0.000	Merged-chr19-31337298-1
NR27538--MA0742.1.Klf12	chr17	6978843	6978857	-	0.000	0.000	Merged-chr17-6979052-61
NR17238--MA0599.1.KLF5	chr13	58443994	58444003	-	0.000	0.000	Merged-chr13-58444018-18
NR18225--MA0741.1.KLF16	chr13	99781081	99781091	-	0.000	0.000	Merged-chr13-99781144-21
NR70843--MA0599.1.KLF5	chr9	110641166	110641175	+	0.000	0.000	Merged-chr9-110641188-21
NR29199--MA0742.1.Klf12	chr17	47221305	47221319	+	0.000	0.000	Merged-chr17-47221287-27
NR33642--MA0599.1.KLF5	chr19	31337334	31337343	-	0.000	0.000	Merged-chr19-31337298-1
NR70815--MA1107.1.KLF9	chr9	110229699	110229711	-	0.000	0.000	Merged-chr9-110229688-19
NR54686--MA0742.1.Klf12	chr6	22340134	22340148	-	0.000	0.000	Merged-chr6-22340067-27
NR66894--MA1107.1.KLF9	chr8	117052563	117052575	-	0.000	0.000	Merged-chr8-117052612-3
NR40724--MA1107.1.KLF9	chr3	32438011	32438023	-	0.000	0.000	Merged-chr3-32438051-51
NR58382--MA0599.1.KLF5	chr6	142571414	142571423	-	0.000	0.000	Merged-chr6-142571386-44
NR47686--MA1107.1.KLF9	chr4	132749052	132749064	-	0.000	0.000	Merged-chr4-132748989-25
NR35275--MA0741.1.KLF16	chr2	25170653	25170663	-	0.000	0.000	Merged-chr2-25170502-21
NR38195--MA1107.1.KLF9	chr2	128470342	128470354	-	0.000	0.000	Merged-chr2-128470524-44
NR32211--MA1107.1.KLF9	chr18	73816989	73817001	+	0.000	0.000	Merged-chr18-73816843-39
NR12895--MA0740.1.KLF14	chr11	115999778	115999791	+	0.000	0.000	Merged-chr11-115999757-14
NR53473--MA0039.3.KLF4	chr5	137069069	137069079	-	0.000	0.000	Merged-chr5-137068922-9
NR47491--MA0740.1.KLF14	chr4	129696177	129696190	+	0.000	0.000	Merged-chr4-129696167-1
NR67305--MA0599.1.KLF5	chr8	123411506	123411515	-	0.000	0.000	Merged-chr8-123411565-31
NR52053--MA0493.1.Klf1	chr5	113842509	113842519	-	0.000	0.000	Merged-chr5-113842401-77
NR11881--MA0599.1.KLF5	chr11	97133497	97133506	+	0.000	0.000	Merged-chr11-97133494-13
NR61149--MA0657.1.KLF13	chr7	80123325	80123342	+	0.000	0.000	Merged-chr7-80123359-34
NR46023--MA0039.3.KLF4	chr4	82755891	82755901	+	0.000	0.000	Merged-chr4-82755852-39
NR1690--MA0741.1.KLF16	chr1	91825522	91825532	-	0.000	0.000	Merged-chr1-91825474-20
NR30600--MA1107.1.KLF9	chr17	86958068	86958080	+	0.000	0.000	Merged-chr17-86958132-38
NR22133--MA0741.1.KLF16	chr14	122187050	122187060	+	0.000	0.000	Merged-chr14-122187060-26
NR50446--MA1107.1.KLF9	chr5	54111079	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR18906--MA0599.1.KLF5	chr13	117223260	117223269	+	0.000	0.000	Merged-chr13-117223399-24
NR38201--MA0599.1.KLF5	chr2	128470719	128470728	-	0.000	0.000	Merged-chr2-128470524-44
NR47710--MA0599.1.KLF5	chr4	132808293	132808302	-	0.000	0.000	Merged-chr4-132808337-17
NR8487--MA0741.1.KLF16	chr10	119005764	119005774	+	0.000	0.000	Merged-chr10-119005704-15
NR67341--MA0599.1.KLF5	chr8	124085801	124085810	+	0.000	0.000	Merged-chr8-124085760-17
NR63854--MA0493.1.Klf1	chr7	143724047	143724057	-	0.000	0.000	Merged-chr7-143724096-15
NR63079--MA1107.1.KLF9	chr7	130801727	130801739	+	0.000	0.000	Merged-chr7-130801893-35
NR48800--MA0599.1.KLF5	chr4	150894669	150894678	+	0.000	0.000	Merged-chr4-150894695-19
NR17344--MA0741.1.KLF16	chr13	63189566	63189576	-	0.000	0.000	Merged-chr13-63189715-33
NR61151--MA0599.1.KLF5	chr7	80123327	80123336	+	0.000	0.000	Merged-chr7-80123359-34
NR69028--MA0493.1.Klf1	chr9	60998295	60998305	-	0.000	0.000	Merged-chr9-60998373-9
NR8486--MA0493.1.Klf1	chr10	119005763	119005773	+	0.000	0.000	Merged-chr10-119005704-15
NR50024--MA0741.1.KLF16	chr5	35176593	35176603	+	0.000	0.000	Merged-chr5-35176446-65
NR50022--MA0599.1.KLF5	chr5	35176593	35176602	+	0.000	0.000	Merged-chr5-35176446-65
NR8397--MA0599.1.KLF5	chr10	117861085	117861094	-	0.000	0.000	Merged-chr10-117861044-50
NR749--MA0741.1.KLF16	chr1	52578382	52578392	+	0.000	0.000	Merged-chr1-52578518-39
