#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR1332--MA0768.1.LEF1	chr6	108482613	108482627	+	0.000	0.000	Merged-chr6-108482601-32
NR1462--MA0768.1.LEF1	chr7	123354475	123354489	+	0.000	0.000	Merged-chr7-123354508-1
NR1010--MA0768.1.LEF1	chr3	101066412	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR678--MA0768.1.LEF1	chr16	95869617	95869631	+	0.000	0.000	Merged-chr16-95869616-44
NR1579--MA0768.1.LEF1	chr9	46015111	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR1257--MA0768.1.LEF1	chr5	134333000	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR1154--MA0768.1.LEF1	chr4	141184061	141184075	-	0.000	0.000	Merged-chr4-141184066-30
NR271--MA0768.1.LEF1	chr11	74100908	74100922	+	0.000	0.000	Merged-chr11-74100988-13
NR1190--MA0768.1.LEF1	chr5	22587656	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR164--MA0768.1.LEF1	chr10	58354863	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR943--MA0768.1.LEF1	chr2	150578758	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR733--MA0768.1.LEF1	chr17	88213658	88213672	+	0.000	0.000	Merged-chr17-88213709-19
NR331--MA0768.1.LEF1	chr12	40536138	40536152	+	0.000	0.000	Merged-chr12-40536190-67
NR68--MA0768.1.LEF1	chr1	128794047	128794061	+	0.000	0.000	Merged-chr1-128794102-26
NR247--MA0768.1.LEF1	chr11	49722941	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR923--MA0768.1.LEF1	chr2	132669231	132669245	+	0.000	0.000	Merged-chr2-132669439-31
NR919--MA0768.1.LEF1	chr2	128544644	128544658	+	0.000	0.000	Merged-chr2-128544786-45
NR1296--MA0768.1.LEF1	chr6	50427723	50427737	+	0.000	0.000	Merged-chr6-50427690-6
NR843--MA0768.1.LEF1	chr2	17861893	17861907	+	0.000	0.000	Merged-chr2-17861880-15
NR973--MA0768.1.LEF1	chr3	38280376	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR43--MA0768.1.LEF1	chr1	91405857	91405871	+	0.000	0.000	Merged-chr1-91405791-30
NR745--MA0768.1.LEF1	chr18	19524572	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR763--MA0768.1.LEF1	chr18	61614574	61614588	+	0.000	0.000	Merged-chr18-61614590-32
NR875--MA0768.1.LEF1	chr2	68882156	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR647--MA0768.1.LEF1	chr16	51878503	51878517	+	0.000	0.000	Merged-chr16-51878445-21
NR562--MA0768.1.LEF1	chr15	9533555	9533569	+	0.000	0.000	Merged-chr15-9533546-44
NR683--MA0768.1.LEF1	chr17	5747999	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR1235--MA0768.1.LEF1	chr5	98018288	98018302	+	0.000	0.000	Merged-chr5-98018284-53
NR1253--MA0768.1.LEF1	chr5	124022512	124022526	-	0.000	0.000	Merged-chr5-124022476-27
NR124--MA0768.1.LEF1	chr1	183987878	183987892	+	0.000	0.000	Merged-chr1-183987914-47
NR1258--MA0768.1.LEF1	chr5	140586859	140586873	-	0.000	0.000	Merged-chr5-140586794-18
NR375--MA0768.1.LEF1	chr12	102581813	102581827	+	0.000	0.000	Merged-chr12-102581960-56
NR1617--MA0768.1.LEF1	chr9	92218022	92218036	+	0.000	0.000	Merged-chr9-92217904-40
