#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR968--MA0768.1.LEF1	chr3	22309243	22309257	-	0.000	0.000	Merged-chr3-22309201-16
NR1529--MA0768.1.LEF1	chr8	111449918	111449932	+	0.000	0.000	Merged-chr8-111449964-18
NR758--MA0768.1.LEF1	chr18	53904318	53904332	+	0.000	0.000	Merged-chr18-53904421-2
NR418--MA0768.1.LEF1	chr13	12927707	12927721	+	0.000	0.000	Merged-chr13-12927520-1
NR548--MA0768.1.LEF1	chr14	107934993	107935007	+	0.000	0.000	Merged-chr14-107935033-1
NR678--MA0768.1.LEF1	chr16	95869617	95869631	+	0.000	0.000	Merged-chr16-95869616-44
NR1136--MA0768.1.LEF1	chr4	123588952	123588966	-	0.000	0.000	Merged-chr4-123588937-38
NR271--MA0768.1.LEF1	chr11	74100908	74100922	+	0.000	0.000	Merged-chr11-74100988-13
NR868--MA0768.1.LEF1	chr2	57697139	57697153	+	0.000	0.000	Merged-chr2-57697264-6
NR68--MA0768.1.LEF1	chr1	128794047	128794061	+	0.000	0.000	Merged-chr1-128794102-26
NR1246--MA0768.1.LEF1	chr5	111235797	111235811	-	0.000	0.000	Merged-chr5-111235959-11
NR905--MA0768.1.LEF1	chr2	108441079	108441093	+	0.000	0.000	Merged-chr2-108441195-1
NR843--MA0768.1.LEF1	chr2	17861893	17861907	+	0.000	0.000	Merged-chr2-17861880-15
NR745--MA0768.1.LEF1	chr18	19524572	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR562--MA0768.1.LEF1	chr15	9533555	9533569	+	0.000	0.000	Merged-chr15-9533546-44
NR254--MA0768.1.LEF1	chr11	58643656	58643670	-	0.000	0.000	Merged-chr11-58643569-22
NR850--MA0768.1.LEF1	chr2	30784850	30784864	-	0.000	0.000	Merged-chr2-30784697-21
NR295--MA0768.1.LEF1	chr11	104158012	104158026	-	0.000	0.000	Merged-chr11-104158136-14
NR980--MA0768.1.LEF1	chr3	58517234	58517248	+	0.000	0.000	Merged-chr3-58517381-43
NR32--MA0768.1.LEF1	chr1	82902309	82902323	-	0.000	0.000	Merged-chr1-82902274-10
NR1420--MA0768.1.LEF1	chr7	83852807	83852821	+	0.000	0.000	Merged-chr7-83852721-40
NR1304--MA0768.1.LEF1	chr6	65937486	65937500	+	0.000	0.000	Merged-chr6-65937524-1
NR538--MA0768.1.LEF1	chr14	79236620	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR1144--MA0768.1.LEF1	chr4	132639597	132639611	+	0.000	0.000	Merged-chr4-132639642-2
NR476--MA0768.1.LEF1	chr13	103357024	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR746--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR205--MA0768.1.LEF1	chr10	111622635	111622649	+	0.000	0.000	Merged-chr10-111622563-9
NR1008--MA0768.1.LEF1	chr3	101056903	101056917	-	0.000	0.000	Merged-chr3-101056914-14
NR815--MA0768.1.LEF1	chr19	42179271	42179285	-	0.000	0.000	Merged-chr19-42179187-7
NR1113--MA0768.1.LEF1	chr4	89169075	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR1391--MA0768.1.LEF1	chr7	19086343	19086357	+	0.000	0.000	Merged-chr7-19086207-16
