#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR10231--MA0591.1.Bach1::Mafk	chr4	108371533	108371547	+	0.000	0.000	Merged-chr4-108371608-19
NR5910--MA0089.1.MAFG::NFE2L1	chr16	75920923	75920928	+	0.000	0.000	Merged-chr16-75921068-56
NR1509--MA0591.1.Bach1::Mafk	chr10	44434868	44434882	-	0.000	0.000	Merged-chr10-44434814-22
NR1083--MA0591.1.Bach1::Mafk	chr1	180410494	180410508	+	0.000	0.000	Merged-chr1-180410391-12
NR2746--MA0591.1.Bach1::Mafk	chr11	109149699	109149713	+	0.000	0.000	Merged-chr11-109149686-17
NR13615--MA0591.1.Bach1::Mafk	chr8	72285430	72285444	-	0.000	0.000	Merged-chr8-72285397-19
NR14976--MA0089.1.MAFG::NFE2L1	chrX	106704807	106704812	+	0.000	0.000	Merged-chrX-106704745-40
NR1400--MA0089.1.MAFG::NFE2L1	chr10	21964430	21964435	+	0.000	0.000	Merged-chr10-21964511-16
NR4853--MA0591.1.Bach1::Mafk	chr14	99266004	99266018	-	0.000	0.000	Merged-chr14-99266048-28
NR10379--MA0089.1.MAFG::NFE2L1	chr4	129827884	129827889	+	0.000	0.000	Merged-chr4-129827894-38
NR15037--MA0495.2.MAFF	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR5398--MA0117.2.Mafb	chr15	92138443	92138454	-	0.000	0.000	Merged-chr15-92138453-8
NR2153--MA0089.1.MAFG::NFE2L1	chr11	4206035	4206040	+	0.000	0.000	Merged-chr11-4206247-48
NR6060--MA0591.1.Bach1::Mafk	chr16	94660250	94660264	-	0.000	0.000	Merged-chr16-94660460-20
NR7252--MA0591.1.Bach1::Mafk	chr19	21785907	21785921	-	0.000	0.000	Merged-chr19-21785964-7
NR5510--MA0117.2.Mafb	chr16	11519478	11519489	-	0.000	0.000	Merged-chr16-11519349-21
NR1388--MA0117.2.Mafb	chr10	21366096	21366107	+	0.000	0.000	Merged-chr10-21366079-21
NR1711--MA0501.1.MAF::NFE2	chr10	78476948	78476962	+	0.000	0.000	Merged-chr10-78476877-17
NR15039--MA0117.2.Mafb	chrX	142792389	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR6940--MA0591.1.Bach1::Mafk	chr18	67290663	67290677	-	0.000	0.000	Merged-chr18-67290612-3
NR2353--MA0089.1.MAFG::NFE2L1	chr11	46474480	46474485	-	0.000	0.000	Merged-chr11-46474391-31
