#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR1487--MA0508.2.PRDM1	chr3	96883898	96883907	+	0.000	0.000	Merged-chr3-96883800-5
NR71--MA0508.2.PRDM1	chr1	92627921	92627930	-	0.000	0.000	Merged-chr1-92627858-2
NR2260--MA0508.2.PRDM1	chr8	36019746	36019755	-	0.000	0.000	Merged-chr8-36019786-19
NR1466--MA0508.2.PRDM1	chr3	81339656	81339665	-	0.000	0.000	Merged-chr3-81339811-7
NR2340--MA0508.2.PRDM1	chr8	128077461	128077470	+	0.000	0.000	Merged-chr8-128077358-1
NR473--MA0508.2.PRDM1	chr12	33389132	33389141	-	0.000	0.000	Merged-chr12-33389022-18
NR1158--MA0508.2.PRDM1	chr19	11055829	11055838	+	0.000	0.000	Merged-chr19-11055893-27
NR2420--MA0508.2.PRDM1	chr9	80869992	80870001	-	0.000	0.000	Merged-chr9-80870053-3
NR2467--MA0508.2.PRDM1	chrX	12151831	12151840	+	0.000	0.000	Merged-chrX-12151801-24
NR2297--MA0508.2.PRDM1	chr8	84759395	84759404	-	0.000	0.000	Merged-chr8-84759322-6
NR2308--MA0508.2.PRDM1	chr8	101687071	101687080	-	0.000	0.000	Merged-chr8-101687261-3
NR2146--MA0508.2.PRDM1	chr7	90145981	90145990	+	0.000	0.000	Merged-chr7-90145874-1
NR1571--MA0508.2.PRDM1	chr3	148336316	148336325	+	0.000	0.000	Merged-chr3-148336244-12
NR2186--MA0508.2.PRDM1	chr7	115661830	115661839	-	0.000	0.000	Merged-chr7-115661856-1
NR2306--MA0508.2.PRDM1	chr8	95679322	95679331	-	0.000	0.000	Merged-chr8-95679341-1
NR1826--MA0508.2.PRDM1	chr5	72658518	72658527	-	0.000	0.000	Merged-chr5-72658444-8
NR30--MA0508.2.PRDM1	chr1	39102315	39102324	-	0.000	0.000	Merged-chr1-39102412-8
NR2388--MA0508.2.PRDM1	chr9	60243971	60243980	+	0.000	0.000	Merged-chr9-60243855-4
NR27--MA0508.2.PRDM1	chr1	37496185	37496194	+	0.000	0.000	Merged-chr1-37496227-52
NR1566--MA0508.2.PRDM1	chr3	144533329	144533338	-	0.000	0.000	Merged-chr3-144533268-10
NR1931--MA0508.2.PRDM1	chr6	40400235	40400244	-	0.000	0.000	Merged-chr6-40400287-7
NR544--MA0508.2.PRDM1	chr12	107497182	107497191	-	0.000	0.000	Merged-chr12-107497155-16
NR339--MA0508.2.PRDM1	chr10	126630231	126630240	+	0.000	0.000	Merged-chr10-126630142-1
NR1229--MA0508.2.PRDM1	chr2	25170433	25170442	-	0.000	0.000	Merged-chr2-25170502-21
NR828--MA0508.2.PRDM1	chr15	6523811	6523820	-	0.000	0.000	Merged-chr15-6523761-2
NR2469--MA0508.2.PRDM1	chrX	23697449	23697458	-	0.000	0.000	Merged-chrX-23697547-21
NR446--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR1798--MA0508.2.PRDM1	chr5	44180998	44181007	+	0.000	0.000	Merged-chr5-44180865-15
NR2358--MA0508.2.PRDM1	chr9	22366938	22366947	+	0.000	0.000	Merged-chr9-22366928-17
NR593--MA0508.2.PRDM1	chr13	16021028	16021037	-	0.000	0.000	Merged-chr13-16020821-23
NR1278--MA0508.2.PRDM1	chr2	73281399	73281408	+	0.000	0.000	Merged-chr2-73281326-31
NR1127--MA0508.2.PRDM1	chr18	69068570	69068579	+	0.000	0.000	Merged-chr18-69068591-21
NR795--MA0508.2.PRDM1	chr14	79331947	79331956	-	0.000	0.000	Merged-chr14-79332097-1
NR997--MA0508.2.PRDM1	chr17	12692069	12692078	+	0.000	0.000	Merged-chr17-12692013-52
NR2508--MA0508.2.PRDM1	chrX	167231346	167231355	+	0.000	0.000	Merged-chrX-167231316-28
NR453--MA0508.2.PRDM1	chr12	8344997	8345006	-	0.000	0.000	Merged-chr12-8345102-29
NR1670--MA0508.2.PRDM1	chr4	87669637	87669646	-	0.000	0.000	Merged-chr4-87669731-33
NR296--MA0508.2.PRDM1	chr10	93195069	93195078	+	0.000	0.000	Merged-chr10-93194947-1
NR1617--MA0508.2.PRDM1	chr4	33270254	33270263	+	0.000	0.000	Merged-chr4-33270288-23
NR1923--MA0508.2.PRDM1	chr6	30141149	30141158	+	0.000	0.000	Merged-chr6-30141112-2
NR1527--MA0508.2.PRDM1	chr3	126630883	126630892	-	0.000	0.000	Merged-chr3-126630748-8
