#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR5552--MA0684.1.RUNX3	chr2	11040172	11040181	+	0.000	0.000	Merged-chr2-11040200-20
NR7212--MA0002.2.RUNX1	chr4	97996308	97996318	+	0.000	0.000	Merged-chr4-97996259-58
NR140--MA0002.2.RUNX1	chr1	60744504	60744514	+	0.000	0.000	Merged-chr1-60744410-6
NR7083--MA0684.1.RUNX3	chr4	46565820	46565829	+	0.000	0.000	Merged-chr4-46565631-17
NR1936--MA0511.2.RUNX2	chr11	104538431	104538439	+	0.000	0.000	Merged-chr11-104538419-8
NR2915--MA0002.2.RUNX1	chr13	81705689	81705699	-	0.000	0.000	Merged-chr13-81705633-6
NR798--MA0002.2.RUNX1	chr1	191419219	191419229	-	0.000	0.000	Merged-chr1-191419117-1
NR7727--MA0002.2.RUNX1	chr5	43915498	43915508	-	0.000	0.000	Merged-chr5-43915438-14
NR2914--MA0684.1.RUNX3	chr13	81705664	81705673	+	0.000	0.000	Merged-chr13-81705633-6
NR8914--MA0002.2.RUNX1	chr6	140801342	140801352	+	0.000	0.000	Merged-chr6-140801246-11
NR10130--MA0684.1.RUNX3	chr8	122527147	122527156	+	0.000	0.000	Merged-chr8-122527026-7
NR10048--MA0002.2.RUNX1	chr8	111998969	111998979	-	0.000	0.000	Merged-chr8-111998914-9
NR4534--MA0002.2.RUNX1	chr17	24084685	24084695	-	0.000	0.000	Merged-chr17-24084802-20
NR8622--MA0002.2.RUNX1	chr6	103034149	103034159	-	0.000	0.000	Merged-chr6-103034102-21
NR5897--MA0684.1.RUNX3	chr2	92205438	92205447	-	0.000	0.000	Merged-chr2-92205451-35
NR49--MA0511.2.RUNX2	chr1	37471644	37471652	+	0.000	0.000	Merged-chr1-37471561-5
NR7163--MA0684.1.RUNX3	chr4	82365251	82365260	+	0.000	0.000	Merged-chr4-82365199-20
