#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR6542--MA1421.1.TCF7L1	chr5	10254795	10254806	+	0.000	0.000	Merged-chr5-10254903-14
NR2151--MA0769.1.Tcf7	chr13	8458069	8458080	+	0.000	0.000	Merged-chr13-8458004-23
NR6647--MA0523.1.TCF7L2	chr5	52245286	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR1751--MA0769.1.Tcf7	chr12	32099792	32099803	+	0.000	0.000	Merged-chr12-32099741-8
NR3000--MA0523.1.TCF7L2	chr14	122187101	122187114	-	0.000	0.000	Merged-chr14-122187060-26
NR7283--MA0769.1.Tcf7	chr6	82744605	82744616	+	0.000	0.000	Merged-chr6-82744737-54
NR7875--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR4976--MA0523.1.TCF7L2	chr2	107005953	107005966	+	0.000	0.000	Merged-chr2-107005967-12
NR863--MA0523.1.TCF7L2	chr10	41615634	41615647	+	0.000	0.000	Merged-chr10-41615681-31
NR3291--MA0769.1.Tcf7	chr15	93694650	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR6296--MA1421.1.TCF7L1	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR1750--MA0523.1.TCF7L2	chr12	32099792	32099805	+	0.000	0.000	Merged-chr12-32099741-8
NR8293--MA0769.1.Tcf7	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR7340--MA1421.1.TCF7L1	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR3876--MA0523.1.TCF7L2	chr17	50485168	50485181	-	0.000	0.000	Merged-chr17-50485186-33
NR3863--MA0523.1.TCF7L2	chr17	48318939	48318952	+	0.000	0.000	Merged-chr17-48318964-29
NR8773--MA0769.1.Tcf7	chr9	80082423	80082434	+	0.000	0.000	Merged-chr9-80082362-35
NR1948--MA0523.1.TCF7L2	chr12	86686987	86687000	-	0.000	0.000	Merged-chr12-86687051-28
NR8657--MA0769.1.Tcf7	chr9	50852881	50852892	-	0.000	0.000	Merged-chr9-50852835-21
NR830--MA0769.1.Tcf7	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR6674--MA1421.1.TCF7L1	chr5	64455558	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR3002--MA0769.1.Tcf7	chr14	122290588	122290599	+	0.000	0.000	Merged-chr14-122290582-19
NR5634--MA0769.1.Tcf7	chr3	95223331	95223342	+	0.000	0.000	Merged-chr3-95223190-16
NR7044--MA0769.1.Tcf7	chr6	5147853	5147864	+	0.000	0.000	Merged-chr6-5148035-17
NR5312--MA0769.1.Tcf7	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
NR3289--MA1421.1.TCF7L1	chr15	93694650	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR3827--MA0769.1.Tcf7	chr17	35766542	35766553	+	0.000	0.000	Merged-chr17-35766522-37
NR9144--MA0769.1.Tcf7	chrX	132288201	132288212	+	0.000	0.000	Merged-chrX-132288230-18
NR442--MA0769.1.Tcf7	chr1	143466098	143466109	+	0.000	0.000	Merged-chr1-143466091-51
NR1516--MA1421.1.TCF7L1	chr11	88132000	88132011	-	0.000	0.000	Merged-chr11-88132051-21
NR7421--MA1421.1.TCF7L1	chr6	108512292	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR2813--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR2689--MA0769.1.Tcf7	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR1478--MA0523.1.TCF7L2	chr11	76184636	76184649	-	0.000	0.000	Merged-chr11-76184587-9
NR3873--MA1421.1.TCF7L1	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR2765--MA1421.1.TCF7L1	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR5077--MA0769.1.Tcf7	chr2	125422355	125422366	+	0.000	0.000	Merged-chr2-125422559-12
NR2971--MA1421.1.TCF7L1	chr14	118124306	118124317	+	0.000	0.000	Merged-chr14-118124409-31
NR5072--MA0523.1.TCF7L2	chr2	124634579	124634592	+	0.000	0.000	Merged-chr2-124634585-20
NR6297--MA0769.1.Tcf7	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR4495--MA1421.1.TCF7L1	chr19	55768424	55768435	-	0.000	0.000	Merged-chr19-55768445-7
NR4574--MA0769.1.Tcf7	chr2	11617019	11617030	+	0.000	0.000	Merged-chr2-11617013-39
NR6262--MA0523.1.TCF7L2	chr4	88693551	88693564	+	0.000	0.000	Merged-chr4-88693660-22
NR4592--MA0769.1.Tcf7	chr2	17861893	17861904	+	0.000	0.000	Merged-chr2-17861880-15
NR4591--MA0523.1.TCF7L2	chr2	17861893	17861906	+	0.000	0.000	Merged-chr2-17861880-15
