#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR1505--MA0731.1.BCL6B	chr5	37147788	37147804	+	0.000	0.000	Merged-chr5-37147664-17
NR1257--MA0463.1.Bcl6	chr3	96306494	96306507	+	0.000	0.000	Merged-chr3-96306635-3
NR1335--MA0731.1.BCL6B	chr3	144561897	144561913	+	0.000	0.000	Merged-chr3-144561824-38
NR809--MA0463.1.Bcl6	chr16	93977791	93977804	-	0.000	0.000	Merged-chr16-93977807-10
NR1522--MA0463.1.Bcl6	chr5	68033558	68033571	+	0.000	0.000	Merged-chr5-68033501-23
NR722--MA0731.1.BCL6B	chr15	78903365	78903381	-	0.000	0.000	Merged-chr15-78903471-19
NR3--MA0463.1.Bcl6	chr1	13560072	13560085	+	0.000	0.000	Merged-chr1-13560165-1
NR682--MA0731.1.BCL6B	chr15	9435904	9435920	-	0.000	0.000	Merged-chr15-9435954-24
NR439--MA0463.1.Bcl6	chr12	99557472	99557485	+	0.000	0.000	Merged-chr12-99557572-3
NR2108--MA0463.1.Bcl6	chrX	59999515	59999528	-	0.000	0.000	Merged-chrX-59999627-14
NR130--MA0731.1.BCL6B	chr1	170993653	170993669	+	0.000	0.000	Merged-chr1-170993660-17
NR297--MA0463.1.Bcl6	chr11	17051559	17051572	+	0.000	0.000	Merged-chr11-17051443-1
NR1431--MA0463.1.Bcl6	chr4	120959634	120959647	+	0.000	0.000	Merged-chr4-120959527-5
NR222--MA0463.1.Bcl6	chr10	60284880	60284893	+	0.000	0.000	Merged-chr10-60285008-11
NR352--MA0463.1.Bcl6	chr11	83629974	83629987	+	0.000	0.000	Merged-chr11-83629879-6
NR1517--MA0731.1.BCL6B	chr5	64324516	64324532	-	0.000	0.000	Merged-chr5-64324524-11
NR1193--MA0731.1.BCL6B	chr2	178407650	178407666	-	0.000	0.000	Merged-chr2-178407625-2
NR382--MA0463.1.Bcl6	chr11	115258227	115258240	-	0.000	0.000	Merged-chr11-115258229-4
NR1046--MA0463.1.Bcl6	chr2	34945660	34945673	-	0.000	0.000	Merged-chr2-34945759-18
NR1209--MA0731.1.BCL6B	chr3	27210437	27210453	-	0.000	0.000	Merged-chr3-27210457-3
NR333--MA0731.1.BCL6B	chr11	68768669	68768685	+	0.000	0.000	Merged-chr11-68768507-16
NR693--MA0463.1.Bcl6	chr15	38452730	38452743	-	0.000	0.000	Merged-chr15-38452892-28
NR699--MA0731.1.BCL6B	chr15	50652005	50652021	-	0.000	0.000	Merged-chr15-50651925-26
NR815--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR1976--MA0463.1.Bcl6	chr8	124266025	124266038	+	0.000	0.000	Merged-chr8-124265993-45
NR753--MA0463.1.Bcl6	chr16	21531031	21531044	+	0.000	0.000	Merged-chr16-21531039-7
NR669--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1433--MA0463.1.Bcl6	chr4	121628380	121628393	+	0.000	0.000	Merged-chr4-121628407-1
NR336--MA0463.1.Bcl6	chr11	69581024	69581037	+	0.000	0.000	Merged-chr11-69580859-6
NR448--MA0463.1.Bcl6	chr12	107011658	107011671	+	0.000	0.000	Merged-chr12-107011663-34
NR238--MA0463.1.Bcl6	chr10	81082406	81082419	-	0.000	0.000	Merged-chr10-81082466-12
NR1421--MA0731.1.BCL6B	chr4	114468230	114468246	-	0.000	0.000	Merged-chr4-114468336-4
NR1482--MA0731.1.BCL6B	chr4	152341078	152341094	-	0.000	0.000	Merged-chr4-152341132-7
NR508--MA0463.1.Bcl6	chr13	24547247	24547260	+	0.000	0.000	Merged-chr13-24547194-39
NR1365--MA0731.1.BCL6B	chr4	6834675	6834691	+	0.000	0.000	Merged-chr4-6834506-4
NR1262--MA0463.1.Bcl6	chr3	101929712	101929725	-	0.000	0.000	Merged-chr3-101929538-16
NR895--MA0731.1.BCL6B	chr17	87609029	87609045	-	0.000	0.000	Merged-chr17-87608990-28
NR1443--MA0463.1.Bcl6	chr4	133005466	133005479	-	0.000	0.000	Merged-chr4-133005373-4
NR109--MA0463.1.Bcl6	chr1	156462767	156462780	+	0.000	0.000	Merged-chr1-156462820-12
NR1028--MA0463.1.Bcl6	chr2	18050907	18050920	-	0.000	0.000	Merged-chr2-18050783-11
NR2015--MA0463.1.Bcl6	chr9	53452368	53452381	-	0.000	0.000	Merged-chr9-53452460-4
NR1441--MA0731.1.BCL6B	chr4	132775157	132775173	+	0.000	0.000	Merged-chr4-132775105-24
