#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR55778--MA0740.1.KLF14	chr6	119451004	119451017	+	0.000	0.000	Merged-chr6-119451010-23
NR1766--MA0740.1.KLF14	chr1	106714611	106714624	-	0.000	0.000	Merged-chr1-106714804-1
NR41163--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR9846--MA0740.1.KLF14	chr11	53636299	53636312	-	0.000	0.000	Merged-chr11-53636381-3
NR18519--MA1107.1.KLF9	chr13	102284460	102284472	+	0.000	0.000	Merged-chr13-102284441-1
NR1397--MA1107.1.KLF9	chr1	85250742	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR45774--MA0741.1.KLF16	chr4	101235225	101235235	+	0.000	0.000	Merged-chr4-101235092-24
NR10799--MA0742.1.Klf12	chr11	76184656	76184670	-	0.000	0.000	Merged-chr11-76184587-9
NR35485--MA1107.1.KLF9	chr2	35690018	35690030	+	0.000	0.000	Merged-chr2-35690128-14
NR41165--MA1107.1.KLF9	chr3	84772123	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR9847--MA0657.1.KLF13	chr11	53636296	53636313	-	0.000	0.000	Merged-chr11-53636381-3
NR29013--MA1107.1.KLF9	chr17	56904952	56904964	+	0.000	0.000	Merged-chr17-56905051-10
NR5481--MA0599.1.KLF5	chr10	39240241	39240250	+	0.000	0.000	Merged-chr10-39240051-25
NR58919--MA1107.1.KLF9	chr7	45025106	45025118	+	0.000	0.000	Merged-chr7-45025072-11
NR45768--MA0599.1.KLF5	chr4	101235225	101235234	+	0.000	0.000	Merged-chr4-101235092-24
NR724--MA0742.1.Klf12	chr1	53946053	53946067	-	0.000	0.000	Merged-chr1-53945969-15
NR55345--MA1107.1.KLF9	chr6	108512317	108512329	-	0.000	0.000	Merged-chr6-108512233-21
NR70628--MA1107.1.KLF9	chrX	169973431	169973443	+	0.000	0.000	Merged-chrX-169973362-71
