#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR2268--MA0659.1.MAFG	chr11	87074101	87074121	-	0.000	0.000	Merged-chr11-87073947-35
NR8876--MA0591.1.Bach1::Mafk	chr4	133688451	133688465	-	0.000	0.000	Merged-chr4-133688584-12
NR1346--MA0089.1.MAFG::NFE2L1	chr10	59636948	59636953	+	0.000	0.000	Merged-chr10-59636988-40
NR3600--MA0117.2.Mafb	chr13	93340894	93340905	+	0.000	0.000	Merged-chr13-93341062-38
NR8862--MA0117.2.Mafb	chr4	132883795	132883806	+	0.000	0.000	Merged-chr4-132883673-3
NR7412--MA0496.2.MAFK	chr2	165453544	165453562	+	0.000	0.000	Merged-chr2-165453384-56
NR10580--MA0089.1.MAFG::NFE2L1	chr6	136902660	136902665	-	0.000	0.000	Merged-chr6-136902691-26
NR4310--MA0591.1.Bach1::Mafk	chr14	121313555	121313569	-	0.000	0.000	Merged-chr14-121313397-5
NR2205--MA0089.1.MAFG::NFE2L1	chr11	78983225	78983230	+	0.000	0.000	Merged-chr11-78982998-20
NR2083--MA0117.2.Mafb	chr11	60879634	60879645	-	0.000	0.000	Merged-chr11-60879671-9
NR2269--MA0496.2.MAFK	chr11	87074102	87074120	+	0.000	0.000	Merged-chr11-87073947-35
NR73--MA0089.1.MAFG::NFE2L1	chr1	36883862	36883867	-	0.000	0.000	Merged-chr1-36883943-16
NR1334--MA0117.2.Mafb	chr10	54013692	54013703	-	0.000	0.000	Merged-chr10-54013658-12
NR2189--MA0496.2.MAFK	chr11	76770742	76770760	-	0.000	0.000	Merged-chr11-76770779-7
NR9458--MA0089.1.MAFG::NFE2L1	chr5	92327483	92327488	-	0.000	0.000	Merged-chr5-92327493-24
NR9732--MA0089.1.MAFG::NFE2L1	chr5	124022577	124022582	+	0.000	0.000	Merged-chr5-124022476-27
NR3649--MA0117.2.Mafb	chr13	102085803	102085814	+	0.000	0.000	Merged-chr13-102085968-1
NR5422--MA0089.1.MAFG::NFE2L1	chr17	33940346	33940351	+	0.000	0.000	Merged-chr17-33940486-52
NR7835--MA0591.1.Bach1::Mafk	chr3	95942953	95942967	+	0.000	0.000	Merged-chr3-95942857-2
NR10072--MA0591.1.Bach1::Mafk	chr6	50261847	50261861	+	0.000	0.000	Merged-chr6-50261833-23
NR6879--MA0089.1.MAFG::NFE2L1	chr2	84784886	84784891	-	0.000	0.000	Merged-chr2-84784837-8
NR6388--MA0089.1.MAFG::NFE2L1	chr19	57150498	57150503	-	0.000	0.000	Merged-chr19-57150448-16
NR2265--MA0591.1.Bach1::Mafk	chr11	87074104	87074118	+	0.000	0.000	Merged-chr11-87073947-35
NR9946--MA0501.1.MAF::NFE2	chr6	10690801	10690815	-	0.000	0.000	Merged-chr6-10690708-20
NR2186--MA0591.1.Bach1::Mafk	chr11	76770744	76770758	+	0.000	0.000	Merged-chr11-76770779-7
NR3202--MA0089.1.MAFG::NFE2L1	chr13	8400881	8400886	+	0.000	0.000	Merged-chr13-8400702-31
NR6291--MA0089.1.MAFG::NFE2L1	chr19	40762495	40762500	+	0.000	0.000	Merged-chr19-40762334-20
NR12744--MA0089.1.MAFG::NFE2L1	chr9	114743033	114743038	+	0.000	0.000	Merged-chr9-114742915-20
NR7687--MA0496.2.MAFK	chr3	59062427	59062445	+	0.000	0.000	Merged-chr3-59062358-13
NR6895--MA0089.1.MAFG::NFE2L1	chr2	91088274	91088279	+	0.000	0.000	Merged-chr2-91088396-18
NR10230--MA0117.2.Mafb	chr6	85131848	85131859	+	0.000	0.000	Merged-chr6-85131905-22
NR7836--MA0501.1.MAF::NFE2	chr3	95942956	95942970	+	0.000	0.000	Merged-chr3-95942857-2
NR10347--MA0117.2.Mafb	chr6	108170309	108170320	+	0.000	0.000	Merged-chr6-108170388-8
