#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR10455--MA0511.2.RUNX2	chr9	75246466	75246474	-	0.000	0.000	Merged-chr9-75246433-36
NR9204--MA0684.1.RUNX3	chr7	49364549	49364558	+	0.000	0.000	Merged-chr7-49364720-42
NR9261--MA0002.2.RUNX1	chr7	67500551	67500561	+	0.000	0.000	Merged-chr7-67500556-27
NR6774--MA0002.2.RUNX1	chr3	129613934	129613944	+	0.000	0.000	Merged-chr3-129613875-22
NR1722--MA0684.1.RUNX3	chr11	67633799	67633808	+	0.000	0.000	Merged-chr11-67633953-18
NR6902--MA0002.2.RUNX1	chr3	146765121	146765131	-	0.000	0.000	Merged-chr3-146765113-32
NR640--MA0511.2.RUNX2	chr1	172197314	172197322	-	0.000	0.000	Merged-chr1-172197316-25
NR1498--MA0684.1.RUNX3	chr11	4339439	4339448	-	0.000	0.000	Merged-chr11-4339426-10
NR8420--MA0002.2.RUNX1	chr6	48818041	48818051	+	0.000	0.000	Merged-chr6-48818082-13
NR10434--MA0511.2.RUNX2	chr9	70080178	70080186	-	0.000	0.000	Merged-chr9-70080238-33
NR5552--MA0684.1.RUNX3	chr2	11040172	11040181	+	0.000	0.000	Merged-chr2-11040200-20
NR10464--MA0684.1.RUNX3	chr9	75805158	75805167	+	0.000	0.000	Merged-chr9-75805166-16
NR7212--MA0002.2.RUNX1	chr4	97996308	97996318	+	0.000	0.000	Merged-chr4-97996259-58
NR140--MA0002.2.RUNX1	chr1	60744504	60744514	+	0.000	0.000	Merged-chr1-60744410-6
NR8704--MA0002.2.RUNX1	chr6	120119998	120120008	+	0.000	0.000	Merged-chr6-120119917-19
NR1696--MA0002.2.RUNX1	chr11	61699094	61699104	+	0.000	0.000	Merged-chr11-61699049-20
NR10239--MA0002.2.RUNX1	chr9	11579177	11579187	+	0.000	0.000	Merged-chr9-11579132-23
NR62--MA0002.2.RUNX1	chr1	38557783	38557793	-	0.000	0.000	Merged-chr1-38557840-50
NR10967--MA0002.2.RUNX1	chrX	143030812	143030822	+	0.000	0.000	Merged-chrX-143030752-27
NR520--MA0002.2.RUNX1	chr1	153037908	153037918	-	0.000	0.000	Merged-chr1-153037964-21
NR9924--MA0684.1.RUNX3	chr8	78975205	78975214	-	0.000	0.000	Merged-chr8-78975191-34
NR10205--MA0002.2.RUNX1	chr8	128622959	128622969	+	0.000	0.000	Merged-chr8-128622909-9
NR5545--MA0002.2.RUNX1	chr2	9792666	9792676	-	0.000	0.000	Merged-chr2-9792573-15
NR10457--MA0002.2.RUNX1	chr9	75246464	75246474	+	0.000	0.000	Merged-chr9-75246433-36
NR1665--MA0511.2.RUNX2	chr11	58290432	58290440	-	0.000	0.000	Merged-chr11-58290425-28
