#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR1654--MA0690.1.TBX21	chr5	151263425	151263434	+	0.000	0.000	Merged-chr5-151263593-10
NR1240--MA0690.1.TBX21	chr2	166625666	166625675	+	0.000	0.000	Merged-chr2-166625583-45
NR158--MA0690.1.TBX21	chr1	184908649	184908658	-	0.000	0.000	Merged-chr1-184908710-36
NR1524--MA0690.1.TBX21	chr5	23332527	23332536	+	0.000	0.000	Merged-chr5-23332600-11
NR1091--MA0690.1.TBX21	chr2	26188766	26188775	+	0.000	0.000	Merged-chr2-26188803-7
NR1885--MA0690.1.TBX21	chr7	123217649	123217658	+	0.000	0.000	Merged-chr7-123217710-2
NR408--MA0690.1.TBX21	chr11	108268681	108268690	-	0.000	0.000	Merged-chr11-108268786-21
NR389--MA0690.1.TBX21	chr11	99099208	99099217	+	0.000	0.000	Merged-chr11-99099093-22
NR1484--MA0690.1.TBX21	chr4	134047806	134047815	+	0.000	0.000	Merged-chr4-134047792-28
NR1721--MA0690.1.TBX21	chr6	86148795	86148804	-	0.000	0.000	Merged-chr6-86148822-10
NR1516--MA0690.1.TBX21	chr5	3461112	3461121	+	0.000	0.000	Merged-chr5-3460999-61
NR368--MA0690.1.TBX21	chr11	80262663	80262672	-	0.000	0.000	Merged-chr11-80262674-5
NR1102--MA0690.1.TBX21	chr2	34162843	34162852	-	0.000	0.000	Merged-chr2-34162703-13
NR1830--MA0690.1.TBX21	chr7	75644852	75644861	+	0.000	0.000	Merged-chr7-75644760-27
NR1625--MA0690.1.TBX21	chr5	134258648	134258657	-	0.000	0.000	Merged-chr5-134258630-9
NR1320--MA0690.1.TBX21	chr3	108802980	108802989	-	0.000	0.000	Merged-chr3-108803006-6
NR1909--MA0690.1.TBX21	chr7	137476770	137476779	-	0.000	0.000	Merged-chr7-137476773-22
NR1700--MA0690.1.TBX21	chr6	56931818	56931827	-	0.000	0.000	Merged-chr6-56931757-12
NR1604--MA0690.1.TBX21	chr5	114806262	114806271	-	0.000	0.000	Merged-chr5-114806233-37
NR1585--MA0690.1.TBX21	chr5	97964568	97964577	+	0.000	0.000	Merged-chr5-97964675-19
NR1965--MA0690.1.TBX21	chr8	84024593	84024602	+	0.000	0.000	Merged-chr8-84024491-4
NR1822--MA0690.1.TBX21	chr7	47113533	47113542	-	0.000	0.000	Merged-chr7-47113657-15
NR1617--MA0690.1.TBX21	chr5	123471355	123471364	-	0.000	0.000	Merged-chr5-123471228-26
NR1--MA0690.1.TBX21	chr1	12841460	12841469	+	0.000	0.000	Merged-chr1-12841601-13
NR1455--MA0690.1.TBX21	chr4	107006396	107006405	-	0.000	0.000	Merged-chr4-107006366-21
NR911--MA0690.1.TBX21	chr17	47564781	47564790	-	0.000	0.000	Merged-chr17-47564757-20
NR1795--MA0690.1.TBX21	chr7	3453318	3453327	+	0.000	0.000	Merged-chr7-3453251-36
NR1400--MA0690.1.TBX21	chr4	11095692	11095701	-	0.000	0.000	Merged-chr4-11095738-16
NR1033--MA0690.1.TBX21	chr19	12026924	12026933	-	0.000	0.000	Merged-chr19-12026851-22
NR1699--MA0690.1.TBX21	chr6	56931795	56931804	-	0.000	0.000	Merged-chr6-56931757-12
NR632--MA0690.1.TBX21	chr13	117223430	117223439	+	0.000	0.000	Merged-chr13-117223399-24
NR1774--MA0690.1.TBX21	chr6	137604971	137604980	-	0.000	0.000	Merged-chr6-137604948-13
NR1298--MA0690.1.TBX21	chr3	84630990	84630999	+	0.000	0.000	Merged-chr3-84630888-13
NR340--MA0690.1.TBX21	chr11	53775000	53775009	+	0.000	0.000	Merged-chr11-53775083-5
NR1482--MA0690.1.TBX21	chr4	133688510	133688519	-	0.000	0.000	Merged-chr4-133688584-12
NR624--MA0690.1.TBX21	chr13	112396815	112396824	+	0.000	0.000	Merged-chr13-112396740-45
NR210--MA0690.1.TBX21	chr10	26228357	26228366	+	0.000	0.000	Merged-chr10-26228346-20
NR876--MA0690.1.TBX21	chr17	6153929	6153938	-	0.000	0.000	Merged-chr17-6153777-10
NR1399--MA0690.1.TBX21	chr4	11095648	11095657	+	0.000	0.000	Merged-chr4-11095738-16
NR1527--MA0690.1.TBX21	chr5	24517982	24517991	-	0.000	0.000	Merged-chr5-24518156-18
NR441--MA0690.1.TBX21	chr12	21226478	21226487	+	0.000	0.000	Merged-chr12-21226464-17
NR15--MA0690.1.TBX21	chr1	38632616	38632625	-	0.000	0.000	Merged-chr1-38632713-8
NR311--MA0690.1.TBX21	chr10	128750450	128750459	+	0.000	0.000	Merged-chr10-128750381-16
NR563--MA0690.1.TBX21	chr13	60895938	60895947	-	0.000	0.000	Merged-chr13-60895855-39
NR420--MA0690.1.TBX21	chr11	115338893	115338902	-	0.000	0.000	Merged-chr11-115338922-7
NR1466--MA0690.1.TBX21	chr4	116701079	116701088	-	0.000	0.000	Merged-chr4-116701085-12
NR1737--MA0690.1.TBX21	chr6	108561159	108561168	-	0.000	0.000	Merged-chr6-108561234-16
NR433--MA0690.1.TBX21	chr12	12278402	12278411	+	0.000	0.000	Merged-chr12-12278395-37
NR1052--MA0690.1.TBX21	chr19	46613325	46613334	+	0.000	0.000	Merged-chr19-46613309-39
NR890--MA0690.1.TBX21	chr17	29307275	29307284	-	0.000	0.000	Merged-chr17-29307236-11
NR922--MA0690.1.TBX21	chr17	64740323	64740332	+	0.000	0.000	Merged-chr17-64740384-4
NR717--MA0690.1.TBX21	chr15	12606612	12606621	-	0.000	0.000	Merged-chr15-12606518-21
NR2000--MA0690.1.TBX21	chr8	121995346	121995355	+	0.000	0.000	Merged-chr8-121995236-25
NR412--MA0690.1.TBX21	chr11	111795777	111795786	-	0.000	0.000	Merged-chr11-111795733-12
NR664--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR1078--MA0690.1.TBX21	chr2	6462521	6462530	-	0.000	0.000	Merged-chr2-6462544-11
NR250--MA0690.1.TBX21	chr10	80371504	80371513	-	0.000	0.000	Merged-chr10-80371641-4
NR1458--MA0690.1.TBX21	chr4	107092468	107092477	-	0.000	0.000	Merged-chr4-107092472-5
NR630--MA0690.1.TBX21	chr13	115168474	115168483	-	0.000	0.000	Merged-chr13-115168418-11
NR263--MA0690.1.TBX21	chr10	88540315	88540324	-	0.000	0.000	Merged-chr10-88540211-41
NR1219--MA0690.1.TBX21	chr2	146498546	146498555	-	0.000	0.000	Merged-chr2-146498425-8
NR786--MA0690.1.TBX21	chr15	85469104	85469113	+	0.000	0.000	Merged-chr15-85469002-5
NR372--MA0690.1.TBX21	chr11	83541052	83541061	+	0.000	0.000	Merged-chr11-83541106-19
NR1328--MA0690.1.TBX21	chr3	116582718	116582727	-	0.000	0.000	Merged-chr3-116582553-26
NR89--MA0690.1.TBX21	chr1	144076926	144076935	+	0.000	0.000	Merged-chr1-144076867-17
NR404--MA0690.1.TBX21	chr11	104629747	104629756	+	0.000	0.000	Merged-chr11-104629776-1
NR2082--MA0690.1.TBX21	chr9	96896927	96896936	+	0.000	0.000	Merged-chr9-96896917-17
NR351--MA0690.1.TBX21	chr11	62762017	62762026	-	0.000	0.000	Merged-chr11-62762057-29
NR2114--MA0690.1.TBX21	chr9	118374902	118374911	+	0.000	0.000	Merged-chr9-118374902-24
NR1397--MA0690.1.TBX21	chr4	7751432	7751441	+	0.000	0.000	Merged-chr4-7751417-13
NR364--MA0690.1.TBX21	chr11	77111346	77111355	+	0.000	0.000	Merged-chr11-77111422-5
NR906--MA0690.1.TBX21	chr17	45703392	45703401	+	0.000	0.000	Merged-chr17-45703436-19
NR1049--MA0690.1.TBX21	chr19	42149693	42149702	+	0.000	0.000	Merged-chr19-42149753-11
NR2061--MA0690.1.TBX21	chr9	78593264	78593273	+	0.000	0.000	Merged-chr9-78593326-11
NR1158--MA0690.1.TBX21	chr2	84384010	84384019	+	0.000	0.000	Merged-chr2-84383994-11
NR1015--MA0690.1.TBX21	chr18	89233851	89233860	+	0.000	0.000	Merged-chr18-89233824-45
NR247--MA0690.1.TBX21	chr10	77022881	77022890	-	0.000	0.000	Merged-chr10-77022945-12
NR26--MA0690.1.TBX21	chr1	54660903	54660912	-	0.000	0.000	Merged-chr1-54660876-41
NR290--MA0690.1.TBX21	chr10	119031129	119031138	-	0.000	0.000	Merged-chr10-119031155-35
NR117--MA0690.1.TBX21	chr1	164079467	164079476	-	0.000	0.000	Merged-chr1-164079439-12
NR39--MA0690.1.TBX21	chr1	74570562	74570571	-	0.000	0.000	Merged-chr1-74570528-25
NR574--MA0690.1.TBX21	chr13	76304086	76304095	+	0.000	0.000	Merged-chr13-76304055-1
NR1831--MA0690.1.TBX21	chr7	78763235	78763244	-	0.000	0.000	Merged-chr7-78763113-9
NR444--MA0690.1.TBX21	chr12	25043340	25043349	-	0.000	0.000	Merged-chr12-25043320-9
