#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR10975--MA0002.2.RUNX1	chr9	75805158	75805168	-	0.000	0.000	Merged-chr9-75805166-16
NR9360--MA0511.2.RUNX2	chr6	144953072	144953080	+	0.000	0.000	Merged-chr6-144953133-29
NR9631--MA0511.2.RUNX2	chr7	65373500	65373508	+	0.000	0.000	Merged-chr7-65373607-20
NR10899--MA0684.1.RUNX3	chr9	66274930	66274939	+	0.000	0.000	Merged-chr9-66274857-15
NR10690--MA0684.1.RUNX3	chr9	14200216	14200225	+	0.000	0.000	Merged-chr9-14200294-59
NR1342--MA0684.1.RUNX3	chr10	95998151	95998160	+	0.000	0.000	Merged-chr10-95998321-17
NR9185--MA0684.1.RUNX3	chr6	122837925	122837934	+	0.000	0.000	Merged-chr6-122837963-9
NR9784--MA0002.2.RUNX1	chr7	99798453	99798463	+	0.000	0.000	Merged-chr7-99798520-10
NR6429--MA0511.2.RUNX2	chr2	129816123	129816131	-	0.000	0.000	Merged-chr2-129816219-15
NR5553--MA0002.2.RUNX1	chr18	82493046	82493056	-	0.000	0.000	Merged-chr18-82492983-14
NR10465--MA0002.2.RUNX1	chr8	106292649	106292659	+	0.000	0.000	Merged-chr8-106292794-10
NR9165--MA0002.2.RUNX1	chr6	120956488	120956498	-	0.000	0.000	Merged-chr6-120956639-2
NR5682--MA0684.1.RUNX3	chr19	14805365	14805374	-	0.000	0.000	Merged-chr19-14805435-8
NR83--MA0002.2.RUNX1	chr1	38777641	38777651	-	0.000	0.000	Merged-chr1-38777708-41
NR6015--MA0511.2.RUNX2	chr2	25620566	25620574	-	0.000	0.000	Merged-chr2-25620603-21
NR5490--MA0511.2.RUNX2	chr18	75374182	75374190	-	0.000	0.000	Merged-chr18-75374196-25
NR3525--MA0002.2.RUNX1	chr14	65330856	65330866	+	0.000	0.000	Merged-chr14-65330788-23
NR911--MA0511.2.RUNX2	chr10	5795439	5795447	-	0.000	0.000	Merged-chr10-5795457-7
NR7964--MA0511.2.RUNX2	chr4	149912636	149912644	-	0.000	0.000	Merged-chr4-149912693-20
NR10431--MA0002.2.RUNX1	chr8	94633718	94633728	+	0.000	0.000	Merged-chr8-94633712-19
NR5172--MA0684.1.RUNX3	chr17	84056421	84056430	+	0.000	0.000	Merged-chr17-84056540-29
NR5509--MA0684.1.RUNX3	chr18	79092884	79092893	-	0.000	0.000	Merged-chr18-79092831-54
NR9753--MA0511.2.RUNX2	chr7	92087616	92087624	-	0.000	0.000	Merged-chr7-92087702-17
NR7375--MA0684.1.RUNX3	chr4	3209765	3209774	+	0.000	0.000	Merged-chr4-3209817-19
NR4441--MA0002.2.RUNX1	chr16	44339245	44339255	-	0.000	0.000	Merged-chr16-44339420-21
NR968--MA0002.2.RUNX1	chr10	19321988	19321998	+	0.000	0.000	Merged-chr10-19321944-43
NR9578--MA0684.1.RUNX3	chr7	48795272	48795281	-	0.000	0.000	Merged-chr7-48795353-37
NR7898--MA0684.1.RUNX3	chr4	139242140	139242149	-	0.000	0.000	Merged-chr4-139242159-17
NR10020--MA0511.2.RUNX2	chr7	132749006	132749014	+	0.000	0.000	Merged-chr7-132748920-16
NR7626--MA0002.2.RUNX1	chr4	86887117	86887127	+	0.000	0.000	Merged-chr4-86887188-3
NR3938--MA0684.1.RUNX3	chr15	58750401	58750410	+	0.000	0.000	Merged-chr15-58750240-28
NR8781--MA0002.2.RUNX1	chr6	30592265	30592275	+	0.000	0.000	Merged-chr6-30592201-27
NR1639--MA0684.1.RUNX3	chr11	32013609	32013618	+	0.000	0.000	Merged-chr11-32013500-11
NR10795--MA0511.2.RUNX2	chr9	48562593	48562601	-	0.000	0.000	Merged-chr9-48562670-30
NR6389--MA0511.2.RUNX2	chr2	125948469	125948477	+	0.000	0.000	Merged-chr2-125948432-8
NR5806--MA0511.2.RUNX2	chr19	40300140	40300148	+	0.000	0.000	Merged-chr19-40300210-18
NR3584--MA0511.2.RUNX2	chr14	69980921	69980929	+	0.000	0.000	Merged-chr14-69980861-5
NR1205--MA0002.2.RUNX1	chr10	77367163	77367173	-	0.000	0.000	Merged-chr10-77367193-51
NR7245--MA0684.1.RUNX3	chr3	141690927	141690936	+	0.000	0.000	Merged-chr3-141690828-16
NR7053--MA0511.2.RUNX2	chr3	108887078	108887086	+	0.000	0.000	Merged-chr3-108887140-15
NR1728--MA0002.2.RUNX1	chr11	54105210	54105220	+	0.000	0.000	Merged-chr11-54105258-8
NR2760--MA0684.1.RUNX3	chr12	117173280	117173289	-	0.000	0.000	Merged-chr12-117173433-4
NR9776--MA0002.2.RUNX1	chr7	99003412	99003422	-	0.000	0.000	Merged-chr7-99003498-20
NR4963--MA0684.1.RUNX3	chr17	43645417	43645426	+	0.000	0.000	Merged-chr17-43645396-23
NR31--MA0511.2.RUNX2	chr1	20260127	20260135	+	0.000	0.000	Merged-chr1-20260109-34
NR7877--MA0684.1.RUNX3	chr4	135520640	135520649	+	0.000	0.000	Merged-chr4-135520643-13
NR884--MA0511.2.RUNX2	chr1	192510749	192510757	+	0.000	0.000	Merged-chr1-192510804-31
NR4800--MA0002.2.RUNX1	chr17	12513610	12513620	+	0.000	0.000	Merged-chr17-12513699-7
NR3725--MA0511.2.RUNX2	chr14	118658446	118658454	+	0.000	0.000	Merged-chr14-118658326-68
NR6831--MA0511.2.RUNX2	chr3	52369415	52369423	+	0.000	0.000	Merged-chr3-52369347-12
NR8412--MA0002.2.RUNX1	chr5	110390440	110390450	+	0.000	0.000	Merged-chr5-110390618-8
NR10423--MA0002.2.RUNX1	chr8	94240484	94240494	-	0.000	0.000	Merged-chr8-94240399-13
NR6461--MA0002.2.RUNX1	chr2	135737685	135737695	+	0.000	0.000	Merged-chr2-135737673-31
NR5287--MA0002.2.RUNX1	chr18	32569671	32569681	-	0.000	0.000	Merged-chr18-32569652-14
NR642--MA0002.2.RUNX1	chr1	163374714	163374724	+	0.000	0.000	Merged-chr1-163374764-34
NR1327--MA0002.2.RUNX1	chr10	94829989	94829999	-	0.000	0.000	Merged-chr10-94830021-1
NR2901--MA0684.1.RUNX3	chr13	30154464	30154473	+	0.000	0.000	Merged-chr13-30154580-19
NR10360--MA0511.2.RUNX2	chr8	78975206	78975214	-	0.000	0.000	Merged-chr8-78975191-34
NR3420--MA0511.2.RUNX2	chr14	47740831	47740839	+	0.000	0.000	Merged-chr14-47740703-52
NR2882--MA0684.1.RUNX3	chr13	24866804	24866813	+	0.000	0.000	Merged-chr13-24866887-32
NR3215--MA0511.2.RUNX2	chr13	99781338	99781346	-	0.000	0.000	Merged-chr13-99781144-21
NR1264--MA0511.2.RUNX2	chr10	84897547	84897555	+	0.000	0.000	Merged-chr10-84897526-62
NR2610--MA0002.2.RUNX1	chr12	104235931	104235941	+	0.000	0.000	Merged-chr12-104236095-61
NR946--MA0684.1.RUNX3	chr10	13438594	13438603	+	0.000	0.000	Merged-chr10-13438536-33
NR132--MA0002.2.RUNX1	chr1	46425466	46425476	-	0.000	0.000	Merged-chr1-46425534-31
NR10707--MA0002.2.RUNX1	chr9	20636439	20636449	-	0.000	0.000	Merged-chr9-20636444-23
NR340--MA0511.2.RUNX2	chr1	88475603	88475611	+	0.000	0.000	Merged-chr1-88475619-20
NR4717--MA0002.2.RUNX1	chr16	95263159	95263169	-	0.000	0.000	Merged-chr16-95263048-64
NR784--MA0684.1.RUNX3	chr1	181148636	181148645	+	0.000	0.000	Merged-chr1-181148659-6
NR6583--MA0002.2.RUNX1	chr2	158323021	158323031	+	0.000	0.000	Merged-chr2-158323146-37
NR493--MA0002.2.RUNX1	chr1	135019166	135019176	-	0.000	0.000	Merged-chr1-135019182-17
NR4555--MA0002.2.RUNX1	chr16	70365448	70365458	-	0.000	0.000	Merged-chr16-70365429-20
NR5143--MA0684.1.RUNX3	chr17	80579293	80579302	-	0.000	0.000	Merged-chr17-80579337-18
NR9182--MA0511.2.RUNX2	chr6	122837925	122837933	+	0.000	0.000	Merged-chr6-122837963-9
NR8372--MA0002.2.RUNX1	chr5	105313659	105313669	-	0.000	0.000	Merged-chr5-105313637-29
NR5123--MA0002.2.RUNX1	chr17	74869684	74869694	+	0.000	0.000	Merged-chr17-74869887-51
