#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR4700--MA0591.1.Bach1::Mafk	chr14	69813199	69813213	-	0.000	0.000	Merged-chr14-69813335-19
NR3735--MA0501.1.MAF::NFE2	chr13	44260152	44260166	+	0.000	0.000	Merged-chr13-44260111-9
NR13720--MA0496.2.MAFK	chr8	83131933	83131951	-	0.000	0.000	Merged-chr8-83131891-13
NR1490--MA0089.1.MAFG::NFE2L1	chr10	42633419	42633424	+	0.000	0.000	Merged-chr10-42633342-1
NR11555--MA0501.1.MAF::NFE2	chr6	15738694	15738708	+	0.000	0.000	Merged-chr6-15738644-7
NR7665--MA0495.2.MAFF	chr2	44953119	44953139	-	0.000	0.000	Merged-chr2-44953031-31
NR2621--MA0501.1.MAF::NFE2	chr11	90576723	90576737	+	0.000	0.000	Merged-chr11-90576690-20
NR311--MA0501.1.MAF::NFE2	chr1	72449904	72449918	-	0.000	0.000	Merged-chr1-72450027-13
NR12608--MA0496.2.MAFK	chr7	19872431	19872449	+	0.000	0.000	Merged-chr7-19872321-3
NR10931--MA0089.1.MAFG::NFE2L1	chr5	64336882	64336887	-	0.000	0.000	Merged-chr5-64336866-17
NR2645--MA0496.2.MAFK	chr11	96435095	96435113	+	0.000	0.000	Merged-chr11-96435210-8
NR11005--MA0089.1.MAFG::NFE2L1	chr5	86673094	86673099	-	0.000	0.000	Merged-chr5-86673072-6
NR13937--MA0591.1.Bach1::Mafk	chr8	115826708	115826722	-	0.000	0.000	Merged-chr8-115826691-38
NR7613--MA0591.1.Bach1::Mafk	chr2	33154872	33154886	+	0.000	0.000	Merged-chr2-33154986-19
NR8448--MA0501.1.MAF::NFE2	chr2	147744114	147744128	+	0.000	0.000	Merged-chr2-147744071-13
NR1411--MA0501.1.MAF::NFE2	chr10	25140546	25140560	-	0.000	0.000	Merged-chr10-25140477-16
NR8346--MA0089.1.MAFG::NFE2L1	chr2	135999721	135999726	-	0.000	0.000	Merged-chr2-135999681-5
NR12136--MA0089.1.MAFG::NFE2L1	chr6	116287127	116287132	-	0.000	0.000	Merged-chr6-116287137-8
NR13932--MA0089.1.MAFG::NFE2L1	chr8	115568588	115568593	+	0.000	0.000	Merged-chr8-115568627-19
NR486--MA0591.1.Bach1::Mafk	chr1	91909100	91909114	+	0.000	0.000	Merged-chr1-91909100-9
NR5243--MA0089.1.MAFG::NFE2L1	chr15	62726735	62726740	+	0.000	0.000	Merged-chr15-62726785-12
NR14193--MA0495.2.MAFF	chr9	34996151	34996171	+	0.000	0.000	Merged-chr9-34996088-18
NR12445--MA0659.1.MAFG	chr6	143132507	143132527	-	0.000	0.000	Merged-chr6-143132490-15
NR9720--MA0591.1.Bach1::Mafk	chr3	157884231	157884245	-	0.000	0.000	Merged-chr3-157884103-23
NR7794--MA0089.1.MAFG::NFE2L1	chr2	62526370	62526375	+	0.000	0.000	Merged-chr2-62526559-11
NR8786--MA0591.1.Bach1::Mafk	chr3	9566978	9566992	-	0.000	0.000	Merged-chr3-9567055-14
NR1577--MA0591.1.Bach1::Mafk	chr10	58383473	58383487	-	0.000	0.000	Merged-chr10-58383440-43
NR13078--MA0089.1.MAFG::NFE2L1	chr7	113197602	113197607	+	0.000	0.000	Merged-chr7-113197463-17
NR14871--MA0659.1.MAFG	chrX	53607939	53607959	-	0.000	0.000	Merged-chrX-53607978-28
NR5976--MA0501.1.MAF::NFE2	chr16	87725009	87725023	-	0.000	0.000	Merged-chr16-87725101-16
NR1578--MA0496.2.MAFK	chr10	58383471	58383489	+	0.000	0.000	Merged-chr10-58383440-43
NR3684--MA0591.1.Bach1::Mafk	chr13	36203202	36203216	-	0.000	0.000	Merged-chr13-36203222-10
NR3082--MA0089.1.MAFG::NFE2L1	chr12	69501882	69501887	+	0.000	0.000	Merged-chr12-69501974-43
NR13957--MA0501.1.MAF::NFE2	chr8	117780884	117780898	+	0.000	0.000	Merged-chr8-117780914-2
NR8314--MA0591.1.Bach1::Mafk	chr2	131502202	131502216	+	0.000	0.000	Merged-chr2-131502191-12
NR5865--MA0501.1.MAF::NFE2	chr16	65351168	65351182	+	0.000	0.000	Merged-chr16-65351191-13
NR3963--MA0591.1.Bach1::Mafk	chr13	81351670	81351684	-	0.000	0.000	Merged-chr13-81351650-43
NR10971--MA0495.2.MAFF	chr5	72250363	72250383	+	0.000	0.000	Merged-chr5-72250347-10
NR4423--MA0495.2.MAFF	chr14	27268381	27268401	-	0.000	0.000	Merged-chr14-27268313-23
NR3499--MA0089.1.MAFG::NFE2L1	chr12	117712719	117712724	-	0.000	0.000	Merged-chr12-117712681-21
NR8698--MA0501.1.MAF::NFE2	chr2	174566021	174566035	-	0.000	0.000	Merged-chr2-174566072-46
NR9865--MA0117.2.Mafb	chr4	41314273	41314284	+	0.000	0.000	Merged-chr4-41314225-1
NR13864--MA0496.2.MAFK	chr8	105727568	105727586	-	0.000	0.000	Merged-chr8-105727621-21
NR11597--MA0117.2.Mafb	chr6	28622655	28622666	+	0.000	0.000	Merged-chr6-28622467-8
NR7590--MA0089.1.MAFG::NFE2L1	chr2	31043062	31043067	-	0.000	0.000	Merged-chr2-31043017-22
NR3652--MA0501.1.MAF::NFE2	chr13	29805496	29805510	-	0.000	0.000	Merged-chr13-29805422-4
NR4425--MA0659.1.MAFG	chr14	27268381	27268401	-	0.000	0.000	Merged-chr14-27268313-23
NR14104--MA0089.1.MAFG::NFE2L1	chr9	11347509	11347514	-	0.000	0.000	Merged-chr9-11347539-5
NR8587--MA0501.1.MAF::NFE2	chr2	163132451	163132465	-	0.000	0.000	Merged-chr2-163132473-10
NR12687--MA0117.2.Mafb	chr7	47013443	47013454	-	0.000	0.000	Merged-chr7-47013375-34
NR3717--MA0501.1.MAF::NFE2	chr13	41671422	41671436	-	0.000	0.000	Merged-chr13-41671517-12
